name,label,concept
AIANHH,american indian area/alaska native area/hawaiian home land,NA
ANRC,alaska native regional corporation,NA
CBSA,metropolitan statistical area/micropolitan statistical area,NA
CD115,Congressional District,NA
CNECTA,combined new england city and town area,NA
COUNTY,County FIPS Code,NA
COUSUB,County Subdivision,NA
CSA,combined statistical area,NA
DIVISION,Division,NA
for,Census API FIPS 'for' clause,Census API Geography Specification
GEO_ID,Geography,NA
GEOCOMP,Geography Component,NA
in,Census API FIPS 'in' clause,Census API Geography Specification
LSAD_NAME,LSAD Name for Geogarphy,NA
METDIV,metropolitan division,NA
NECTA,new england city and town area,NA
NECTADIV,necta division,NA
PLACE,Census Designated Place,NA
PUMA5,Public Use Microdata Area,NA
REGION,Region,NA
S0101_C01_001E,Total!!Estimate!!Total population,AGE AND SEX
S0101_C01_002E,Total!!Estimate!!AGE!!Under 5 years,AGE AND SEX
S0101_C01_003E,Total!!Estimate!!AGE!!5 to 9 years,AGE AND SEX
S0101_C01_004E,Total!!Estimate!!AGE!!10 to 14 years,AGE AND SEX
S0101_C01_005E,Total!!Estimate!!AGE!!15 to 19 years,AGE AND SEX
S0101_C01_006E,Total!!Estimate!!AGE!!20 to 24 years,AGE AND SEX
S0101_C01_007E,Total!!Estimate!!AGE!!25 to 29 years,AGE AND SEX
S0101_C01_008E,Total!!Estimate!!AGE!!30 to 34 years,AGE AND SEX
S0101_C01_009E,Total!!Estimate!!AGE!!35 to 39 years,AGE AND SEX
S0101_C01_010E,Total!!Estimate!!AGE!!40 to 44 years,AGE AND SEX
S0101_C01_011E,Total!!Estimate!!AGE!!45 to 49 years,AGE AND SEX
S0101_C01_012E,Total!!Estimate!!AGE!!50 to 54 years,AGE AND SEX
S0101_C01_013E,Total!!Estimate!!AGE!!55 to 59 years,AGE AND SEX
S0101_C01_014E,Total!!Estimate!!AGE!!60 to 64 years,AGE AND SEX
S0101_C01_015E,Total!!Estimate!!AGE!!65 to 69 years,AGE AND SEX
S0101_C01_016E,Total!!Estimate!!AGE!!70 to 74 years,AGE AND SEX
S0101_C01_017E,Total!!Estimate!!AGE!!75 to 79 years,AGE AND SEX
S0101_C01_018E,Total!!Estimate!!AGE!!80 to 84 years,AGE AND SEX
S0101_C01_019E,Total!!Estimate!!AGE!!85 years and over,AGE AND SEX
S0101_C01_020E,Total!!Estimate!!SELECTED AGE CATEGORIES!!5 to 14 years,AGE AND SEX
S0101_C01_021E,Total!!Estimate!!SELECTED AGE CATEGORIES!!15 to 17 years,AGE AND SEX
S0101_C01_022E,Total!!Estimate!!SELECTED AGE CATEGORIES!!18 to 24 years,AGE AND SEX
S0101_C01_023E,Total!!Estimate!!SELECTED AGE CATEGORIES!!15 to 44 years,AGE AND SEX
S0101_C01_024E,Total!!Estimate!!SELECTED AGE CATEGORIES!!16 years and over,AGE AND SEX
S0101_C01_025E,Total!!Estimate!!SELECTED AGE CATEGORIES!!18 years and over,AGE AND SEX
S0101_C01_026E,Total!!Estimate!!SELECTED AGE CATEGORIES!!60 years and over,AGE AND SEX
S0101_C01_027E,Total!!Estimate!!SELECTED AGE CATEGORIES!!62 years and over,AGE AND SEX
S0101_C01_028E,Total!!Estimate!!SELECTED AGE CATEGORIES!!65 years and over,AGE AND SEX
S0101_C01_029E,Total!!Estimate!!SELECTED AGE CATEGORIES!!75 years and over,AGE AND SEX
S0101_C01_030E,Total!!Estimate!!SUMMARY INDICATORS!!Median age (years),AGE AND SEX
S0101_C01_031E,Total!!Estimate!!SUMMARY INDICATORS!!Sex ratio (males per 100 females),AGE AND SEX
