name,label,concept,predicateType,group,limit,attributes,required
S2002_C01_045E,Median earnings (dollars)!!Total!!Estimate!!INDUSTRY!!Wholesale trade,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) OF WORKERS BY SEX AND WOMEN'S EARNINGS AS A PERCENTAGE OF MEN'S EARNINGS BY SELECTED CHARACTERISTICS,int,S2002,0,"S2002_C01_045M,S2002_C01_045EA",NA
S0103PR_C01_092E,Total!!Estimate!!Average household size of renter-occupied unit,POPULATION 65 YEARS AND OVER IN PUERTO RICO,int,S0103PR,0,"S0103PR_C01_092M,S0103PR_C01_092EA",NA
S2701_C04_008E,Uninsured!!Estimate!!AGE!!18 to 64 years!!35 to 44 years,SELECTED CHARACTERISTICS OF HEALTH INSURANCE COVERAGE IN THE UNITED STATES,int,S2701,0,"S2701_C04_008M,S2701_C04_008EA",NA
S0503_C02_073E,"Foreign born; Born in Europe!!Estimate!!OCCUPATION!!Production, transportation, and material moving occupations",SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH: EUROPE,int,S0503,0,"S0503_C02_073M,S0503_C02_073EA",NA
S1251_C03_013E,Married in the last 12 months!!Female!!Estimate!!HOUSING TENURE!!Population 15 years and over in occupied housing units!!Owner-occupied housing units,CHARACTERISTICS OF PEOPLE WITH A MARITAL EVENT IN THE LAST 12 MONTHS,int,S1251,0,"S1251_C03_013M,S1251_C03_013EA",NA
S0505_C03_029E,Foreign born; Born in Eastern Asia!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH: ASIA,int,S0505,0,"S0505_C03_029M,S0505_C03_029EA",NA
S1501_C04_053E,Percent Males!!Estimate!!Hispanic or Latino Origin!!High school graduate or higher,EDUCATIONAL ATTAINMENT,int,S1501,0,"S1501_C04_053M,S1501_C04_053EA",NA
S0802_C01_070E,Total!!Estimate!!Workers 16 years and over who did not work at home,MEANS OF TRANSPORTATION TO WORK BY SELECTED CHARACTERISTICS,int,S0802,0,"S0802_C01_070M,S0802_C01_070EA",NA
S2002_C01_044E,Median earnings (dollars)!!Total!!Estimate!!INDUSTRY!!Manufacturing,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) OF WORKERS BY SEX AND WOMEN'S EARNINGS AS A PERCENTAGE OF MEN'S EARNINGS BY SELECTED CHARACTERISTICS,int,S2002,0,"S2002_C01_044M,S2002_C01_044EA",NA
S0503_C02_074E,"Foreign born; Born in Europe!!Estimate!!INDUSTRY!!Agriculture, forestry, fishing and hunting, and mining",SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH: EUROPE,int,S0503,0,"S0503_C02_074M,S0503_C02_074EA",NA
S0103PR_C01_093E,Total!!Estimate!!SELECTED CHARACTERISTICS!!No telephone service available,POPULATION 65 YEARS AND OVER IN PUERTO RICO,int,S0103PR,0,"S0103PR_C01_093M,S0103PR_C01_093EA",NA
S1251_C03_014E,Married in the last 12 months!!Female!!Estimate!!HOUSING TENURE!!Population 15 years and over in occupied housing units!!Renter-occupied housing units,CHARACTERISTICS OF PEOPLE WITH A MARITAL EVENT IN THE LAST 12 MONTHS,int,S1251,0,"S1251_C03_014M,S1251_C03_014EA",NA
S2701_C04_007E,Uninsured!!Estimate!!AGE!!18 to 64 years!!25 to 34 years,SELECTED CHARACTERISTICS OF HEALTH INSURANCE COVERAGE IN THE UNITED STATES,int,S2701,0,"S2701_C04_007M,S2701_C04_007EA",NA
