year,bracket,bucket,status,value,single_max,married_max,hoh_max,single_min,married_min,hoh_min,single_fulltax,married_fulltax,hoh_fulltax,single_fulltax_cum,married_fulltax_cum,hoh_fulltax_cum
2017,0.1,1,single_min,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,0.15,2,single_min,9325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,0.25,3,single_min,37950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,0.28,4,single_min,91900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,0.33,5,single_min,191650,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,0.35,6,single_min,416700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,0.4,7,single_min,418400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,0.1,1,single_min,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,0.15,2,single_min,9275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,0.25,3,single_min,37650,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,0.28,4,single_min,91150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,0.33,5,single_min,190150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,0.35,6,single_min,413350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,0.4,7,single_min,415050,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,0.1,1,single_min,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,0.15,2,single_min,9225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,0.25,3,single_min,37450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,0.28,4,single_min,90750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,0.33,5,single_min,189300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,0.35,6,single_min,411500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,0.4,7,single_min,413200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,0.1,1,single_min,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,0.15,2,single_min,9075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,0.25,3,single_min,36900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,0.28,4,single_min,89350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,0.33,5,single_min,186350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,0.35,6,single_min,405100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,0.4,7,single_min,406750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,0.1,1,single_min,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,0.15,2,single_min,8925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,0.25,3,single_min,36250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,0.28,4,single_min,87850,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,0.33,5,single_min,183250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,0.35,6,single_min,398350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,0.4,7,single_min,400000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,0.1,1,single_min,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,0.15,2,single_min,8700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,0.25,3,single_min,35350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,0.28,4,single_min,85650,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,0.33,5,single_min,178650,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,0.35,6,single_min,388350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,0.1,1,single_min,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,0.15,2,single_min,8500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,0.25,3,single_min,34500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,0.28,4,single_min,83600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,0.33,5,single_min,174400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,0.35,6,single_min,379150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,0.1,1,single_min,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,0.15,2,single_min,8375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,0.25,3,single_min,34000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,0.28,4,single_min,82400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,0.33,5,single_min,171850,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,0.35,6,single_min,373650,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,0.1,1,single_min,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,0.15,2,single_min,8350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,0.25,3,single_min,33950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
