" ","Total GEOG-102","Puma# 01800, North Carolina","Puma# 01900, North Carolina"
"Total RECODE3",250067,135328,114739
"Citizen",250067,135328,114739
" ", , , 
"Total RECODE1",250067,135328,114739
"Not Spanish/Hispanic/Latino",244002,131178,112824
"Hispanic/Latino",6065,4150,1915
" ", , , 
"Total RECODE4",250067,135328,114739
"White, non_Hispanic",178294,80178,98116
"African American",63892,50630,13262
"American Indian",921,146,775
"Asian",2550,1523,1027
"Other",2064,1723,341
"Multi Racial",2346,1128,1218
" ", , , 
"Total SEX",250067,135328,114739
"Male",115571,62308,53263
"Female",134496,73020,61476
" ", , , 
"Total RECODE2",250067,135328,114739
"18 to 25",35816,22731,13085
"26 to 29",15006,8816,6190
"30 to 39",41504,23074,18430
"40 to 49",45747,21973,23774
"50 to 64",65716,33890,31826
"65 to 84",39570,20072,19498
"85 to 99",6708,4772,1936
Universe: ((AGEP between 18 and 99)) AND (CIT in (1,2,3,4)) AND (((ST = 37 AND PUMA in (01800,01900))))
Weight used: PWGTP
DataSet(s) selected: 2009
Source: ACS Public Use Microdata Sample
