age,count
19,3
20,2570
21,3063
22,3287
23,3265
24,5635
25,6126
26,6655
27,6836
28,10016
29,9746
30,9477
31,9694
32,9253
33,9658
34,9932
35,10118
36,10039
37,10353
38,10701
39,10615
40,10935
41,10849
42,10732
43,10988
44,12164
45,12384
46,12819
47,14267
48,15797
49,15052
50,15189
51,15124
52,15543
53,15855
54,17294
55,18004
56,18901
57,18762
58,18959
59,18649
60,19116
61,18942
62,19317
63,18787
64,19008
65,18113
66,18238
67,18687
68,17115
69,17404
70,17791
71,18223
72,16299
73,13498
74,13087
75,13116
76,12664
77,11060
78,10431
79,9535
80,9424
81,8732
82,7611
83,8056
84,6828
85,6642
86,6152
87,5735
88,5197
89,4623
90,4233
91,3959
92,3490
93,2914
94,2332
95,1932
96,1434
97,1199
98,833
99,709
100,491
101,358
102,284
103,135
104,129
105,68
106,48
107,26
108,17
109,11
110,12
111,5
112,2
114,6
118,4773
