election.name,subtype,count,estimate,type,year
03/15/2016 PRIMARY,18 to 25,3750,0.4289930674720297,age,2016
03/15/2016 PRIMARY,26 to 29,3007,0.3439952410369048,age,2016
03/15/2016 PRIMARY,30 to 39,8262,0.9451575262543758,age,2016
03/15/2016 PRIMARY,40 to 49,10554,1.2073580890932802,age,2016
03/15/2016 PRIMARY,50 to 64,24263,2.7756423456196946,age,2016
03/15/2016 PRIMARY,65 to 84,25035,2.8639577184432703,age,2016
03/15/2016 PRIMARY,85 years and older,3239,0.37053561214450775,age,2016
05/04/2010 PRIMARY,26 to 29,240,0.0274555563182099,age,2010
05/04/2010 PRIMARY,30 to 39,897,0.1026151417393095,age,2010
05/04/2010 PRIMARY,40 to 49,2096,0.23977852517903311,age,2010
05/04/2010 PRIMARY,50 to 64,6911,0.7906056238131192,age,2010
05/04/2010 PRIMARY,65 to 84,11190,1.2801153133365364,age,2010
05/04/2010 PRIMARY,85 years and older,3392,0.38803852929736654,age,2010
05/06/2014 PRIMARY,18 to 25,371,0.04244171414189947,age,2014
05/06/2014 PRIMARY,26 to 29,378,0.04324250120118059,age,2014
05/06/2014 PRIMARY,30 to 39,1639,0.18749857002310844,age,2014
05/06/2014 PRIMARY,40 to 49,3224,0.36881963987461963,age,2014
05/06/2014 PRIMARY,50 to 64,9657,1.104742947353971,age,2014
05/06/2014 PRIMARY,65 to 84,14565,1.666209074061363,age,2014
05/06/2014 PRIMARY,85 years and older,2709,0.3099045919417942,age,2014
05/08/2012 PRIMARY,18 to 25,843,0.09643764156771227,age,2012
05/08/2012 PRIMARY,26 to 29,2138,0.24458324753471986,age,2012
05/08/2012 PRIMARY,30 to 39,7035,0.8047909945775277,age,2012
05/08/2012 PRIMARY,40 to 49,9846,1.126364197954561,age,2012
05/08/2012 PRIMARY,50 to 64,22654,2.5915757201363623,age,2012
05/08/2012 PRIMARY,65 to 84,25599,2.928478275791063,age,2012
05/08/2012 PRIMARY,85 years and older,5563,0.6363969158258402,age,2012
11/02/2010 GENERAL,18 to 25,6,6.863889079552475e-4,age,2010
11/02/2010 GENERAL,26 to 29,1644,0.1880705607797378,age,2010
11/02/2010 GENERAL,30 to 39,6567,0.7512526597570183,age,2010
11/02/2010 GENERAL,40 to 49,11169,1.2777129521586932,age,2010
11/02/2010 GENERAL,50 to 64,28159,3.221337543185302,age,2010
11/02/2010 GENERAL,65 to 84,32008,3.6616560276385934,age,2010
11/02/2010 GENERAL,85 years and older,8521,0.9747866474477772,age,2010
11/04/2008 GENERAL,18 to 25,9,0.0010295833619328712,age,2008
11/04/2008 GENERAL,26 to 29,4882,0.5584917747729197,age,2008
11/04/2008 GENERAL,30 to 39,21203,2.425584002562519,age,2008
11/04/2008 GENERAL,40 to 49,24240,2.7730111881391997,age,2008
11/04/2008 GENERAL,50 to 64,46805,5.354405472807559,age,2008
11/04/2008 GENERAL,65 to 84,42723,4.88743221909534,age,2008
11/04/2008 GENERAL,85 years and older,13043,1.492095087743382,age,2008
11/04/2014 GENERAL,18 to 25,2145,0.245384034594001,age,2014
11/04/2014 GENERAL,26 to 29,2804,0.32077241631775233,age,2014
11/04/2014 GENERAL,30 to 39,9483,1.0848376690232686,age,2014
11/04/2014 GENERAL,40 to 49,14231,1.628000091518521,age,2014
11/04/2014 GENERAL,50 to 64,32518,3.7199990848147895,age,2014
11/04/2014 GENERAL,65 to 84,32884,3.76186880820006,age,2014
11/04/2014 GENERAL,85 years and older,5643,0.6455487679319102,age,2014
11/06/2012 GENERAL,18 to 25,4288,0.49053927288535015,age,2012
11/06/2012 GENERAL,26 to 29,9148,1.0465142883291008,age,2012
11/06/2012 GENERAL,30 to 39,22022,2.51927608849841,age,2012
11/06/2012 GENERAL,40 to 49,24924,2.851259523646098,age,2012
11/06/2012 GENERAL,50 to 64,48042,5.495915985997666,age,2012
11/06/2012 GENERAL,65 to 84,42256,4.834008282426156,age,2012
11/06/2012 GENERAL,85 years and older,9742,1.11446679021667,age,2012
11/08/2016 GENERAL,18 to 25,12537,1.4342096231724895,age,2016
11/08/2016 GENERAL,26 to 29,9012,1.0309561397487816,age,2016
11/08/2016 GENERAL,30 to 39,22732,2.600498775939781,age,2016
11/08/2016 GENERAL,40 to 49,25703,2.9403756835289543,age,2016
11/08/2016 GENERAL,50 to 64,48441,5.54156084837669,age,2016
11/08/2016 GENERAL,65 to 84,39652,4.536115496373578,age,2016
11/08/2016 GENERAL,85 years and older,5897,0.6746058983686823,age,2016
