year,election.name,subtype,type,total_citizens,voted,estimate,description
2008,2008/11/04 GENERAL,All,All,241191,167539,0.75418079,Registered
2010,2010/05/04 PRIMARY,All,All,245097,27108,0.120632265,Registered
2010,2010/11/02 GENERAL,All,All,245097,96503,0.424889378,Registered
2012,2012/05/08 PRIMARY,All,All,252194,80761,0.345485346,Registered
2012,2012/11/06 GENERAL,All,All,252194,175609,0.710872636,Registered
2014,2014/05/06 PRIMARY,All,All,257272,35670,0.148021197,Registered
2014,2014/11/04 GENERAL,All,All,257272,109293,0.442996518,Registered
2016,2016/03/15 PRIMARY,All,All,268263,85585,0.356825696,Registered
2016,2016/11/08 GENERAL,All,All,268263,179320,0.700023032,Registered
2008,2008/11/04 GENERAL,"White, non-Hispanic",total,241191,104727,0.684369425,Registered
2010,2010/05/04 PRIMARY,"White, non-Hispanic",race,245097,19284,0.125174448,Registered
2010,2010/11/02 GENERAL,"White, non-Hispanic",race,245097,65368,0.420094728,Registered
2012,2012/05/08 PRIMARY,"White, non-Hispanic",race,252194,57555,0.362318384,Registered
2012,2012/11/06 GENERAL,"White, non-Hispanic",race,252194,107432,0.651825965,Registered
2014,2014/05/06 PRIMARY,"White, non-Hispanic",race,257272,25078,0.156560391,Registered
2014,2014/11/04 GENERAL,"White, non-Hispanic",race,257272,69697,0.429798596,Registered
2016,2016/03/15 PRIMARY,"White, non-Hispanic",race,268263,57052,0.362046427,Registered
2016,2016/11/08 GENERAL,"White, non-Hispanic",race,268263,109184,0.662295201,Registered
2008,2008/11/04 GENERAL,African American,race,241191,41885,0.696006913,Registered
2010,2010/11/02 GENERAL,African American,race,245097,20319,0.329848541,Registered
2010,2010/05/04 PRIMARY,African American,race,245097,5051,0.082698888,Registered
2012,2012/05/08 PRIMARY,African American,race,252194,13998,0.219838553,Registered
2012,2012/11/06 GENERAL,African American,race,252194,44891,0.653140504,Registered
2014,2014/11/04 GENERAL,African American,race,257272,26202,0.380190952,Registered
2014,2014/05/06 PRIMARY,African American,race,257272,6792,0.10118888,Registered
2016,2016/03/15 PRIMARY,African American,race,268263,17353,0.260203929,Registered
2016,2016/11/08 GENERAL,African American,race,268263,42169,0.595733559,Registered
2008,2008/11/04 GENERAL,Female,gender,241191,85631,0.698253368,Registered
2010,2010/11/02 GENERAL,Female,gender,245097,47930,0.38288864,Registered
2010,2010/05/04 PRIMARY,Female,gender,245097,13020,0.105086442,Registered
2012,2012/05/08 PRIMARY,Female,gender,252194,41085,0.318955679,Registered
2012,2012/11/06 GENERAL,Female,gender,252194,89532,0.662547268,Registered
2014,2014/11/04 GENERAL,Female,gender,257272,54714,0.408024162,Registered
2014,2014/05/06 PRIMARY,Female,gender,257272,17173,0.130275146,Registered
2016,2016/03/15 PRIMARY,Female,gender,257272,43657,0.334246974,Registered
2016,2016/11/08 GENERAL,Female,gender,257272,90916,0.661640346,Registered
2008,2008/11/04 GENERAL,Hispanic/Latino,race,241191,1690,0.649500384,Registered
2010,2010/11/02 GENERAL,Hispanic/Latino,race,245097,550,0.167580743,Registered
2010,2010/05/04 PRIMARY,Hispanic/Latino,race,245097,61,0.019837398,Registered
2012,2012/05/08 PRIMARY,Hispanic/Latino,race,252194,502,0.126384693,Registered
2012,2012/11/06 GENERAL,Hispanic/Latino,race,252194,2577,0.524313327,Registered
2014,2014/05/06 PRIMARY,Hispanic/Latino,race,257272,139,0.025913497,Registered
2014,2014/11/04 GENERAL,Hispanic/Latino,race,257272,1022,0.176694329,Registered
2016,2016/03/15 PRIMARY,Hispanic/Latino,race,257272,1257,0.198484131,Registered
2016,2016/11/08 GENERAL,Hispanic/Latino,race,257272,4261,0.555179153,Registered
2008,2008/11/04 GENERAL,Male,gender,241191,65961,0.6752142,Registered
2010,2010/05/04 PRIMARY,Male,gender,245097,11638,0.11766847,Registered
2010,2010/11/02 GENERAL,Male,gender,245097,39708,0.397087942,Registered
2012,2012/05/08 PRIMARY,Male,gender,252194,32182,0.312899243,Registered
2012,2012/11/06 GENERAL,Male,gender,252194,69197,0.635552045,Registered
2014,2014/05/06 PRIMARY,Male,gender,257272,15241,0.143420409,Registered
2014,2014/11/04 GENERAL,Male,gender,257272,44095,0.406915581,Registered
2016,2016/03/15 PRIMARY,Male,gender,257272,33674,0.320034214,Registered
2016,2016/11/08 GENERAL,Male,gender,257272,69306,0.621790386,Registered
2008,2008/11/04 GENERAL,All,All,241191,167539,0.694632055,Eligible
2010,2010/05/04 PRIMARY,All,All,245097,27108,0.110601109,Eligible
2010,2010/11/02 GENERAL,All,All,245097,96503,0.393733909,Eligible
2012,2012/05/08 PRIMARY,All,All,252194,80761,0.32023363,Eligible
2012,2012/11/06 GENERAL,All,All,252194,175609,0.696325051,Eligible
2014,2014/05/06 PRIMARY,All,All,257272,35670,0.138647035,Eligible
2014,2014/11/04 GENERAL,All,All,257272,109293,0.424814982,Eligible
2016,2016/03/15 PRIMARY,All,All,268263,85585,0.319033933,Eligible
2016,2016/11/08 GENERAL,All,All,268263,179320,0.6684485,Eligible
2008,2008/11/04 GENERAL,"White, non-Hispanic",total,241191,104727,0.612066346,Eligible
2010,2010/05/04 PRIMARY,"White, non-Hispanic",race,245097,19284,0.113604364,Eligible
2010,2010/11/02 GENERAL,"White, non-Hispanic",race,245097,65368,0.385090753,Eligible
2012,2012/05/08 PRIMARY,"White, non-Hispanic",race,252194,57555,0.325994608,Eligible
2012,2012/11/06 GENERAL,"White, non-Hispanic",race,252194,107432,0.608500612,Eligible
