ELECTION.NAME,count,year
,57422,
11/04/2008 GENERAL,167539,2008
09/15/2009 WINSTON-SALEM PRIMARY,3280,2009
10/06/2009 SECOND PRIMARY,541,2009
11/03/2009 MUNICIPAL GENERAL,17929,2009
05/04/2010 PRIMARY,27108,2010
06/22/2010 SECOND PRIMARY,6801,2010
11/02/2010 GENERAL,96503,2010
11/08/2011 MUNICIPAL,5568,2011
05/08/2012 PRIMARY,80761,2012
07/17/2012 SECOND PRIMARY,4298,2012
11/06/2012 GENERAL,175609,2012
09/10/2013 WINSTON-SALEM PRIMARY,11371,2013
11/05/2013 MUNICIPAL GENERAL,21615,2013
05/06/2014 PRIMARY,35670,2014
07/15/2014 SECOND PRIMARY,2027,2014
11/04/2014 GENERAL,109293,2014
11/03/2015 MUNICIPAL,3911,2015
03/15/2016 PRIMARY,85585,2016
06/07/2016 CONGRESSIONAL PRIMARY,20597,2016
11/08/2016 GENERAL,179320,2016
11/07/2017 MUNICIPAL,5849,2017
05/08/2018 PRIMARY,29409,2018
