Var1,Var2,Freq
,,1
01/06/2009 BENSALEM TOWNSHIP ABC REFERENDUM,,0
01/11/2011 ABC ELECTION,,0
02/01/2011 BOND REFERENDUM,,0
02/01/2011 REFERENDUM,,0
02/02/2010 COUNTY SALES TAX ELECTION,,0
02/03/2009 SPECIAL ELECTION,,0
02/08/2011 FAIR BLUFF ABC,,0
02/23/2010 FAIR BLUFF MUNICIPAL,,0
03/02/2010 REFERENDUM,,0
03/02/2010 SALES TAX REFERENDUM,,0
03/02/2010 SPECIAL ELECTION,,0
03/09/2010 SPECIAL 11/03/2009,,0
03/09/2010  WINDSOR MIXED BEVERAGE ELECTION,,0
03/10/2009 SPECIAL,,0
03/11/2014 SPECIAL MUNICIPAL,,0
03/12/2013 GARNER BONDS,,0
03/15/2016 PRIMARY,,0
03/16/2010 MUNICIPAL,,0
03/19/2013 COUNTY WIDE ABC ELECTION,,0
03/19/2013 TOWN OF CARRBORO ELECTION,,0
04/05/2011 SPECIAL,,0
04/06/2010 MUNICIPAL ALCOHOL REFERENDUM,,0
04/26/2011 HANDY SANITARY DISTRICT SUPERVISOR ELECTION,,0
04/26/2011 SPECIAL,,0
04/26/2011 SPECIAL ELECTION,,0
05/04/2010 PRIMARY,,0
05/05/2009 KINGS MTN MIXED BEVERAGE REFERENDUM,,0
05/05/2009 MIXED BEVERAGE,,0
05/06/2014 PRIMARY,,0
05/08/2012 PRIMARY,,0
05/08/2012 PRIMARY/RVILLE MUNI,,0
05/08/2018 PRIMARY,,0
05/12/2015 SPECIAL MUNICIPAL,,0
05/17/2011 ADVISORY REFERENDUM,,0
05/19/2009 RANDLEMAN CITY ABC ELECTION,,0
05/24/2011 SPECIAL ELECTION,,0
06/02/2009 BHI BOND ELECTION,,0
06/07/2016 CONGRESSIONAL PRIMARY,,0
06/16/2009 ATKINSON WATER BOND,,0
06/22/2010 SECOND PRIMARY,,0
06/26/2018 RUNOFF,,0
06/26/2018 SECOND PRIMARY,,0
07/15/2014 SECOND PRIMARY,,0
07/17/2012 SECOND PRIMARY,,0
07/19/2011 TRINITY CITY ABC ELECTION,,0
07/28/2009 SPECIAL BOND REFERENDUM,,0
08/03/2010 SPECIAL TAX REFERENDUM,,0
08/09/2011 DOBSON MIXED BEVERAGE,,0
08/18/2009 ABC ELECTION,,0
09/10/2013 ALB MUNI PRIMARY,,0
09/10/2013 MUNICIPAL PRIMARY,,0
09/10/2013 PRIMARY,,0
09/10/2013 WINSTON-SALEM PRIMARY,,0
09/12/2017 MUNCIPAL PRIMARY,,0
09/12/2017 SCHOOL BOARD PRIMARY,,0
09/13/2011 MUNICIPAL PRIMARY,,0
09/15/2009 ALB PRIMARY,,0
09/15/2009 MUNICIPAL PRIMARY,,0
09/15/2009 WINSTON-SALEM PRIMARY,,0
09/15/2015 ALB PRIMARY,,0
09/15/2015 MUNCIPAL PRIMARY,,0
09/15/2015 MUNICIPAL PRIMARY,,0
09/18/2012 CITY OF HICKORY REFERENDUM,,0
09/18/2012 MIXED BEVERAGE,,0
10/02/2012 MCADENVILLE ABC REFERENDUM,,0
10/06/2009 ASHEBORO PRIMARY,,0
10/06/2009 ATLANTIC BEACH MUNICIPAL,,0
10/06/2009 BURLINGTON PRIMARY,,0
10/06/2009 CARY MUNICIPAL,,0
10/06/2009 CITY OF HENDERSON MUNICIPAL ELECTION,,0
10/06/2009 DH MUNICIPAL,,0
10/06/2009 HICKORY PRIMARY,,0
10/06/2009 MA MUNICIPAL PRIMARY,,0
10/06/2009 MONROE MUNICIPAL ELECTION,,0
10/06/2009 MORGANTON CITY,,0
10/06/2009 MUNICIPAL,,0
10/06/2009 MUNICIPAL ELECTIONS,,0
10/06/2009 MUNICIPAL GENERAL,,0
10/06/2009 MUNICIPAL PRIMARY,,0
10/06/2009 RALEIGH CARY BD OF ED,,0
10/06/2009 REIDSVILLE ELECTION,,0
10/06/2009 ROCKY MOUNT MUNICIPAL,,0
10/06/2009 SECOND PRIMARY,,0
10/06/2009 SHARPSBURG MUNICIPAL,,0
10/06/2009 SHELBY/KT MUNICIPAL,,0
10/06/2015 ATLANTIC BEACH MUNICIPAL,,0
10/06/2015 BURLINGTON PRIMARY,,0
10/06/2015 CARY MUNICIPAL,,0
10/06/2015 CITY OF DURHAM,,0
10/06/2015 CITY OF HENDERSON MUNICIPAL ELECTION,,0
10/06/2015 DH ELECTION,,0
10/06/2015 DUNN ERWIN MUNICIPAL,,0
10/06/2015 GOLDSBORO PRIMARY,,0
10/06/2015 MA MUNICIPAL PRIMARY,,0
10/06/2015 MONROE MUNICIPAL ELECTION,,0
10/06/2015 MUNICIPAL,,0
10/06/2015 MUNICIPAL ELECTIONS,,0
10/06/2015 MUNICIPAL PRIMARY,,0
10/06/2015 MUNICIPAL RALEIGH CARY,,0
10/06/2015 ROCKY MOUNT MUNICIPAL ELECTION,,0
10/06/2015 SECOND PRIMARY,,0
10/06/2015 SHARPSBURG MUNICIPAL,,0
10/08/2013 ATLANTIC BEACH MUNICIPAL,,0
10/08/2013 CARY MUNI,,0
