group,population,type,subtype,se,year
"Durham County, NC",273579,total,9999,4913,2006
"Forsyth County, NC",234741,total,9999,2457,2006
"Guilford County, NC",318070,total,9999,2552,2006
"Durham County, NC",166270,RAC1P,1,3996,2006
"Forsyth County, NC",164057,RAC1P,1,1760,2006
"Guilford County, NC",210878,RAC1P,1,3230,2006
"Durham County, NC",89984,RAC1P,2,3168,2006
"Forsyth County, NC",60059,RAC1P,2,1913,2006
"Guilford County, NC",93729,RAC1P,2,2882,2006
"Durham County, NC",6504,RAC1P,3,1117,2006
"Forsyth County, NC",5758,RAC1P,3,1207,2006
"Guilford County, NC",4482,RAC1P,3,740,2006
"Durham County, NC",10821,RAC1P,4,1256,2006
"Forsyth County, NC",4867,RAC1P,4,838,2006
"Guilford County, NC",8981,RAC1P,4,1212,2006
"Durham County, NC",126278,SEX,1,3164,2006
"Forsyth County, NC",109477,SEX,1,1717,2006
"Guilford County, NC",146948,SEX,1,1705,2006
"Durham County, NC",147301,SEX,2,2558,2006
"Forsyth County, NC",125264,SEX,2,1261,2006
"Guilford County, NC",171122,SEX,2,1462,2006
"Durham County, NC",40535,AGEP,25,1974,2006
"Forsyth County, NC",30781,AGEP,25,1567,2006
"Guilford County, NC",48984,AGEP,25,1809,2006
"Durham County, NC",19981,AGEP,29,1505,2006
"Forsyth County, NC",16157,AGEP,29,1015,2006
"Guilford County, NC",17396,AGEP,29,1113,2006
"Durham County, NC",117617,AGEP,49,3581,2006
"Forsyth County, NC",87613,AGEP,49,1750,2006
"Guilford County, NC",121060,AGEP,49,2087,2006
"Durham County, NC",59784,AGEP,64,2418,2006
"Forsyth County, NC",60579,AGEP,64,1652,2006
"Guilford County, NC",77669,AGEP,64,1860,2006
"Durham County, NC",31336,AGEP,84,1425,2006
"Forsyth County, NC",35140,AGEP,84,1112,2006
"Guilford County, NC",47774,AGEP,84,1586,2006
"Durham County, NC",4326,AGEP,150,783,2006
"Forsyth County, NC",4471,AGEP,150,588,2006
"Guilford County, NC",5187,AGEP,150,711,2006
North Carolina,6307276,total,9999,13669,2006
North Carolina,4658204,RAC1P,1,11632,2006
North Carolina,1335747,RAC1P,2,10739,2006
North Carolina,119732,RAC1P,3,5323,2006
North Carolina,193593,RAC1P,4,4696,2006
North Carolina,2997749,SEX,1,8367,2006
North Carolina,3309527,SEX,2,7503,2006
North Carolina,896482,AGEP,25,9220,2006
North Carolina,416444,AGEP,29,6351,2006
North Carolina,2384837,AGEP,49,8647,2006
North Carolina,1548377,AGEP,64,8226,2006
North Carolina,943426,AGEP,84,7197,2006
North Carolina,117710,AGEP,150,3381,2006
"Durham County, NC",289594,total,9999,4837,2008
"Forsyth County, NC",241191,total,9999,2340,2008
"Guilford County, NC",336518,total,9999,2791,2008
"Durham County, NC",179049,RAC1P,1,4541,2008
"Forsyth County, NC",168006,RAC1P,1,2492,2008
"Guilford County, NC",214635,RAC1P,1,2610,2008
"Durham County, NC",89439,RAC1P,2,3222,2008
"Forsyth County, NC",61774,RAC1P,2,1842,2008
"Guilford County, NC",102715,RAC1P,2,2441,2008
"Durham County, NC",8586,RAC1P,3,1724,2008
"Forsyth County, NC",6674,RAC1P,3,1271,2008
"Guilford County, NC",8350,RAC1P,3,1027,2008
"Durham County, NC",12520,RAC1P,4,1491,2008
"Forsyth County, NC",4737,RAC1P,4,628,2008
"Guilford County, NC",10818,RAC1P,4,1584,2008
"Durham County, NC",133534,SEX,1,2992,2008
"Forsyth County, NC",112432,SEX,1,1527,2008
"Guilford County, NC",155996,SEX,1,1875,2008
"Durham County, NC",156060,SEX,2,2956,2008
"Forsyth County, NC",128759,SEX,2,1561,2008
"Guilford County, NC",180522,SEX,2,1739,2008
"Durham County, NC",44635,AGEP,25,2607,2008
"Forsyth County, NC",36080,AGEP,25,1506,2008
"Guilford County, NC",52991,AGEP,25,1528,2008
"Durham County, NC",20274,AGEP,29,1377,2008
"Forsyth County, NC",13511,AGEP,29,970,2008
"Guilford County, NC",19491,AGEP,29,1158,2008
"Durham County, NC",113851,AGEP,49,3321,2008
"Forsyth County, NC",86523,AGEP,49,1674,2008
"Guilford County, NC",123516,AGEP,49,2e3,2008
"Durham County, NC",70669,AGEP,64,2298,2008
"Forsyth County, NC",63063,AGEP,64,1508,2008
"Guilford County, NC",85713,AGEP,64,2021,2008
"Durham County, NC",34685,AGEP,84,1662,2008
"Forsyth County, NC",36647,AGEP,84,1218,2008
"Guilford County, NC",47060,AGEP,84,1223,2008
"Durham County, NC",5480,AGEP,150,869,2008
"Forsyth County, NC",5367,AGEP,150,603,2008
"Guilford County, NC",7747,AGEP,150,829,2008
North Carolina,6571783,total,9999,11056,2008
North Carolina,4825314,RAC1P,1,11096,2008
