subtype,geo_area,estimate,type,se,year
1,"Durham County, NC",211440,RAC1P,5187,2006
1,"Forsyth County, NC",206453,RAC1P,2426,2006
1,"Guilford County, NC",266668,RAC1P,4113,2006
2,"Durham County, NC",126102,RAC1P,4641,2006
2,"Forsyth County, NC",82323,RAC1P,2884,2006
2,"Guilford County, NC",131088,RAC1P,3970,2006
3,"Durham County, NC",16646,RAC1P,1954,2006
3,"Forsyth County, NC",17629,RAC1P,1637,2006
3,"Guilford County, NC",11430,RAC1P,1119,2006
4,"Durham County, NC",16948,RAC1P,1853,2006
4,"Forsyth County, NC",7075,RAC1P,1081,2006
4,"Guilford County, NC",16089,RAC1P,1705,2006
1,"Durham County, NC",177962,SEX,3336,2006
1,"Forsyth County, NC",150579,SEX,1453,2006
1,"Guilford County, NC",203216,SEX,1584,2006
2,"Durham County, NC",193174,SEX,3381,2006
2,"Forsyth County, NC",162901,SEX,1047,2006
2,"Guilford County, NC",222059,SEX,1574,2006
25,"Durham County, NC",138092,AGEP,3988,2006
25,"Forsyth County, NC",109520,AGEP,2013,2006
25,"Guilford County, NC",156189,AGEP,2420,2006
29,"Durham County, NC",19981,AGEP,1505,2006
29,"Forsyth County, NC",16157,AGEP,1015,2006
29,"Guilford County, NC",17396,AGEP,1113,2006
49,"Durham County, NC",117617,AGEP,3581,2006
49,"Forsyth County, NC",87613,AGEP,1750,2006
49,"Guilford County, NC",121060,AGEP,2087,2006
64,"Durham County, NC",59784,AGEP,2418,2006
64,"Forsyth County, NC",60579,AGEP,1652,2006
64,"Guilford County, NC",77669,AGEP,1860,2006
84,"Durham County, NC",31336,AGEP,1425,2006
84,"Forsyth County, NC",35140,AGEP,1112,2006
84,"Guilford County, NC",47774,AGEP,1586,2006
150,"Durham County, NC",4326,AGEP,783,2006
150,"Forsyth County, NC",4471,AGEP,588,2006
150,"Guilford County, NC",5187,AGEP,711,2006
1,North Carolina,5939175,RAC1P,14812,2006
2,North Carolina,1858680,RAC1P,14794,2006
3,North Carolina,292467,RAC1P,7343,2006
4,North Carolina,317925,RAC1P,7302,2006
1,North Carolina,4084779,SEX,7547,2006
2,North Carolina,4323468,SEX,7256,2006
25,North Carolina,2997453,AGEP,11235,2006
29,North Carolina,416444,AGEP,6351,2006
49,North Carolina,2384837,AGEP,8647,2006
64,North Carolina,1548377,AGEP,8226,2006
84,North Carolina,943426,AGEP,7197,2006
150,North Carolina,117710,AGEP,3381,2006
1,"Durham County, NC",221072,RAC1P,5328,2008
1,"Forsyth County, NC",208914,RAC1P,3396,2008
1,"Guilford County, NC",266873,RAC1P,3233,2008
2,"Durham County, NC",127768,RAC1P,5095,2008
2,"Forsyth County, NC",85575,RAC1P,2704,2008
2,"Guilford County, NC",141993,RAC1P,3368,2008
3,"Durham County, NC",24023,RAC1P,2338,2008
3,"Forsyth County, NC",18780,RAC1P,2457,2008
3,"Guilford County, NC",17714,RAC1P,1648,2008
4,"Durham County, NC",19376,RAC1P,2316,2008
4,"Forsyth County, NC",9791,RAC1P,1800,2008
4,"Guilford County, NC",19233,RAC1P,2305,2008
1,"Durham County, NC",186436,SEX,3320,2008
1,"Forsyth County, NC",153736,SEX,1554,2008
1,"Guilford County, NC",211486,SEX,1651,2008
2,"Durham County, NC",205803,SEX,4015,2008
2,"Forsyth County, NC",169324,SEX,1080,2008
2,"Guilford County, NC",234327,SEX,1300,2008
25,"Durham County, NC",147280,AGEP,4193,2008
25,"Forsyth County, NC",117949,AGEP,2464,2008
25,"Guilford County, NC",162286,AGEP,2222,2008
29,"Durham County, NC",20274,AGEP,1377,2008
29,"Forsyth County, NC",13511,AGEP,970,2008
29,"Guilford County, NC",19491,AGEP,1158,2008
49,"Durham County, NC",113851,AGEP,3321,2008
49,"Forsyth County, NC",86523,AGEP,1674,2008
49,"Guilford County, NC",123516,AGEP,2e3,2008
64,"Durham County, NC",70669,AGEP,2298,2008
64,"Forsyth County, NC",63063,AGEP,1508,2008
64,"Guilford County, NC",85713,AGEP,2021,2008
84,"Durham County, NC",34685,AGEP,1662,2008
84,"Forsyth County, NC",36647,AGEP,1218,2008
84,"Guilford County, NC",47060,AGEP,1223,2008
