"","year","geo_description","subtype","estimate","se","type"
"1",2007,"Forsyth County, NC","Total",47.4,3.74128959030628,"Comparison Community"
"2",2008,"Forsyth County, NC","Total",39.9,3.4040741886041,"Comparison Community"
"3",2009,"Forsyth County, NC","Total",39.7,3.37500114235732,"Comparison Community"
"4",2010,"Forsyth County, NC","Total",34.7,3.14232342011302,"Comparison Community"
"5",2011,"Forsyth County, NC","Total",33.3,3.06343656156418,"Comparison Community"
"6",2012,"Forsyth County, NC","Total",27.7,2.78186844082529,"Comparison Community"
"7",2013,"Forsyth County, NC","Total",27.5,2.76002328465829,"Comparison Community"
"8",2014,"Forsyth County, NC","Total",27.2,2.73000974956473,"Comparison Community"
"9",2015,"Forsyth County, NC","Total",31.9,2.94454003044438,"Comparison Community"
"10",2016,"Forsyth County, NC","Total",34.4,3.04251822076419,"Comparison Community"
"11",2007,"Durham County, NC","Total",34.8,3.71026152742745,"Comparison Community"
"12",2008,"Durham County, NC","Total",31.4,3.47949866562415,"Comparison Community"
"13",2009,"Durham County, NC","Total",24.5,3.03856538571247,"Comparison Community"
"14",2010,"Durham County, NC","Total",26.6,3.13108106506365,"Comparison Community"
"15",2011,"Durham County, NC","Total",27.2,3.13428060025299,"Comparison Community"
"16",2012,"Durham County, NC","Total",26.5,3.06008005643667,"Comparison Community"
"17",2013,"Durham County, NC","Total",24.6,2.91775410830742,"Comparison Community"
"18",2014,"Durham County, NC","Total",28.4,3.10033307444692,"Comparison Community"
"19",2015,"Durham County, NC","Total",27.8,3.03818111199943,"Comparison Community"
"20",2016,"Durham County, NC","Total",31.4,3.19765780967542,"Comparison Community"
"21",2007,"Guilford County, NC","Total",31.5,2.59308192933342,"Comparison Community"
"22",2008,"Guilford County, NC","Total",34.8,2.69874878020206,"Comparison Community"
"23",2009,"Guilford County, NC","Total",24.5,2.2494669624384,"Comparison Community"
"24",2010,"Guilford County, NC","Total",20,2.02123754844762,"Comparison Community"
"25",2011,"Guilford County, NC","Total",24.3,2.21510766996469,"Comparison Community"
"26",2012,"Guilford County, NC","Total",18.7,1.93230288351782,"Comparison Community"
"27",2013,"Guilford County, NC","Total",22.8,2.12110196502656,"Comparison Community"
"28",2014,"Guilford County, NC","Total",16.9,1.81584613660806,"Comparison Community"
"29",2015,"Guilford County, NC","Total",24.6,2.17981302578418,"Comparison Community"
"30",2016,"Guilford County, NC","Total",27.4,2.29108759510571,"Comparison Community"
"31",2007,"North Carolina","Total",26.8,0.542146579304579,"Comparison Community"
"32",2008,"North Carolina","Total",25.2,0.520281378023873,"Comparison Community"
"33",2009,"North Carolina","Total",25.1,0.515383997116157,"Comparison Community"
"34",2010,"North Carolina","Total",21.4,0.472775075855518,"Comparison Community"
"35",2011,"North Carolina","Total",20.8,0.463956246278148,"Comparison Community"
"36",2012,"North Carolina","Total",20.6,0.459529416436163,"Comparison Community"
"37",2013,"North Carolina","Total",18.6,0.434552748801435,"Comparison Community"
"38",2014,"North Carolina","Total",18.1,0.42669814573509,"Comparison Community"
"39",2015,"North Carolina","Total",19.5,0.44066868780896,"Comparison Community"
"40",2016,"North Carolina","Total",21.1,0.45579037556962,"Comparison Community"
