"","year","geo_description","subtype","estimate","se","type"
"1",2007,"Forsyth County, NC","Total",232.8,8.29131934793911,"Comparison Community"
"2",2008,"Forsyth County, NC","Total",237,8.29634381578923,"Comparison Community"
"3",2009,"Forsyth County, NC","Total",185.1,7.28755558246434,"Comparison Community"
"4",2010,"Forsyth County, NC","Total",137.8,6.26196669825802,"Comparison Community"
"5",2011,"Forsyth County, NC","Total",137.8,6.23176952849756,"Comparison Community"
"6",2012,"Forsyth County, NC","Total",132.1,6.07502559342737,"Comparison Community"
"7",2013,"Forsyth County, NC","Total",140.9,6.24743714767323,"Comparison Community"
"8",2014,"Forsyth County, NC","Total",131.7,6.00720749927138,"Comparison Community"
"9",2015,"Forsyth County, NC","Total",133.4,6.02143546447275,"Comparison Community"
"10",2016,"Forsyth County, NC","Total",141.8,6.17720596162919,"Comparison Community"
"11",2007,"Durham County, NC","Total",334.4,11.5013292301245,"Comparison Community"
"12",2008,"Durham County, NC","Total",364.1,11.8484677205759,"Comparison Community"
"13",2009,"Durham County, NC","Total",279.3,10.2593775384791,"Comparison Community"
"14",2010,"Durham County, NC","Total",258.9,9.76831191475404,"Comparison Community"
"15",2011,"Durham County, NC","Total",269.4,9.86398080095978,"Comparison Community"
"16",2012,"Durham County, NC","Total",234.8,9.10875241686865,"Comparison Community"
"17",2013,"Durham County, NC","Total",228.1,8.88472066815002,"Comparison Community"
"18",2014,"Durham County, NC","Total",236.5,8.94673875057687,"Comparison Community"
"19",2015,"Durham County, NC","Total",263.3,9.35010937259415,"Comparison Community"
"20",2016,"Durham County, NC","Total",302.4,9.92334421596565,"Comparison Community"
"21",2007,"Guilford County, NC","Total",297.1,7.96365225573413,"Comparison Community"
"22",2008,"Guilford County, NC","Total",291.6,7.81207846820865,"Comparison Community"
"23",2009,"Guilford County, NC","Total",257.7,7.29547857240902,"Comparison Community"
"24",2010,"Guilford County, NC","Total",183.4,6.12071313279131,"Comparison Community"
"25",2011,"Guilford County, NC","Total",168.9,5.83991503839453,"Comparison Community"
"26",2012,"Guilford County, NC","Total",151,5.49089162899389,"Comparison Community"
"27",2013,"Guilford County, NC","Total",135.8,5.17659284560126,"Comparison Community"
"28",2014,"Guilford County, NC","Total",124.8,4.93449810725159,"Comparison Community"
"29",2015,"Guilford County, NC","Total",144.5,5.28306085659429,"Comparison Community"
"30",2016,"Guilford County, NC","Total",154.6,5.44215813702544,"Comparison Community"
"31",2007,"North Carolina","Total",154.6,1.30212917515584,"Comparison Community"
"32",2008,"North Carolina","Total",158.9,1.30647155958628,"Comparison Community"
"33",2009,"North Carolina","Total",130.2,1.17381474535127,"Comparison Community"
"34",2010,"North Carolina","Total",105,1.04723062908954,"Comparison Community"
"35",2011,"North Carolina","Total",101.2,1.02337691201641,"Comparison Community"
"36",2012,"North Carolina","Total",98.3,1.00382143794792,"Comparison Community"
"37",2013,"North Carolina","Total",96.7,0.99083027113217,"Comparison Community"
"38",2014,"North Carolina","Total",87.7,0.939250132142837,"Comparison Community"
"39",2015,"North Carolina","Total",91.4,0.954043077207188,"Comparison Community"
"40",2016,"North Carolina","Total",95.9,0.971702290278997,"Comparison Community"
