geo_description,label,year,description,estimate,moe,se,cv
Forsyth ,HC01_EST_VC01,2006,Total; Estimate; Total population,332355,NA,NA,NA
Forsyth ,HC02_EST_VC01,2006,Male; Estimate; Total population,159699,580.26,296.05,0.19
Forsyth ,HC03_EST_VC01,2006,Female; Estimate; Total population,172656,580.26,296.05,0.17
Forsyth ,HC01_EST_VC03,2006,Total; Estimate; Total population - AGE - Under 5 years,7.1,0.12,0.06,0.85
Forsyth ,HC02_EST_VC03,2006,Male; Estimate; Total population - AGE - Under 5 years,7.5,0.12,0.06,0.8
Forsyth ,HC03_EST_VC03,2006,Female; Estimate; Total population - AGE - Under 5 years,6.6,0.12,0.06,0.91
Forsyth ,HC01_EST_VC04,2006,Total; Estimate; Total population - AGE - 5 to 9 years,6.4,0.6,0.31,4.84
Forsyth ,HC02_EST_VC04,2006,Male; Estimate; Total population - AGE - 5 to 9 years,7,1.07,0.55,7.86
Forsyth ,HC03_EST_VC04,2006,Female; Estimate; Total population - AGE - 5 to 9 years,5.8,0.71,0.36,6.21
Forsyth ,HC01_EST_VC05,2006,Total; Estimate; Total population - AGE - 10 to 14 years,6.9,0.6,0.31,4.49
Forsyth ,HC02_EST_VC05,2006,Male; Estimate; Total population - AGE - 10 to 14 years,7.2,0.95,0.48,6.67
Forsyth ,HC03_EST_VC05,2006,Female; Estimate; Total population - AGE - 10 to 14 years,6.7,0.71,0.36,5.37
Forsyth ,HC01_EST_VC06,2006,Total; Estimate; Total population - AGE - 15 to 19 years,6.9,0.12,0.06,0.87
Forsyth ,HC02_EST_VC06,2006,Male; Estimate; Total population - AGE - 15 to 19 years,7.2,0.36,0.18,2.5
Forsyth ,HC03_EST_VC06,2006,Female; Estimate; Total population - AGE - 15 to 19 years,6.5,0.12,0.06,0.92
Forsyth ,HC01_EST_VC07,2006,Total; Estimate; Total population - AGE - 20 to 24 years,6.6,0.24,0.12,1.82
Forsyth ,HC02_EST_VC07,2006,Male; Estimate; Total population - AGE - 20 to 24 years,6.8,0.48,0.24,3.53
Forsyth ,HC03_EST_VC07,2006,Female; Estimate; Total population - AGE - 20 to 24 years,6.4,0.12,0.06,0.94
Forsyth ,HC01_EST_VC08,2006,Total; Estimate; Total population - AGE - 25 to 29 years,6.3,0.12,0.06,0.95
Forsyth ,HC02_EST_VC08,2006,Male; Estimate; Total population - AGE - 25 to 29 years,6.5,0.12,0.06,0.92
Forsyth ,HC03_EST_VC08,2006,Female; Estimate; Total population - AGE - 25 to 29 years,6.1,0.12,0.06,0.98
Forsyth ,HC01_EST_VC09,2006,Total; Estimate; Total population - AGE - 30 to 34 years,6.8,0.12,0.06,0.88
Forsyth ,HC02_EST_VC09,2006,Male; Estimate; Total population - AGE - 30 to 34 years,7.1,0.24,0.12,1.69
Forsyth ,HC03_EST_VC09,2006,Female; Estimate; Total population - AGE - 30 to 34 years,6.5,0.24,0.12,1.85
Forsyth ,HC01_EST_VC10,2006,Total; Estimate; Total population - AGE - 35 to 39 years,7.4,0.83,0.42,5.68
Forsyth ,HC02_EST_VC10,2006,Male; Estimate; Total population - AGE - 35 to 39 years,7.7,1.19,0.61,7.92
Forsyth ,HC03_EST_VC10,2006,Female; Estimate; Total population - AGE - 35 to 39 years,7.3,0.83,0.42,5.75
Forsyth ,HC01_EST_VC11,2006,Total; Estimate; Total population - AGE - 40 to 44 years,7.6,0.83,0.42,5.53
Forsyth ,HC02_EST_VC11,2006,Male; Estimate; Total population - AGE - 40 to 44 years,7.7,1.19,0.61,7.92
Forsyth ,HC03_EST_VC11,2006,Female; Estimate; Total population - AGE - 40 to 44 years,7.5,0.83,0.42,5.6
Forsyth ,HC01_EST_VC12,2006,Total; Estimate; Total population - AGE - 45 to 49 years,7.4,0.24,0.12,1.62
Forsyth ,HC02_EST_VC12,2006,Male; Estimate; Total population - AGE - 45 to 49 years,7.4,0.36,0.18,2.43
Forsyth ,HC03_EST_VC12,2006,Female; Estimate; Total population - AGE - 45 to 49 years,7.4,0.12,0.06,0.81
Forsyth ,HC01_EST_VC13,2006,Total; Estimate; Total population - AGE - 50 to 54 years,7.1,0.24,0.12,1.69
Forsyth ,HC02_EST_VC13,2006,Male; Estimate; Total population - AGE - 50 to 54 years,6.8,0.24,0.12,1.76
Forsyth ,HC03_EST_VC13,2006,Female; Estimate; Total population - AGE - 50 to 54 years,7.4,0.36,0.18,2.43
