notes,county,gender,ethnicity,race,age,population,year
NA,"Forsyth County, NC",Female,Hispanic or Latino,American Indian or Alaska Native,< 1 year,14,2006
NA,"Forsyth County, NC",Female,Hispanic or Latino,American Indian or Alaska Native,1-4 years,58,2006
NA,"Forsyth County, NC",Female,Hispanic or Latino,American Indian or Alaska Native,5-9 years,85,2006
NA,"Forsyth County, NC",Female,Hispanic or Latino,American Indian or Alaska Native,10-14 years,66,2006
NA,"Forsyth County, NC",Female,Hispanic or Latino,American Indian or Alaska Native,15-19 years,65,2006
NA,"Forsyth County, NC",Female,Hispanic or Latino,American Indian or Alaska Native,20-24 years,44,2006
NA,"Forsyth County, NC",Female,Hispanic or Latino,American Indian or Alaska Native,25-29 years,64,2006
NA,"Forsyth County, NC",Female,Hispanic or Latino,American Indian or Alaska Native,30-34 years,75,2006
NA,"Forsyth County, NC",Female,Hispanic or Latino,American Indian or Alaska Native,35-39 years,50,2006
NA,"Forsyth County, NC",Female,Hispanic or Latino,American Indian or Alaska Native,40-44 years,23,2006
NA,"Forsyth County, NC",Female,Hispanic or Latino,American Indian or Alaska Native,45-49 years,26,2006
NA,"Forsyth County, NC",Female,Hispanic or Latino,American Indian or Alaska Native,50-54 years,13,2006
NA,"Forsyth County, NC",Female,Hispanic or Latino,American Indian or Alaska Native,55-59 years,12,2006
NA,"Forsyth County, NC",Female,Hispanic or Latino,American Indian or Alaska Native,60-64 years,4,2006
NA,"Forsyth County, NC",Female,Hispanic or Latino,American Indian or Alaska Native,65-69 years,4,2006
NA,"Forsyth County, NC",Female,Hispanic or Latino,American Indian or Alaska Native,70-74 years,1,2006
NA,"Forsyth County, NC",Female,Hispanic or Latino,American Indian or Alaska Native,80-84 years,1,2006
NA,"Forsyth County, NC",Female,Hispanic or Latino,American Indian or Alaska Native,85+ years,1,2006
Total,"Forsyth County, NC",Female,Hispanic or Latino,American Indian or Alaska Native,NA,606,2006
NA,"Forsyth County, NC",Female,Hispanic or Latino,Asian or Pacific Islander,< 1 year,3,2006
NA,"Forsyth County, NC",Female,Hispanic or Latino,Asian or Pacific Islander,1-4 years,13,2006
NA,"Forsyth County, NC",Female,Hispanic or Latino,Asian or Pacific Islander,5-9 years,15,2006
NA,"Forsyth County, NC",Female,Hispanic or Latino,Asian or Pacific Islander,10-14 years,15,2006
NA,"Forsyth County, NC",Female,Hispanic or Latino,Asian or Pacific Islander,15-19 years,16,2006
NA,"Forsyth County, NC",Female,Hispanic or Latino,Asian or Pacific Islander,20-24 years,14,2006
NA,"Forsyth County, NC",Female,Hispanic or Latino,Asian or Pacific Islander,25-29 years,13,2006
NA,"Forsyth County, NC",Female,Hispanic or Latino,Asian or Pacific Islander,30-34 years,13,2006
NA,"Forsyth County, NC",Female,Hispanic or Latino,Asian or Pacific Islander,35-39 years,9,2006
NA,"Forsyth County, NC",Female,Hispanic or Latino,Asian or Pacific Islander,40-44 years,11,2006
NA,"Forsyth County, NC",Female,Hispanic or Latino,Asian or Pacific Islander,45-49 years,4,2006
NA,"Forsyth County, NC",Female,Hispanic or Latino,Asian or Pacific Islander,50-54 years,5,2006
NA,"Forsyth County, NC",Female,Hispanic or Latino,Asian or Pacific Islander,55-59 years,4,2006
NA,"Forsyth County, NC",Female,Hispanic or Latino,Asian or Pacific Islander,60-64 years,2,2006
NA,"Forsyth County, NC",Female,Hispanic or Latino,Asian or Pacific Islander,65-69 years,1,2006
NA,"Forsyth County, NC",Female,Hispanic or Latino,Asian or Pacific Islander,75-79 years,2,2006
Total,"Forsyth County, NC",Female,Hispanic or Latino,Asian or Pacific Islander,NA,140,2006
NA,"Forsyth County, NC",Female,Hispanic or Latino,Black or African American,< 1 year,24,2006
NA,"Forsyth County, NC",Female,Hispanic or Latino,Black or African American,1-4 years,204,2006
NA,"Forsyth County, NC",Female,Hispanic or Latino,Black or African American,5-9 years,283,2006
NA,"Forsyth County, NC",Female,Hispanic or Latino,Black or African American,10-14 years,150,2006
NA,"Forsyth County, NC",Female,Hispanic or Latino,Black or African American,15-19 years,151,2006
NA,"Forsyth County, NC",Female,Hispanic or Latino,Black or African American,20-24 years,206,2006
NA,"Forsyth County, NC",Female,Hispanic or Latino,Black or African American,25-29 years,223,2006
NA,"Forsyth County, NC",Female,Hispanic or Latino,Black or African American,30-34 years,160,2006
NA,"Forsyth County, NC",Female,Hispanic or Latino,Black or African American,35-39 years,142,2006
NA,"Forsyth County, NC",Female,Hispanic or Latino,Black or African American,40-44 years,88,2006
NA,"Forsyth County, NC",Female,Hispanic or Latino,Black or African American,45-49 years,66,2006
NA,"Forsyth County, NC",Female,Hispanic or Latino,Black or African American,50-54 years,36,2006
NA,"Forsyth County, NC",Female,Hispanic or Latino,Black or African American,55-59 years,25,2006
NA,"Forsyth County, NC",Female,Hispanic or Latino,Black or African American,60-64 years,14,2006
NA,"Forsyth County, NC",Female,Hispanic or Latino,Black or African American,65-69 years,12,2006
NA,"Forsyth County, NC",Female,Hispanic or Latino,Black or African American,70-74 years,8,2006
NA,"Forsyth County, NC",Female,Hispanic or Latino,Black or African American,75-79 years,4,2006
NA,"Forsyth County, NC",Female,Hispanic or Latino,Black or African American,80-84 years,4,2006
NA,"Forsyth County, NC",Female,Hispanic or Latino,Black or African American,85+ years,4,2006
Total,"Forsyth County, NC",Female,Hispanic or Latino,Black or African American,NA,1804,2006
NA,"Forsyth County, NC",Female,Hispanic or Latino,White,< 1 year,528,2006
NA,"Forsyth County, NC",Female,Hispanic or Latino,White,1-4 years,1715,2006
NA,"Forsyth County, NC",Female,Hispanic or Latino,White,5-9 years,1378,2006
NA,"Forsyth County, NC",Female,Hispanic or Latino,White,10-14 years,1094,2006
NA,"Forsyth County, NC",Female,Hispanic or Latino,White,15-19 years,855,2006
NA,"Forsyth County, NC",Female,Hispanic or Latino,White,20-24 years,1001,2006
NA,"Forsyth County, NC",Female,Hispanic or Latino,White,25-29 years,1476,2006
NA,"Forsyth County, NC",Female,Hispanic or Latino,White,30-34 years,1350,2006
NA,"Forsyth County, NC",Female,Hispanic or Latino,White,35-39 years,958,2006
NA,"Forsyth County, NC",Female,Hispanic or Latino,White,40-44 years,683,2006
NA,"Forsyth County, NC",Female,Hispanic or Latino,White,45-49 years,483,2006
NA,"Forsyth County, NC",Female,Hispanic or Latino,White,50-54 years,284,2006
NA,"Forsyth County, NC",Female,Hispanic or Latino,White,55-59 years,208,2006
NA,"Forsyth County, NC",Female,Hispanic or Latino,White,60-64 years,118,2006
NA,"Forsyth County, NC",Female,Hispanic or Latino,White,65-69 years,76,2006
NA,"Forsyth County, NC",Female,Hispanic or Latino,White,70-74 years,64,2006
NA,"Forsyth County, NC",Female,Hispanic or Latino,White,75-79 years,46,2006
NA,"Forsyth County, NC",Female,Hispanic or Latino,White,80-84 years,23,2006
NA,"Forsyth County, NC",Female,Hispanic or Latino,White,85+ years,18,2006
Total,"Forsyth County, NC",Female,Hispanic or Latino,White,NA,12358,2006
Total,"Forsyth County, NC",Female,Hispanic or Latino,NA,NA,14908,2006
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,American Indian or Alaska Native,< 1 year,6,2006
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,American Indian or Alaska Native,1-4 years,20,2006
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,American Indian or Alaska Native,5-9 years,34,2006
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,American Indian or Alaska Native,10-14 years,40,2006
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,American Indian or Alaska Native,15-19 years,37,2006
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,American Indian or Alaska Native,20-24 years,34,2006
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,American Indian or Alaska Native,25-29 years,44,2006
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,American Indian or Alaska Native,30-34 years,42,2006
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,American Indian or Alaska Native,35-39 years,52,2006
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,American Indian or Alaska Native,40-44 years,38,2006
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,American Indian or Alaska Native,45-49 years,37,2006
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,American Indian or Alaska Native,50-54 years,35,2006
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,American Indian or Alaska Native,55-59 years,38,2006
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,American Indian or Alaska Native,60-64 years,15,2006
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,American Indian or Alaska Native,65-69 years,12,2006
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,American Indian or Alaska Native,70-74 years,8,2006
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,American Indian or Alaska Native,75-79 years,5,2006
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,American Indian or Alaska Native,80-84 years,4,2006
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,American Indian or Alaska Native,85+ years,3,2006
Total,"Forsyth County, NC",Female,Not Hispanic or Latino,American Indian or Alaska Native,NA,504,2006
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,Asian or Pacific Islander,< 1 year,59,2006
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,Asian or Pacific Islander,1-4 years,162,2006
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,Asian or Pacific Islander,5-9 years,249,2006
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,Asian or Pacific Islander,10-14 years,174,2006
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,Asian or Pacific Islander,15-19 years,174,2006
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,Asian or Pacific Islander,20-24 years,222,2006
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,Asian or Pacific Islander,25-29 years,322,2006
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,Asian or Pacific Islander,30-34 years,350,2006
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,Asian or Pacific Islander,35-39 years,296,2006
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,Asian or Pacific Islander,40-44 years,223,2006
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,Asian or Pacific Islander,45-49 years,199,2006
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,Asian or Pacific Islander,50-54 years,154,2006
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,Asian or Pacific Islander,55-59 years,140,2006
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,Asian or Pacific Islander,60-64 years,81,2006
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,Asian or Pacific Islander,65-69 years,55,2006
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,Asian or Pacific Islander,70-74 years,35,2006
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,Asian or Pacific Islander,75-79 years,24,2006
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,Asian or Pacific Islander,80-84 years,18,2006
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,Asian or Pacific Islander,85+ years,11,2006
Total,"Forsyth County, NC",Female,Not Hispanic or Latino,Asian or Pacific Islander,NA,2948,2006
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,Black or African American,< 1 year,601,2006
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,Black or African American,1-4 years,2352,2006
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,Black or African American,5-9 years,3199,2006
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,Black or African American,10-14 years,3603,2006
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,Black or African American,15-19 years,4230,2006
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,Black or African American,20-24 years,3940,2006
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,Black or African American,25-29 years,3067,2006
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,Black or African American,30-34 years,3211,2006
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,Black or African American,35-39 years,3558,2006
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,Black or African American,40-44 years,3627,2006
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,Black or African American,45-49 years,3678,2006
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,Black or African American,50-54 years,3159,2006
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,Black or African American,55-59 years,2761,2006
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,Black or African American,60-64 years,1755,2006
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,Black or African American,65-69 years,1341,2006
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,Black or African American,70-74 years,1156,2006
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,Black or African American,75-79 years,869,2006
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,Black or African American,80-84 years,656,2006
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,Black or African American,85+ years,561,2006
Total,"Forsyth County, NC",Female,Not Hispanic or Latino,Black or African American,NA,47324,2006
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,White,< 1 year,1005,2006
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,White,1-4 years,4208,2006
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,White,5-9 years,5567,2006
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,White,10-14 years,5748,2006
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,White,15-19 years,6362,2006
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,White,20-24 years,6225,2006
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,White,25-29 years,6021,2006
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,White,30-34 years,6010,2006
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,White,35-39 years,7408,2006
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,White,40-44 years,8278,2006
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,White,45-49 years,9039,2006
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,White,50-54 years,8564,2006
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,White,55-59 years,8013,2006
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,White,60-64 years,6068,2006
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,White,65-69 years,4866,2006
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,White,70-74 years,4318,2006
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,White,75-79 years,4194,2006
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,White,80-84 years,3278,2006
NA,"Forsyth County, NC",Female,Not Hispanic or Latino,White,85+ years,3226,2006
Total,"Forsyth County, NC",Female,Not Hispanic or Latino,White,NA,108398,2006
Total,"Forsyth County, NC",Female,Not Hispanic or Latino,NA,NA,159174,2006
Total,"Forsyth County, NC",Female,NA,NA,NA,174082,2006
NA,"Forsyth County, NC",Male,Hispanic or Latino,American Indian or Alaska Native,< 1 year,15,2006
NA,"Forsyth County, NC",Male,Hispanic or Latino,American Indian or Alaska Native,1-4 years,59,2006
NA,"Forsyth County, NC",Male,Hispanic or Latino,American Indian or Alaska Native,5-9 years,73,2006
NA,"Forsyth County, NC",Male,Hispanic or Latino,American Indian or Alaska Native,10-14 years,74,2006
NA,"Forsyth County, NC",Male,Hispanic or Latino,American Indian or Alaska Native,15-19 years,52,2006
NA,"Forsyth County, NC",Male,Hispanic or Latino,American Indian or Alaska Native,20-24 years,76,2006
NA,"Forsyth County, NC",Male,Hispanic or Latino,American Indian or Alaska Native,25-29 years,65,2006
NA,"Forsyth County, NC",Male,Hispanic or Latino,American Indian or Alaska Native,30-34 years,78,2006
NA,"Forsyth County, NC",Male,Hispanic or Latino,American Indian or Alaska Native,35-39 years,60,2006
NA,"Forsyth County, NC",Male,Hispanic or Latino,American Indian or Alaska Native,40-44 years,51,2006
NA,"Forsyth County, NC",Male,Hispanic or Latino,American Indian or Alaska Native,45-49 years,29,2006
NA,"Forsyth County, NC",Male,Hispanic or Latino,American Indian or Alaska Native,50-54 years,13,2006
NA,"Forsyth County, NC",Male,Hispanic or Latino,American Indian or Alaska Native,55-59 years,9,2006
NA,"Forsyth County, NC",Male,Hispanic or Latino,American Indian or Alaska Native,60-64 years,6,2006
NA,"Forsyth County, NC",Male,Hispanic or Latino,American Indian or Alaska Native,65-69 years,6,2006
Total,"Forsyth County, NC",Male,Hispanic or Latino,American Indian or Alaska Native,NA,666,2006
NA,"Forsyth County, NC",Male,Hispanic or Latino,Asian or Pacific Islander,< 1 year,3,2006
NA,"Forsyth County, NC",Male,Hispanic or Latino,Asian or Pacific Islander,1-4 years,19,2006
NA,"Forsyth County, NC",Male,Hispanic or Latino,Asian or Pacific Islander,5-9 years,15,2006
NA,"Forsyth County, NC",Male,Hispanic or Latino,Asian or Pacific Islander,10-14 years,9,2006
NA,"Forsyth County, NC",Male,Hispanic or Latino,Asian or Pacific Islander,15-19 years,12,2006
NA,"Forsyth County, NC",Male,Hispanic or Latino,Asian or Pacific Islander,20-24 years,27,2006
NA,"Forsyth County, NC",Male,Hispanic or Latino,Asian or Pacific Islander,25-29 years,13,2006
NA,"Forsyth County, NC",Male,Hispanic or Latino,Asian or Pacific Islander,30-34 years,24,2006
NA,"Forsyth County, NC",Male,Hispanic or Latino,Asian or Pacific Islander,35-39 years,12,2006
NA,"Forsyth County, NC",Male,Hispanic or Latino,Asian or Pacific Islander,40-44 years,10,2006
NA,"Forsyth County, NC",Male,Hispanic or Latino,Asian or Pacific Islander,45-49 years,8,2006
NA,"Forsyth County, NC",Male,Hispanic or Latino,Asian or Pacific Islander,50-54 years,5,2006
NA,"Forsyth County, NC",Male,Hispanic or Latino,Asian or Pacific Islander,55-59 years,7,2006
NA,"Forsyth County, NC",Male,Hispanic or Latino,Asian or Pacific Islander,65-69 years,1,2006
NA,"Forsyth County, NC",Male,Hispanic or Latino,Asian or Pacific Islander,70-74 years,1,2006
NA,"Forsyth County, NC",Male,Hispanic or Latino,Asian or Pacific Islander,80-84 years,1,2006
Total,"Forsyth County, NC",Male,Hispanic or Latino,Asian or Pacific Islander,NA,167,2006
NA,"Forsyth County, NC",Male,Hispanic or Latino,Black or African American,< 1 year,28,2006
NA,"Forsyth County, NC",Male,Hispanic or Latino,Black or African American,1-4 years,216,2006
NA,"Forsyth County, NC",Male,Hispanic or Latino,Black or African American,5-9 years,290,2006
NA,"Forsyth County, NC",Male,Hispanic or Latino,Black or African American,10-14 years,176,2006
NA,"Forsyth County, NC",Male,Hispanic or Latino,Black or African American,15-19 years,145,2006
NA,"Forsyth County, NC",Male,Hispanic or Latino,Black or African American,20-24 years,195,2006
NA,"Forsyth County, NC",Male,Hispanic or Latino,Black or African American,25-29 years,239,2006
NA,"Forsyth County, NC",Male,Hispanic or Latino,Black or African American,30-34 years,210,2006
NA,"Forsyth County, NC",Male,Hispanic or Latino,Black or African American,35-39 years,152,2006
NA,"Forsyth County, NC",Male,Hispanic or Latino,Black or African American,40-44 years,105,2006
NA,"Forsyth County, NC",Male,Hispanic or Latino,Black or African American,45-49 years,93,2006
NA,"Forsyth County, NC",Male,Hispanic or Latino,Black or African American,50-54 years,44,2006
NA,"Forsyth County, NC",Male,Hispanic or Latino,Black or African American,55-59 years,19,2006
NA,"Forsyth County, NC",Male,Hispanic or Latino,Black or African American,60-64 years,15,2006
NA,"Forsyth County, NC",Male,Hispanic or Latino,Black or African American,65-69 years,10,2006
NA,"Forsyth County, NC",Male,Hispanic or Latino,Black or African American,70-74 years,7,2006
NA,"Forsyth County, NC",Male,Hispanic or Latino,Black or African American,75-79 years,2,2006
NA,"Forsyth County, NC",Male,Hispanic or Latino,Black or African American,80-84 years,1,2006
NA,"Forsyth County, NC",Male,Hispanic or Latino,Black or African American,85+ years,3,2006
Total,"Forsyth County, NC",Male,Hispanic or Latino,Black or African American,NA,1950,2006
NA,"Forsyth County, NC",Male,Hispanic or Latino,White,< 1 year,528,2006
NA,"Forsyth County, NC",Male,Hispanic or Latino,White,1-4 years,1851,2006
NA,"Forsyth County, NC",Male,Hispanic or Latino,White,5-9 years,1400,2006
NA,"Forsyth County, NC",Male,Hispanic or Latino,White,10-14 years,1049,2006
NA,"Forsyth County, NC",Male,Hispanic or Latino,White,15-19 years,981,2006
NA,"Forsyth County, NC",Male,Hispanic or Latino,White,20-24 years,1419,2006
NA,"Forsyth County, NC",Male,Hispanic or Latino,White,25-29 years,1762,2006
NA,"Forsyth County, NC",Male,Hispanic or Latino,White,30-34 years,1871,2006
NA,"Forsyth County, NC",Male,Hispanic or Latino,White,35-39 years,1309,2006
NA,"Forsyth County, NC",Male,Hispanic or Latino,White,40-44 years,921,2006
NA,"Forsyth County, NC",Male,Hispanic or Latino,White,45-49 years,592,2006
NA,"Forsyth County, NC",Male,Hispanic or Latino,White,50-54 years,322,2006
NA,"Forsyth County, NC",Male,Hispanic or Latino,White,55-59 years,238,2006
NA,"Forsyth County, NC",Male,Hispanic or Latino,White,60-64 years,141,2006
NA,"Forsyth County, NC",Male,Hispanic or Latino,White,65-69 years,68,2006
NA,"Forsyth County, NC",Male,Hispanic or Latino,White,70-74 years,41,2006
NA,"Forsyth County, NC",Male,Hispanic or Latino,White,75-79 years,24,2006
NA,"Forsyth County, NC",Male,Hispanic or Latino,White,80-84 years,16,2006
NA,"Forsyth County, NC",Male,Hispanic or Latino,White,85+ years,14,2006
Total,"Forsyth County, NC",Male,Hispanic or Latino,White,NA,14547,2006
Total,"Forsyth County, NC",Male,Hispanic or Latino,NA,NA,17330,2006
NA,"Forsyth County, NC",Male,Not Hispanic or Latino,American Indian or Alaska Native,< 1 year,5,2006
NA,"Forsyth County, NC",Male,Not Hispanic or Latino,American Indian or Alaska Native,1-4 years,25,2006
NA,"Forsyth County, NC",Male,Not Hispanic or Latino,American Indian or Alaska Native,5-9 years,16,2006
NA,"Forsyth County, NC",Male,Not Hispanic or Latino,American Indian or Alaska Native,10-14 years,41,2006
NA,"Forsyth County, NC",Male,Not Hispanic or Latino,American Indian or Alaska Native,15-19 years,34,2006
NA,"Forsyth County, NC",Male,Not Hispanic or Latino,American Indian or Alaska Native,20-24 years,29,2006
NA,"Forsyth County, NC",Male,Not Hispanic or Latino,American Indian or Alaska Native,25-29 years,35,2006
NA,"Forsyth County, NC",Male,Not Hispanic or Latino,American Indian or Alaska Native,30-34 years,45,2006
NA,"Forsyth County, NC",Male,Not Hispanic or Latino,American Indian or Alaska Native,35-39 years,51,2006
NA,"Forsyth County, NC",Male,Not Hispanic or Latino,American Indian or Alaska Native,40-44 years,44,2006
NA,"Forsyth County, NC",Male,Not Hispanic or Latino,American Indian or Alaska Native,45-49 years,38,2006
NA,"Forsyth County, NC",Male,Not Hispanic or Latino,American Indian or Alaska Native,50-54 years,27,2006
NA,"Forsyth County, NC",Male,Not Hispanic or Latino,American Indian or Alaska Native,55-59 years,50,2006
NA,"Forsyth County, NC",Male,Not Hispanic or Latino,American Indian or Alaska Native,60-64 years,11,2006
NA,"Forsyth County, NC",Male,Not Hispanic or Latino,American Indian or Alaska Native,65-69 years,15,2006
NA,"Forsyth County, NC",Male,Not Hispanic or Latino,American Indian or Alaska Native,70-74 years,3,2006
NA,"Forsyth County, NC",Male,Not Hispanic or Latino,American Indian or Alaska Native,75-79 years,4,2006
NA,"Forsyth County, NC",Male,Not Hispanic or Latino,American Indian or Alaska Native,80-84 years,5,2006
Total,"Forsyth County, NC",Male,Not Hispanic or Latino,American Indian or Alaska Native,NA,478,2006
NA,"Forsyth County, NC",Male,Not Hispanic or Latino,Asian or Pacific Islander,< 1 year,62,2006
NA,"Forsyth County, NC",Male,Not Hispanic or Latino,Asian or Pacific Islander,1-4 years,186,2006
NA,"Forsyth County, NC",Male,Not Hispanic or Latino,Asian or Pacific Islander,5-9 years,196,2006
NA,"Forsyth County, NC",Male,Not Hispanic or Latino,Asian or Pacific Islander,10-14 years,189,2006
NA,"Forsyth County, NC",Male,Not Hispanic or Latino,Asian or Pacific Islander,15-19 years,168,2006
NA,"Forsyth County, NC",Male,Not Hispanic or Latino,Asian or Pacific Islander,20-24 years,184,2006
NA,"Forsyth County, NC",Male,Not Hispanic or Latino,Asian or Pacific Islander,25-29 years,232,2006
NA,"Forsyth County, NC",Male,Not Hispanic or Latino,Asian or Pacific Islander,30-34 years,301,2006
NA,"Forsyth County, NC",Male,Not Hispanic or Latino,Asian or Pacific Islander,35-39 years,269,2006
NA,"Forsyth County, NC",Male,Not Hispanic or Latino,Asian or Pacific Islander,40-44 years,249,2006
NA,"Forsyth County, NC",Male,Not Hispanic or Latino,Asian or Pacific Islander,45-49 years,168,2006
NA,"Forsyth County, NC",Male,Not Hispanic or Latino,Asian or Pacific Islander,50-54 years,124,2006
NA,"Forsyth County, NC",Male,Not Hispanic or Latino,Asian or Pacific Islander,55-59 years,96,2006
NA,"Forsyth County, NC",Male,Not Hispanic or Latino,Asian or Pacific Islander,60-64 years,63,2006
NA,"Forsyth County, NC",Male,Not Hispanic or Latino,Asian or Pacific Islander,65-69 years,68,2006
NA,"Forsyth County, NC",Male,Not Hispanic or Latino,Asian or Pacific Islander,70-74 years,24,2006
NA,"Forsyth County, NC",Male,Not Hispanic or Latino,Asian or Pacific Islander,75-79 years,14,2006
NA,"Forsyth County, NC",Male,Not Hispanic or Latino,Asian or Pacific Islander,80-84 years,9,2006
NA,"Forsyth County, NC",Male,Not Hispanic or Latino,Asian or Pacific Islander,85+ years,5,2006
Total,"Forsyth County, NC",Male,Not Hispanic or Latino,Asian or Pacific Islander,NA,2607,2006
NA,"Forsyth County, NC",Male,Not Hispanic or Latino,Black or African American,< 1 year,697,2006
NA,"Forsyth County, NC",Male,Not Hispanic or Latino,Black or African American,1-4 years,2445,2006
NA,"Forsyth County, NC",Male,Not Hispanic or Latino,Black or African American,5-9 years,3213,2006
NA,"Forsyth County, NC",Male,Not Hispanic or Latino,Black or African American,10-14 years,3746,2006
NA,"Forsyth County, NC",Male,Not Hispanic or Latino,Black or African American,15-19 years,3988,2006
NA,"Forsyth County, NC",Male,Not Hispanic or Latino,Black or African American,20-24 years,3085,2006
NA,"Forsyth County, NC",Male,Not Hispanic or Latino,Black or African American,25-29 years,2190,2006
NA,"Forsyth County, NC",Male,Not Hispanic or Latino,Black or African American,30-34 years,2382,2006
NA,"Forsyth County, NC",Male,Not Hispanic or Latino,Black or African American,35-39 years,2841,2006
NA,"Forsyth County, NC",Male,Not Hispanic or Latino,Black or African American,40-44 years,2965,2006
NA,"Forsyth County, NC",Male,Not Hispanic or Latino,Black or African American,45-49 years,2776,2006
NA,"Forsyth County, NC",Male,Not Hispanic or Latino,Black or African American,50-54 years,2566,2006
NA,"Forsyth County, NC",Male,Not Hispanic or Latino,Black or African American,55-59 years,2161,2006
NA,"Forsyth County, NC",Male,Not Hispanic or Latino,Black or African American,60-64 years,1423,2006
NA,"Forsyth County, NC",Male,Not Hispanic or Latino,Black or African American,65-69 years,1035,2006
NA,"Forsyth County, NC",Male,Not Hispanic or Latino,Black or African American,70-74 years,783,2006
NA,"Forsyth County, NC",Male,Not Hispanic or Latino,Black or African American,75-79 years,474,2006
NA,"Forsyth County, NC",Male,Not Hispanic or Latino,Black or African American,80-84 years,291,2006
