geo_description,label,year,description,estimate,moe,se,cv,file
"Forsyth County, NC",HD01_VD01,2007,Estimate; Total:,87533,3349.28,1708.82,1.95,African American
"Forsyth County, NC",HD01_VD02,2007,Estimate; Income in the past 12 months below poverty level:,9511,1918.3,978.72,10.29,African American
"Forsyth County, NC",HD01_VD03,2007,Estimate; Income in the past 12 months below poverty level: - Married-couple family:,3153,1165.28,594.53,18.86,African American
"Forsyth County, NC",HD01_VD04,2007,Estimate; Income in the past 12 months below poverty level: - Married-couple family: - With related children under 18 years:,2539,1137.87,580.55,22.87,African American
"Forsyth County, NC",HD01_VD05,2007,Estimate; Income in the past 12 months below poverty level: - Married-couple family: - With related children under 18 years: - Under 5 years only,820,686.3,350.15,42.7,African American
"Forsyth County, NC",HD01_VD06,2007,Estimate; Income in the past 12 months below poverty level: - Married-couple family: - With related children under 18 years: - Under 5 years and 5 to 17 years,1178,905.53,462.01,39.22,African American
"Forsyth County, NC",HD01_VD07,2007,Estimate; Income in the past 12 months below poverty level: - Married-couple family: - With related children under 18 years: - 5 to 17 years only,541,439.66,224.32,41.46,African American
"Forsyth County, NC",HD01_VD08,2007,Estimate; Income in the past 12 months below poverty level: - Married-couple family: - No related children under 18 years,614,346.72,176.9,28.81,African American
"Forsyth County, NC",HD01_VD09,2007,Estimate; Income in the past 12 months below poverty level: - Other family:,6358,1609.7,821.28,12.92,African American
"Forsyth County, NC",HD01_VD10,2007,"Estimate; Income in the past 12 months below poverty level: - Other family: - Male householder, no wife present:",648,625.53,319.15,49.25,African American
"Forsyth County, NC",HD01_VD11,2007,"Estimate; Income in the past 12 months below poverty level: - Other family: - Male householder, no wife present: - With related children under 18 years:",575,608.85,310.64,54.02,African American
"Forsyth County, NC",HD01_VD12,2007,"Estimate; Income in the past 12 months below poverty level: - Other family: - Male householder, no wife present: - With related children under 18 years: - Under 5 years only",196,338.38,172.64,88.08,African American
"Forsyth County, NC",HD01_VD13,2007,"Estimate; Income in the past 12 months below poverty level: - Other family: - Male householder, no wife present: - With related children under 18 years: - Under 5 years and 5 to 17 years",0,341.96,174.47,Inf,African American
"Forsyth County, NC",HD01_VD14,2007,"Estimate; Income in the past 12 months below poverty level: - Other family: - Male householder, no wife present: - With related children under 18 years: - 5 to 17 years only",379,515.91,263.22,69.45,African American
"Forsyth County, NC",HD01_VD15,2007,"Estimate; Income in the past 12 months below poverty level: - Other family: - Male householder, no wife present: - No related children under 18 years",73,146.55,74.77,102.42,African American
"Forsyth County, NC",HD01_VD16,2007,"Estimate; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present:",5710,1423.83,726.44,12.72,African American
"Forsyth County, NC",HD01_VD17,2007,"Estimate; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present: - With related children under 18 years:",5247,1456,742.86,14.16,African American
"Forsyth County, NC",HD01_VD18,2007,"Estimate; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present: - With related children under 18 years: - Under 5 years only",813,593.36,302.73,37.24,African American
"Forsyth County, NC",HD01_VD19,2007,"Estimate; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present: - With related children under 18 years: - Under 5 years and 5 to 17 years",1510,794.72,405.47,26.85,African American
"Forsyth County, NC",HD01_VD20,2007,"Estimate; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present: - With related children under 18 years: - 5 to 17 years only",2924,1064,542.86,18.57,African American
"Forsyth County, NC",HD01_VD21,2007,"Estimate; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present: - No related children under 18 years",463,469.45,239.52,51.73,African American
"Forsyth County, NC",HD01_VD22,2007,Estimate; Income in the past 12 months at or above poverty level:,78022,3556.6,1814.59,2.33,African American
"Forsyth County, NC",HD01_VD23,2007,Estimate; Income in the past 12 months at or above poverty level: - Married-couple family:,60271,3052.6,1557.45,2.58,African American
"Forsyth County, NC",HD01_VD24,2007,Estimate; Income in the past 12 months at or above poverty level: - Married-couple family: - With related children under 18 years:,25271,2554.55,1303.34,5.16,African American
"Forsyth County, NC",HD01_VD25,2007,Estimate; Income in the past 12 months at or above poverty level: - Married-couple family: - With related children under 18 years: - Under 5 years only,5393,1208.17,616.41,11.43,African American
"Forsyth County, NC",HD01_VD26,2007,Estimate; Income in the past 12 months at or above poverty level: - Married-couple family: - With related children under 18 years: - Under 5 years and 5 to 17 years,5603,1488.17,759.27,13.55,African American
"Forsyth County, NC",HD01_VD27,2007,Estimate; Income in the past 12 months at or above poverty level: - Married-couple family: - With related children under 18 years: - 5 to 17 years only,14275,1942.13,990.88,6.94,African American
"Forsyth County, NC",HD01_VD28,2007,Estimate; Income in the past 12 months at or above poverty level: - Married-couple family: - No related children under 18 years,35000,2118.47,1080.85,3.09,African American
"Forsyth County, NC",HD01_VD29,2007,Estimate; Income in the past 12 months at or above poverty level: - Other family:,17751,2742.81,1399.39,7.88,African American
"Forsyth County, NC",HD01_VD30,2007,"Estimate; Income in the past 12 months at or above poverty level: - Other family: - Male householder, no wife present:",4149,1734.81,885.11,21.33,African American
"Forsyth County, NC",HD01_VD31,2007,"Estimate; Income in the past 12 months at or above poverty level: - Other family: - Male householder, no wife present: - With related children under 18 years:",2213,1211.74,618.23,27.94,African American
"Forsyth County, NC",HD01_VD32,2007,"Estimate; Income in the past 12 months at or above poverty level: - Other family: - Male householder, no wife present: - With related children under 18 years: - Under 5 years only",852,912.68,465.65,54.65,African American
