geo_description,label,year,description,estimate,moe,se,cv
United States,HD01_VD16,2006,"Estimate; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present:",3984292,38996.26,19896.05,0.5
North Carolina,HD01_VD16,2006,"Estimate; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present:",145298,7792.34,3975.68,2.74
"Durham County, NC",HD01_VD16,2006,"Estimate; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present:",4157,1270.13,648.03,15.59
"Forsyth County, NC",HD01_VD16,2006,"Estimate; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present:",6245,1600.17,816.41,13.07
"Guilford County, NC",HD01_VD16,2006,"Estimate; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present:",8880,1750.3,893.01,10.06
United States,HD01_VD17,2006,"Estimate; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present: - With related children under 18 years:",3546250,38095.49,19436.47,0.55
North Carolina,HD01_VD17,2006,"Estimate; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present: - With related children under 18 years:",127429,7804.26,3981.77,3.12
"Durham County, NC",HD01_VD17,2006,"Estimate; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present: - With related children under 18 years:",3586,1150.98,587.23,16.38
"Forsyth County, NC",HD01_VD17,2006,"Estimate; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present: - With related children under 18 years:",5799,1572.77,802.43,13.84
"Guilford County, NC",HD01_VD17,2006,"Estimate; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present: - With related children under 18 years:",7827,1615.66,824.32,10.53
United States,HD01_VD18,2006,"Estimate; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present: - With related children under 18 years: - Under 5 years only",700730,14937.7,7621.28,1.09
North Carolina,HD01_VD18,2006,"Estimate; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present: - With related children under 18 years: - Under 5 years only",22506,3331.4,1699.69,7.55
"Durham County, NC",HD01_VD18,2006,"Estimate; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present: - With related children under 18 years: - Under 5 years only",812,564.77,288.15,35.49
"Forsyth County, NC",HD01_VD18,2006,"Estimate; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present: - With related children under 18 years: - Under 5 years only",1202,728,371.43,30.9
"Guilford County, NC",HD01_VD18,2006,"Estimate; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present: - With related children under 18 years: - Under 5 years only",1418,698.21,356.23,25.12
United States,HD01_VD19,2006,"Estimate; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present: - With related children under 18 years: - Under 5 years and 5 to 17 years",958771,20077.79,10243.77,1.07
North Carolina,HD01_VD19,2006,"Estimate; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present: - With related children under 18 years: - Under 5 years and 5 to 17 years",33755,3966.47,2023.71,6
"Durham County, NC",HD01_VD19,2006,"Estimate; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present: - With related children under 18 years: - Under 5 years and 5 to 17 years",1159,753.02,384.19,33.15
"Forsyth County, NC",HD01_VD19,2006,"Estimate; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present: - With related children under 18 years: - Under 5 years and 5 to 17 years",1503,836.43,426.75,28.39
"Guilford County, NC",HD01_VD19,2006,"Estimate; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present: - With related children under 18 years: - Under 5 years and 5 to 17 years",1687,805.45,410.94,24.36
United States,HD01_VD20,2006,"Estimate; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present: - With related children under 18 years: - 5 to 17 years only",1886749,28643.4,14613.98,0.77
North Carolina,HD01_VD20,2006,"Estimate; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present: - With related children under 18 years: - 5 to 17 years only",71168,5912.17,3016.41,4.24
"Durham County, NC",HD01_VD20,2006,"Estimate; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present: - With related children under 18 years: - 5 to 17 years only",1615,848.34,432.83,26.8
"Forsyth County, NC",HD01_VD20,2006,"Estimate; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present: - With related children under 18 years: - 5 to 17 years only",3094,1170.04,596.96,19.29
"Guilford County, NC",HD01_VD20,2006,"Estimate; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present: - With related children under 18 years: - 5 to 17 years only",4722,1303.49,665.05,14.08
United States,HD01_VD21,2006,"Estimate; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present: - No related children under 18 years",438042,13000.34,6632.83,1.51
North Carolina,HD01_VD21,2006,"Estimate; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present: - No related children under 18 years",17869,2970.38,1515.5,8.48
"Durham County, NC",HD01_VD21,2006,"Estimate; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present: - No related children under 18 years",571,533.79,272.34,47.7
"Forsyth County, NC",HD01_VD21,2006,"Estimate; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present: - No related children under 18 years",446,401.53,204.86,45.93
"Guilford County, NC",HD01_VD21,2006,"Estimate; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present: - No related children under 18 years",1053,707.74,361.09,34.29
United States,HD01_VD16,2007,"Estimate; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present:",1391163,22634.72,11548.33,0.83
North Carolina,HD01_VD16,2007,"Estimate; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present:",79246,5617.87,2866.26,3.62
"Durham County, NC",HD01_VD16,2007,"Estimate; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present:",3420,1122.38,572.64,16.74
"Guilford County, NC",HD01_VD16,2007,"Estimate; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present:",5621,1383.32,705.78,12.56
