area_fips,own_code,industry_code,agglvl_code,size_code,year,qtr,disclosure_code,area_title,own_title,industry_title,agglvl_title,size_title,annual_avg_estabs_count,annual_avg_emplvl,total_annual_wages,taxable_annual_wages,annual_contributions,annual_avg_wkly_wage,avg_annual_pay,lq_disclosure_code,lq_annual_avg_estabs_count,lq_annual_avg_emplvl,lq_total_annual_wages,lq_taxable_annual_wages,lq_annual_contributions,lq_annual_avg_wkly_wage,lq_avg_annual_pay,oty_disclosure_code,oty_annual_avg_estabs_count_chg,oty_annual_avg_estabs_count_pct_chg,oty_annual_avg_emplvl_chg,oty_annual_avg_emplvl_pct_chg,oty_total_annual_wages_chg,oty_total_annual_wages_pct_chg,oty_taxable_annual_wages_chg,oty_taxable_annual_wages_pct_chg,oty_annual_contributions_chg,oty_annual_contributions_pct_chg,oty_annual_avg_wkly_wage_chg,oty_annual_avg_wkly_wage_pct_chg,oty_avg_annual_pay_chg,oty_avg_annual_pay_pct_chg
37067,0,10,70,0,2017,A,,"Forsyth County, North Carolina",Total Covered,"10 Total, all industries","County, Total Covered",All establishment sizes,9177,183617,9564680167,2798821149,29636947,1002,52090,,1,1,1,1,1,1,1,,-26,-0.3,1228,0.7,679831464,7.7,54491796,2,-16850901,-36.2,65,6.9,3376,6.9
37067,1,10,71,0,2017,A,,"Forsyth County, North Carolina",Federal Government,"10 Total, all industries","County, Total -- by ownership sector",All establishment sizes,33,1560,107654332,0,0,1327,69009,,0.59,0.44,0.4,0,0,0.91,0.91,,0,0,-64,-3.9,-5214045,-4.6,0,0,0,0,-10,-0.7,-506,-0.7
37067,1,102,72,0,2017,A,,"Forsyth County, North Carolina",Federal Government,102 Service-providing,"County, by Domain -- by ownership sector",All establishment sizes,33,1560,107654332,0,0,1327,69009,,0.59,0.44,0.41,0,0,0.91,0.91,,0,0,-64,-3.9,-5214045,-4.6,0,0,0,0,-10,-0.7,-506,-0.7
37067,1,1021,73,0,2017,A,,"Forsyth County, North Carolina",Federal Government,"1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector",All establishment sizes,15,628,34775724,0,0,1065,55405,,0.54,0.72,0.71,0,0,0.98,0.98,,0,0,31,5.2,761190,2.2,0,0,0,0,-31,-2.8,-1563,-2.7
37067,1,1023,73,0,2017,A,,"Forsyth County, North Carolina",Federal Government,1023 Financial activities,"County, by Supersector -- by ownership sector",All establishment sizes,1,5,304403,0,0,1211,62980,,1.34,0.3,0.17,0,0,0.59,0.59,,0,0,0,0,6240,2.1,0,0,0,0,64,5.6,3347,5.6
37067,1,1025,73,0,2017,A,,"Forsyth County, North Carolina",Federal Government,1025 Education and health services,"County, by Supersector -- by ownership sector",All establishment sizes,2,23,2009566,0,0,1668,86744,,1.56,0.04,0.05,0,0,1.17,1.17,,1,100,-112,-83,-11081289,-84.6,0,0,0,0,-194,-10.4,-10106,-10.4
37067,1,1028,73,0,2017,A,,"Forsyth County, North Carolina",Federal Government,1028 Public administration,"County, by Supersector -- by ownership sector",All establishment sizes,16,904,70564639,0,0,1501,78029,,0.71,0.47,0.43,0,0,0.92,0.92,,0,0,18,2,5099814,7.8,0,0,0,0,81,5.7,4176,5.7
37067,1,48-49,74,0,2017,A,,"Forsyth County, North Carolina",Federal Government,NAICS 48-49 Transportation and warehousing,"County, NAICS Sector -- by ownership sector",All establishment sizes,15,628,34775724,0,0,1065,55405,,0.55,0.78,0.76,0,0,0.97,0.97,,0,0,31,5.2,761190,2.2,0,0,0,0,-31,-2.8,-1563,-2.7
37067,1,491,75,0,2017,A,,"Forsyth County, North Carolina",Federal Government,NAICS 491 Postal service,"County, NAICS 3-digit -- by ownership sector",All establishment sizes,15,628,34775724,0,0,1065,55405,,0.55,0.8,0.8,0,0,0.99,1,,0,0,31,5.2,761190,2.2,0,0,0,0,-31,-2.8,-1563,-2.7
37067,1,4911,76,0,2017,A,,"Forsyth County, North Carolina",Federal Government,NAICS 4911 Postal service,"County, NAICS 4-digit -- by ownership sector",All establishment sizes,15,628,34775724,0,0,1065,55405,,0.55,0.8,0.8,0,0,0.99,1,,0,0,31,5.2,761190,2.2,0,0,0,0,-31,-2.8,-1563,-2.7
