size,weight,  None ,   One ,   Two ,  Three ,  Four ,  Five ,  Six ,  Seven ,Eight
One person (unrelated individual) ,"10,590",  ,  ,  ,  ,  ,  ,  ,  , 
..Under 65 years,"10,787","10,787",  ,  ,  ,  ,  ,  ,  , 
..65 years and over,"9,944","9,944",  ,  ,  ,  ,  ,  ,  , 
Two people,"13,540",  ,  ,  ,  ,  ,  ,  ,  , 
..Householder under 65 years,"13,954","13,884","14,291",  ,  ,  ,  ,  ,  , 
..Householder 65 years and over,"12,550","12,533","14,237",  ,  ,  ,  ,  ,  , 
Three people,"16,530","16,218","16,689","16,705",  ,  ,  ,  ,  , 
Four people,"21,203","21,386","21,736","21,027","21,100",  ,  ,  ,  , 
Five people,"25,080","25,791","26,166","25,364","24,744","24,366",  ,  ,  , 
Six people,"28,323","29,664","29,782","29,168","28,579","27,705","27,187",  ,  , 
Seven people,"32,233","34,132","34,345","33,610","33,098","32,144","31,031","29,810",  , 
Eight people,"35,816","38,174","38,511","37,818","37,210","36,348","35,255","34,116","33,827", 
Nine people or more,"42,739","45,921","46,143","45,529","45,014","44,168","43,004","41,952","41,691","40,085"
