size,weight,None,One,Two,Three,Four,Five,Six,Seven,Eight
One person (unrelated individual).......,"11,888",,,,,,,,,
  Under 65 years..............................,"12,119","12,119",,,,,,,,
  65 years and over...........................,"11,173","11,173",,,,,,,,
Two people......................................,"15,142",,,,,,,,,
  Householder under 65 years...........,"15,679","15,600","16,057",,,,,,,
  Householder 65 years and over........,"14,095","14,081","15,996",,,,,,,
Three people....................................,"18,552","18,222","18,751","18,769",,,,,,
Four people.....................................,"23,834","24,028","24,421","23,624","23,707",,,,,
Five people......................................,"28,265","28,977","29,398","28,498","27,801","27,376",,,,
Six people........................................,"31,925","33,329","33,461","32,771","32,110","31,128","30,545",,,
Seven people...................................,"36,384","38,349","38,588","37,763","37,187","36,115","34,865","33,493",,
Eight people....................................,"40,484","42,890","43,269","42,490","41,807","40,839","39,610","38,331","38,006",
Nine people or more..........................,"48,065","51,594","51,844","51,154","50,575","49,625","48,317","47,134","46,842","45,037"
