size,weight,  None,   One,   Two,  Three,  Four,  Five,  Six,  Seven,Eight
One person (unrelated individual).?..,"12,082",,,,,,,,,
  Under 65 years....................???,"12,331","12,331",,,,,,,,
  65 years and over.................???,"11,367","11,367",,,,,,,,
Two people.........................???..,"15,391",,,,,,,,,
  Householder under 65 years...........,"15,952","15,871","16,337",,,,,,,
  Householder 65 years and over...?.,"14,342","14,326","16,275",,,,,,,
Three people.......................?????????,"18,871","18,540","19,078","19,096",,,,,,
Four people........................?????????.,"24,257","24,447","24,847","24,036","24,120",,,,,
Five people........................?????????,"28,741","29,482","29,911","28,995","28,286","27,853",,,,
Six people.........................?????????..,"32,542","33,909","34,044","33,342","32,670","31,670","31,078",,,
Seven people.......................????????..,"36,998","39,017","39,260","38,421","37,835","36,745","35,473","34,077",,
Eight people.......................?????????,"41,029","43,637","44,023","43,230","42,536","41,551","40,300","38,999","38,668",
Nine people or more................????????,"49,177","52,493","52,747","52,046","51,457","50,490","49,159","47,956","47,658","45,822"
