size,weight,None,One,Two,Three,Four,Five,Six,Seven,Eight
One person (unrelated individual):,"12,488",,,,,,,,,
  Under age 65.......................???,"12,752","12,752",,,,,,,,
  Aged 65 and older.................???,"11,756","11,756",,,,,,,,
Two people:,"15,877",,,,,,,,,
  Householder under age 65?...........,"16,493","16,414","16,895",,,,,,,
  Householder aged 65 and older...?.,"14,828","14,816","16,831",,,,,,,
Three people.......................?????????,"19,515","19,173","19,730","19,749",,,,,,
Four people........................?????????.,"25,094","25,283","25,696","24,858","24,944",,,,,
Five people........................?????????,"29,714","30,490","30,933","29,986","29,253","28,805",,,,
Six people.........................?????????..,"33,618","35,069","35,208","34,482","33,787","32,753","32,140",,,
Seven people.......................????????..,"38,173","40,351","40,603","39,734","39,129","38,001","36,685","35,242",,
Eight people.......................?????????,"42,684","45,129","45,528","44,708","43,990","42,971","41,678","40,332","39,990",
Nine people or more................????????,"50,681","54,287","54,550","53,825","53,216","52,216","50,840","49,595","49,287","47,389"
