size,year,num_children,poverty_thresh
1,2006,0,25735
2,2006,0,32917.5
3,2006,0,40197.5
4,2006,0,51535
5,2006,0,60955
6,2006,0,68900
7,2006,0,78012.5
8,2006,0,86935
9,2006,0,103747.5
3,2006,0,39422.5
4,2006,0,51985
5,2006,0,62690
6,2006,0,72105
7,2006,0,82967.5
8,2006,0,92792.5
9,2006,0,111622.5
3,2006,1,40567.5
4,2006,1,52835
5,2006,1,63602.5
6,2006,1,72392.5
7,2006,1,83485
8,2006,1,93610
9,2006,1,112162.5
3,2006,2,40605
4,2006,2,51110
5,2006,2,61655
6,2006,2,70900
7,2006,2,81700
8,2006,2,91925
9,2006,2,110672.5
4,2006,3,51290
5,2006,3,60147.5
6,2006,3,69470
7,2006,3,80455
8,2006,3,90450
9,2006,3,109420
5,2006,4,59227.5
6,2006,4,67345
7,2006,4,78135
8,2006,4,88355
9,2006,4,107362.5
6,2006,5,66085
7,2006,5,75430
8,2006,5,85695
9,2006,5,104532.5
7,2006,6,72462.5
8,2006,6,82927.5
9,2006,6,101975
8,2006,7,82225
9,2006,7,101340
9,2006,8,97437.5
1,2007,0,26475
2,2007,0,33850
3,2007,0,41325
4,2007,0,53007.5
5,2007,0,62700
6,2007,0,70807.5
7,2007,0,80582.5
8,2007,0,89540
9,2007,0,106847.5
3,2007,0,40545
4,2007,0,53465
5,2007,0,64477.5
6,2007,0,74160
7,2007,0,85330
8,2007,0,95435
9,2007,0,114802.5
3,2007,1,41722.5
4,2007,1,54340
5,2007,1,65415
6,2007,1,74455
7,2007,1,85862.5
8,2007,1,96277.5
9,2007,1,115357.5
3,2007,2,41762.5
4,2007,2,52567.5
5,2007,2,63410
6,2007,2,72920
7,2007,2,84025
8,2007,2,94545
9,2007,2,113822.5
4,2007,3,52750
5,2007,3,61860
6,2007,3,71447.5
7,2007,3,82745
8,2007,3,93025
9,2007,3,112535
5,2007,4,60915
6,2007,4,69262.5
7,2007,4,80360
8,2007,4,90870
9,2007,4,110420
6,2007,5,67967.5
7,2007,5,77577.5
8,2007,5,88137.5
9,2007,5,107510
7,2007,6,74525
8,2007,6,85290
9,2007,6,104880
8,2007,7,84567.5
9,2007,7,104227.5
9,2007,8,100212.5
1,2008,0,27477.5
2,2008,0,35127.5
3,2008,0,42907.5
4,2008,0,55062.5
5,2008,0,65122.5
6,2008,0,73640
7,2008,0,83822.5
8,2008,0,93050
9,2008,0,110865
3,2008,0,42102.5
4,2008,0,55517.5
5,2008,0,66952.5
6,2008,0,77007.5
7,2008,0,88605
8,2008,0,99100
9,2008,0,119210
3,2008,1,43325
4,2008,1,56425
5,2008,1,67925
6,2008,1,77312.5
7,2008,1,89160
8,2008,1,99975
9,2008,1,119787.5
3,2008,2,43365
4,2008,2,54585
5,2008,2,65845
6,2008,2,75720
7,2008,2,87252.5
8,2008,2,98175
9,2008,2,118195
4,2008,3,54775
5,2008,3,64235
6,2008,3,74192.5
7,2008,3,85922.5
8,2008,3,96597.5
9,2008,3,116857.5
5,2008,4,63252.5
6,2008,4,71922.5
7,2008,4,83447.5
8,2008,4,94360
9,2008,4,114660
6,2008,5,70575
7,2008,5,80557.5
8,2008,5,91520
9,2008,5,111640
7,2008,6,77387.5
8,2008,6,88565
9,2008,6,108907.5
8,2008,7,87812.5
9,2008,7,108230
9,2008,8,104060
1,2009,0,27390
2,2009,0,34977.5
3,2009,0,42745
4,2009,0,54885
5,2009,0,64977.5
6,2009,0,73512.5
7,2009,0,83430
8,2009,0,93130
9,2009,0,110915
3,2009,0,41952.5
4,2009,0,55320
5,2009,0,66715
6,2009,0,76732.5
7,2009,0,88290
8,2009,0,98745
9,2009,0,118785
3,2009,1,43170
4,2009,1,56225
5,2009,1,67685
6,2009,1,77037.5
7,2009,1,88842.5
8,2009,1,99617.5
9,2009,1,119360
3,2009,2,43212.5
4,2009,2,54390
5,2009,2,65612.5
6,2009,2,75450
