geo_description,label,year,description,estimate,moe,se,cv,file
United States,HD01_VD01,2006,Estimate; Total:,13073988,46544.34,23747.11,0.18,African American
North Carolina,HD01_VD01,2006,Estimate; Total:,709689,9991.83,5097.87,0.72,African American
Alamance ,HD01_VD01,2006,Estimate; Total:,11308,1166.47,595.14,5.26,African American
Brunswick ,HD01_VD01,2006,Estimate; Total:,3724,1174.81,599.39,16.1,African American
Buncombe ,HD01_VD01,2006,Estimate; Total:,7025,719.66,367.17,5.23,African American
Burke ,HD01_VD01,2006,Estimate; Total:,1437,392,200,13.92,African American
Cabarrus ,HD01_VD01,2006,Estimate; Total:,8326,1050.89,536.17,6.44,African American
Caldwell ,HD01_VD01,2006,Estimate; Total:,1208,407.49,207.9,17.21,African American
Catawba ,HD01_VD01,2006,Estimate; Total:,4341,570.72,291.18,6.71,African American
Cleveland ,HD01_VD01,2006,Estimate; Total:,6648,952,485.71,7.31,African American
Craven ,HD01_VD01,2006,Estimate; Total:,8274,954.38,486.93,5.89,African American
Cumberland ,HD01_VD01,2006,Estimate; Total:,45185,2017.19,1029.18,2.28,African American
Davidson ,HD01_VD01,2006,Estimate; Total:,5828,1171.23,597.57,10.25,African American
Durham ,HD01_VD01,2006,Estimate; Total:,34784,1901.62,970.21,2.79,African American
Forsyth ,HD01_VD01,2006,Estimate; Total:,33063,2119.66,1081.46,3.27,African American
Gaston ,HD01_VD01,2006,Estimate; Total:,9224,942.47,480.85,5.21,African American
Guilford ,HD01_VD01,2006,Estimate; Total:,53864,2493.79,1272.34,2.36,African American
Harnett ,HD01_VD01,2006,Estimate; Total:,8372,884.09,451.07,5.39,African American
Henderson ,HD01_VD01,2006,Estimate; Total:,894,313.36,159.88,17.88,African American
Iredell ,HD01_VD01,2006,Estimate; Total:,7432,1004.43,512.46,6.9,African American
Johnston ,HD01_VD01,2006,Estimate; Total:,7893,1059.23,540.42,6.85,African American
Lincoln ,HD01_VD01,2006,Estimate; Total:,1576,527.83,269.3,17.09,African American
Mecklenburg ,HD01_VD01,2006,Estimate; Total:,99268,2962.04,1511.24,1.52,African American
Moore ,HD01_VD01,2006,Estimate; Total:,3432,1105.7,564.13,16.44,African American
Nash ,HD01_VD01,2006,Estimate; Total:,12356,1248.68,637.08,5.16,African American
New Hanover ,HD01_VD01,2006,Estimate; Total:,12376,1270.13,648.03,5.24,African American
Onslow ,HD01_VD01,2006,Estimate; Total:,9890,1227.23,626.14,6.33,African American
Orange ,HD01_VD01,2006,Estimate; Total:,6175,1128.34,575.68,9.32,African American
Pitt ,HD01_VD01,2006,Estimate; Total:,20742,1557.28,794.53,3.83,African American
Randolph ,HD01_VD01,2006,Estimate; Total:,2230,661.28,337.39,15.13,African American
Robeson ,HD01_VD01,2006,Estimate; Total:,9981,1108.09,565.35,5.66,African American
Rockingham ,HD01_VD01,2006,Estimate; Total:,6641,1159.32,591.49,8.91,African American
Rowan ,HD01_VD01,2006,Estimate; Total:,6894,843.57,430.39,6.24,African American
Surry ,HD01_VD01,2006,Estimate; Total:,1124,399.15,203.65,18.12,African American
Union ,HD01_VD01,2006,Estimate; Total:,5240,820.94,418.85,7.99,African American
Wake ,HD01_VD01,2006,Estimate; Total:,57239,2247.15,1146.51,2,African American
Wayne ,HD01_VD01,2006,Estimate; Total:,15210,1038.98,530.09,3.49,African American
Wilkes ,HD01_VD01,2006,Estimate; Total:,1041,380.09,193.92,18.63,African American
Wilson ,HD01_VD01,2006,Estimate; Total:,11270,1173.62,598.79,5.31,African American
United States,HD01_VD02,2006,Estimate; Owner occupied,6056488,52712.68,26894.22,0.44,African American
North Carolina,HD01_VD02,2006,Estimate; Owner occupied,349879,8514.38,4344.07,1.24,African American
Alamance ,HD01_VD02,2006,Estimate; Owner occupied,4801,1216.51,620.67,12.93,African American
Brunswick ,HD01_VD02,2006,Estimate; Owner occupied,2213,720.85,367.78,16.62,African American
Buncombe ,HD01_VD02,2006,Estimate; Owner occupied,2665,831.66,424.32,15.92,African American
Burke ,HD01_VD02,2006,Estimate; Owner occupied,856,470.64,240.12,28.05,African American
Cabarrus ,HD01_VD02,2006,Estimate; Owner occupied,4341,1053.28,537.39,12.38,African American
Caldwell ,HD01_VD02,2006,Estimate; Owner occupied,721,409.87,209.12,29,African American
Catawba ,HD01_VD02,2006,Estimate; Owner occupied,2305,544.51,277.81,12.05,African American
Cleveland ,HD01_VD02,2006,Estimate; Owner occupied,3843,886.47,452.28,11.77,African American
Craven ,HD01_VD02,2006,Estimate; Owner occupied,4505,896,457.14,10.15,African American
Cumberland ,HD01_VD02,2006,Estimate; Owner occupied,22300,2230.47,1137.99,5.1,African American
Davidson ,HD01_VD02,2006,Estimate; Owner occupied,2911,1067.57,544.68,18.71,African American
Durham ,HD01_VD02,2006,Estimate; Owner occupied,14532,2086.3,1064.44,7.32,African American
Forsyth ,HD01_VD02,2006,Estimate; Owner occupied,13469,1643.06,838.3,6.22,African American
Gaston ,HD01_VD02,2006,Estimate; Owner occupied,4692,831.66,424.32,9.04,African American
Guilford ,HD01_VD02,2006,Estimate; Owner occupied,23322,2297.19,1172.04,5.03,African American
Harnett ,HD01_VD02,2006,Estimate; Owner occupied,4555,973.45,496.66,10.9,African American
Henderson ,HD01_VD02,2006,Estimate; Owner occupied,255,208.51,106.38,41.72,African American
Iredell ,HD01_VD02,2006,Estimate; Owner occupied,4326,968.68,494.22,11.42,African American
Johnston ,HD01_VD02,2006,Estimate; Owner occupied,4409,1075.91,548.93,12.45,African American
Lincoln ,HD01_VD02,2006,Estimate; Owner occupied,940,411.06,209.72,22.31,African American
Mecklenburg ,HD01_VD02,2006,Estimate; Owner occupied,46293,2784.51,1420.67,3.07,African American
Moore ,HD01_VD02,2006,Estimate; Owner occupied,1905,919.83,469.3,24.64,African American
Nash ,HD01_VD02,2006,Estimate; Owner occupied,5659,1158.13,590.88,10.44,African American
New Hanover ,HD01_VD02,2006,Estimate; Owner occupied,6017,1411.91,720.36,11.97,African American
Onslow ,HD01_VD02,2006,Estimate; Owner occupied,4249,760.17,387.84,9.13,African American
Orange ,HD01_VD02,2006,Estimate; Owner occupied,2383,689.87,351.97,14.77,African American
Pitt ,HD01_VD02,2006,Estimate; Owner occupied,8460,1670.47,852.28,10.07,African American
Randolph ,HD01_VD02,2006,Estimate; Owner occupied,1296,624.34,318.54,24.58,African American
Robeson ,HD01_VD02,2006,Estimate; Owner occupied,5203,1049.7,535.56,10.29,African American
Rockingham ,HD01_VD02,2006,Estimate; Owner occupied,3468,751.83,383.59,11.06,African American
Rowan ,HD01_VD02,2006,Estimate; Owner occupied,2539,693.45,353.8,13.93,African American
Surry ,HD01_VD02,2006,Estimate; Owner occupied,898,387.23,197.57,22,African American
Union ,HD01_VD02,2006,Estimate; Owner occupied,3004,732.77,373.86,12.45,African American
Wake ,HD01_VD02,2006,Estimate; Owner occupied,25411,2533.11,1292.4,5.09,African American
Wayne ,HD01_VD02,2006,Estimate; Owner occupied,7401,969.87,494.83,6.69,African American
Wilkes ,HD01_VD02,2006,Estimate; Owner occupied,832,357.45,182.37,21.92,African American
Wilson ,HD01_VD02,2006,Estimate; Owner occupied,5045,930.55,474.77,9.41,African American
United States,HD01_VD03,2006,Estimate; Renter occupied,7017500,50506.04,25768.39,0.37,African American
North Carolina,HD01_VD03,2006,Estimate; Renter occupied,359810,11132.09,5679.64,1.58,African American
Alamance ,HD01_VD03,2006,Estimate; Renter occupied,6507,1426.21,727.66,11.18,African American
Brunswick ,HD01_VD03,2006,Estimate; Renter occupied,1511,1161.7,592.7,39.23,African American
Buncombe ,HD01_VD03,2006,Estimate; Renter occupied,4360,1040.17,530.7,12.17,African American
Burke ,HD01_VD03,2006,Estimate; Renter occupied,581,322.89,164.74,28.35,African American
Cabarrus ,HD01_VD03,2006,Estimate; Renter occupied,3985,1307.06,666.87,16.73,African American
Caldwell ,HD01_VD03,2006,Estimate; Renter occupied,487,409.87,209.12,42.94,African American
Catawba ,HD01_VD03,2006,Estimate; Renter occupied,2036,688.68,351.37,17.26,African American
Cleveland ,HD01_VD03,2006,Estimate; Renter occupied,2805,1080.68,551.37,19.66,African American
Craven ,HD01_VD03,2006,Estimate; Renter occupied,3769,1114.04,568.39,15.08,African American
Cumberland ,HD01_VD03,2006,Estimate; Renter occupied,22885,2431.83,1240.73,5.42,African American
Davidson ,HD01_VD03,2006,Estimate; Renter occupied,2917,1293.96,660.18,22.63,African American
Durham ,HD01_VD03,2006,Estimate; Renter occupied,20252,1904,971.43,4.8,African American
Forsyth ,HD01_VD03,2006,Estimate; Renter occupied,19594,2367.49,1207.9,6.16,African American
Gaston ,HD01_VD03,2006,Estimate; Renter occupied,4532,1036.6,528.88,11.67,African American
Guilford ,HD01_VD03,2006,Estimate; Renter occupied,30542,2815.49,1436.47,4.7,African American
Harnett ,HD01_VD03,2006,Estimate; Renter occupied,3817,1165.28,594.53,15.58,African American
Henderson ,HD01_VD03,2006,Estimate; Renter occupied,639,302.64,154.41,24.16,African American
Iredell ,HD01_VD03,2006,Estimate; Renter occupied,3106,1124.77,573.86,18.48,African American
Johnston ,HD01_VD03,2006,Estimate; Renter occupied,3484,959.15,489.36,14.05,African American
Lincoln ,HD01_VD03,2006,Estimate; Renter occupied,636,564.77,288.15,45.31,African American
Mecklenburg ,HD01_VD03,2006,Estimate; Renter occupied,52975,3529.19,1800.61,3.4,African American
Moore ,HD01_VD03,2006,Estimate; Renter occupied,1527,824.51,420.67,27.55,African American
Nash ,HD01_VD03,2006,Estimate; Renter occupied,6697,1371.4,699.69,10.45,African American
New Hanover ,HD01_VD03,2006,Estimate; Renter occupied,6359,1482.21,756.23,11.89,African American
Onslow ,HD01_VD03,2006,Estimate; Renter occupied,5641,1260.6,643.16,11.4,African American
Orange ,HD01_VD03,2006,Estimate; Renter occupied,3792,1196.26,610.34,16.1,African American
Pitt ,HD01_VD03,2006,Estimate; Renter occupied,12282,2012.43,1026.75,8.36,African American
Randolph ,HD01_VD03,2006,Estimate; Renter occupied,934,550.47,280.85,30.07,African American
Robeson ,HD01_VD03,2006,Estimate; Renter occupied,4778,1330.89,679.03,14.21,African American
Rockingham ,HD01_VD03,2006,Estimate; Renter occupied,3173,968.68,494.22,15.58,African American
Rowan ,HD01_VD03,2006,Estimate; Renter occupied,4355,969.87,494.83,11.36,African American
Surry ,HD01_VD03,2006,Estimate; Renter occupied,226,226.38,115.5,51.11,African American
