GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Owner occupied,Margin of Error; Owner occupied,Estimate; Renter occupied,Margin of Error; Renter occupied
0100000US,,United States,13073988,39064,6056488,44241,7017500,42389
0400000US37,37,North Carolina,709689,8386,349879,7146,359810,9343
0500000US37001,37001,"Alamance County, North Carolina",11308,979,4801,1021,6507,1197
0500000US37019,37019,"Brunswick County, North Carolina",3724,986,2213,605,1511,975
0500000US37021,37021,"Buncombe County, North Carolina",7025,604,2665,698,4360,873
0500000US37023,37023,"Burke County, North Carolina",1437,329,856,395,581,271
0500000US37025,37025,"Cabarrus County, North Carolina",8326,882,4341,884,3985,1097
0500000US37027,37027,"Caldwell County, North Carolina",1208,342,721,344,487,344
0500000US37035,37035,"Catawba County, North Carolina",4341,479,2305,457,2036,578
0500000US37045,37045,"Cleveland County, North Carolina",6648,799,3843,744,2805,907
0500000US37049,37049,"Craven County, North Carolina",8274,801,4505,752,3769,935
0500000US37051,37051,"Cumberland County, North Carolina",45185,1693,22300,1872,22885,2041
0500000US37057,37057,"Davidson County, North Carolina",5828,983,2911,896,2917,1086
0500000US37063,37063,"Durham County, North Carolina",34784,1596,14532,1751,20252,1598
0500000US37067,37067,"Forsyth County, North Carolina",33063,1779,13469,1379,19594,1987
0500000US37071,37071,"Gaston County, North Carolina",9224,791,4692,698,4532,870
0500000US37081,37081,"Guilford County, North Carolina",53864,2093,23322,1928,30542,2363
0500000US37085,37085,"Harnett County, North Carolina",8372,742,4555,817,3817,978
0500000US37089,37089,"Henderson County, North Carolina",894,263,255,175,639,254
0500000US37097,37097,"Iredell County, North Carolina",7432,843,4326,813,3106,944
0500000US37101,37101,"Johnston County, North Carolina",7893,889,4409,903,3484,805
0500000US37109,37109,"Lincoln County, North Carolina",1576,443,940,345,636,474
0500000US37119,37119,"Mecklenburg County, North Carolina",99268,2486,46293,2337,52975,2962
0500000US37125,37125,"Moore County, North Carolina",3432,928,1905,772,1527,692
0500000US37127,37127,"Nash County, North Carolina",12356,1048,5659,972,6697,1151
0500000US37129,37129,"New Hanover County, North Carolina",12376,1066,6017,1185,6359,1244
0500000US37133,37133,"Onslow County, North Carolina",9890,1030,4249,638,5641,1058
0500000US37135,37135,"Orange County, North Carolina",6175,947,2383,579,3792,1004
0500000US37147,37147,"Pitt County, North Carolina",20742,1307,8460,1402,12282,1689
0500000US37151,37151,"Randolph County, North Carolina",2230,555,1296,524,934,462
0500000US37155,37155,"Robeson County, North Carolina",9981,930,5203,881,4778,1117
0500000US37157,37157,"Rockingham County, North Carolina",6641,973,3468,631,3173,813
0500000US37159,37159,"Rowan County, North Carolina",6894,708,2539,582,4355,814
0500000US37171,37171,"Surry County, North Carolina",1124,335,898,325,226,190
0500000US37179,37179,"Union County, North Carolina",5240,689,3004,615,2236,752
0500000US37183,37183,"Wake County, North Carolina",57239,1886,25411,2126,31828,2464
0500000US37191,37191,"Wayne County, North Carolina",15210,872,7401,814,7809,741
0500000US37193,37193,"Wilkes County, North Carolina",1041,319,832,300,209,225
0500000US37195,37195,"Wilson County, North Carolina",11270,985,5045,781,6225,1028
