GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Owner occupied,Margin of Error; Owner occupied,Estimate; Renter occupied,Margin of Error; Renter occupied
0100000US,,United States,80493468,81319,59526469,132027,20966999,84583
0400000US37,37,North Carolina,2479500,11048,1874836,13375,604664,11731
0500000US37001,37001,"Alamance County, North Carolina",40166,1405,29265,1451,10901,1599
0500000US37019,37019,"Brunswick County, North Carolina",32877,1823,25806,1801,7071,1433
0500000US37021,37021,"Buncombe County, North Carolina",80702,1862,59268,2022,21434,2065
0500000US37023,37023,"Burke County, North Carolina",30512,1270,23574,1315,6938,1131
0500000US37025,37025,"Cabarrus County, North Carolina",47667,1398,35573,1705,12094,1711
0500000US37027,37027,"Caldwell County, North Carolina",28287,1152,21849,1437,6438,1276
0500000US37035,37035,"Catawba County, North Carolina",49051,1427,38098,1858,10953,1637
0500000US37045,37045,"Cleveland County, North Carolina",28915,1163,22971,1580,5944,1393
0500000US37049,37049,"Craven County, North Carolina",28505,1085,19998,1249,8507,1251
0500000US37051,37051,"Cumberland County, North Carolina",63350,1765,42960,2022,20390,1772
0500000US37057,37057,"Davidson County, North Carolina",52027,1223,42157,1476,9870,1629
0500000US37063,37063,"Durham County, North Carolina",51587,1496,36121,1715,15466,1870
0500000US37067,37067,"Forsyth County, North Carolina",87983,2170,68056,2085,19927,1947
0500000US37071,37071,"Gaston County, North Carolina",60999,2024,46559,2238,14440,1724
0500000US37081,37081,"Guilford County, North Carolina",115173,1910,85099,2025,30074,2013
0500000US37085,37085,"Harnett County, North Carolina",25377,973,18732,1011,6645,939
0500000US37089,37089,"Henderson County, North Carolina",38733,1299,30019,1679,8714,1646
0500000US37097,37097,"Iredell County, North Carolina",45280,1802,36308,1608,8972,1309
0500000US37101,37101,"Johnston County, North Carolina",41570,1280,33191,1604,8379,1526
0500000US37109,37109,"Lincoln County, North Carolina",23692,965,19358,1174,4334,991
0500000US37119,37119,"Mecklenburg County, North Carolina",199539,2319,153479,3105,46060,3457
0500000US37125,37125,"Moore County, North Carolina",26714,1347,21739,1353,4975,1056
0500000US37127,37127,"Nash County, North Carolina",21583,945,16687,1072,4896,1089
0500000US37129,37129,"New Hanover County, North Carolina",66830,1806,43606,1885,23224,2270
0500000US37133,37133,"Onslow County, North Carolina",39556,1152,25316,1481,14240,1548
0500000US37135,37135,"Orange County, North Carolina",36918,1367,24345,1095,12573,1320
0500000US37147,37147,"Pitt County, North Carolina",37915,1230,25276,1236,12639,1366
0500000US37151,37151,"Randolph County, North Carolina",47255,1382,36789,1507,10466,1540
0500000US37155,37155,"Robeson County, North Carolina",14272,879,10897,876,3375,930
0500000US37157,37157,"Rockingham County, North Carolina",29079,1363,21005,1390,8074,1511
0500000US37159,37159,"Rowan County, North Carolina",41168,1289,32473,1593,8695,1358
0500000US37171,37171,"Surry County, North Carolina",24419,1167,18366,1230,6053,1224
0500000US37179,37179,"Union County, North Carolina",50716,1213,43044,1838,7672,1468
0500000US37183,37183,"Wake County, North Carolina",208697,3248,156197,3223,52500,3423
0500000US37191,37191,"Wayne County, North Carolina",26379,970,20403,1028,5976,819
0500000US37193,37193,"Wilkes County, North Carolina",23726,1073,18555,1263,5171,1047
0500000US37195,37195,"Wilson County, North Carolina",16171,750,12245,1094,3926,986
