GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Owner occupied,Margin of Error; Owner occupied,Estimate; Renter occupied,Margin of Error; Renter occupied
0100000US,,United States,12025158,40707,5932700,43515,6092458,34792
0400000US37,37,North Carolina,153248,4861,58501,3884,94747,4619
0500000US37001,37001,"Alamance County, North Carolina",4079,718,1824,679,2255,623
0500000US37019,37019,"Brunswick County, North Carolina",739,286,183,175,556,233
0500000US37021,37021,"Buncombe County, North Carolina",2776,565,823,428,1953,638
0500000US37023,37023,"Burke County, North Carolina",1048,442,218,249,830,463
0500000US37025,37025,"Cabarrus County, North Carolina",2975,426,1249,420,1726,550
0500000US37027,37027,"Caldwell County, North Carolina",592,311,230,319,362,176
0500000US37035,37035,"Catawba County, North Carolina",3130,531,1293,536,1837,530
0500000US37045,37045,"Cleveland County, North Carolina",468,147,109,121,359,159
0500000US37049,37049,"Craven County, North Carolina",1443,549,673,440,770,422
0500000US37051,37051,"Cumberland County, North Carolina",4829,648,2507,493,2322,607
0500000US37057,37057,"Davidson County, North Carolina",2009,404,535,266,1474,462
0500000US37063,37063,"Durham County, North Carolina",8562,853,2507,767,6055,982
0500000US37067,37067,"Forsyth County, North Carolina",9694,979,3751,1015,5943,1120
0500000US37071,37071,"Gaston County, North Carolina",2200,1029,581,573,1619,858
0500000US37081,37081,"Guilford County, North Carolina",8138,625,3214,700,4924,888
0500000US37085,37085,"Harnett County, North Carolina",1660,387,868,343,792,393
0500000US37089,37089,"Henderson County, North Carolina",1967,569,394,337,1573,476
0500000US37097,37097,"Iredell County, North Carolina",2224,498,431,368,1793,514
0500000US37101,37101,"Johnston County, North Carolina",3942,935,1465,756,2477,779
0500000US37109,37109,"Lincoln County, North Carolina",1836,347,496,439,1340,508
0500000US37119,37119,"Mecklenburg County, North Carolina",24097,1414,8267,1235,15830,1662
0500000US37125,37125,"Moore County, North Carolina",764,364,179,235,585,350
0500000US37127,37127,"Nash County, North Carolina",928,308,270,211,658,329
0500000US37129,37129,"New Hanover County, North Carolina",1193,350,302,200,891,324
0500000US37133,37133,"Onslow County, North Carolina",2601,573,925,503,1676,667
0500000US37135,37135,"Orange County, North Carolina",1931,339,708,349,1223,367
0500000US37147,37147,"Pitt County, North Carolina",1747,448,1064,437,683,399
0500000US37151,37151,"Randolph County, North Carolina",3771,751,1226,680,2545,739
0500000US37155,37155,"Robeson County, North Carolina",1699,492,426,466,1273,464
0500000US37157,37157,"Rockingham County, North Carolina",810,311,469,285,341,279
0500000US37159,37159,"Rowan County, North Carolina",1724,506,786,419,938,562
0500000US37171,37171,"Surry County, North Carolina",1622,389,568,359,1054,389
0500000US37179,37179,"Union County, North Carolina",3423,857,1022,480,2401,835
0500000US37183,37183,"Wake County, North Carolina",14344,1287,4574,1042,9770,1242
0500000US37191,37191,"Wayne County, North Carolina",1699,344,1021,414,678,405
0500000US37193,37193,"Wilkes County, North Carolina",729,391,303,182,426,481
0500000US37195,37195,"Wilson County, North Carolina",1872,366,1203,458,669,340
