GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Owner occupied,Margin of Error; Owner occupied,Estimate; Renter occupied,Margin of Error; Renter occupied
0100000US,,United States,111617402,145530,75086485,218471,36530917,116156
0400000US37,37,North Carolina,3454068,13312,2350798,17193,1103270,15595
0500000US37001,37001,"Alamance County, North Carolina",56380,1605,36525,1909,19855,1837
0500000US37019,37019,"Brunswick County, North Carolina",39657,2341,29340,2133,10317,1760
0500000US37021,37021,"Buncombe County, North Carolina",92571,2048,64060,2262,28511,2260
0500000US37023,37023,"Burke County, North Carolina",33469,1375,25034,1497,8435,1219
0500000US37025,37025,"Cabarrus County, North Carolina",59998,1638,41880,2046,18118,2028
0500000US37027,37027,"Caldwell County, North Carolina",30487,1294,22920,1518,7567,1318
0500000US37035,37035,"Catawba County, North Carolina",57982,1597,42288,2019,15694,1791
0500000US37045,37045,"Cleveland County, North Carolina",36260,1611,27043,1944,9217,1774
0500000US37049,37049,"Craven County, North Carolina",39024,1211,25487,1431,13537,1558
0500000US37051,37051,"Cumberland County, North Carolina",119066,2182,70911,2827,48155,3218
0500000US37057,37057,"Davidson County, North Carolina",61220,1589,46103,1750,15117,2114
0500000US37063,37063,"Durham County, North Carolina",100118,2121,55469,2616,44649,2471
0500000US37067,37067,"Forsyth County, North Carolina",133056,2646,86497,2726,46559,2630
0500000US37071,37071,"Gaston County, North Carolina",73886,1780,52787,2243,21099,1985
0500000US37081,37081,"Guilford County, North Carolina",184180,2372,115911,3149,68269,3390
0500000US37085,37085,"Harnett County, North Carolina",36269,1109,24602,1306,11667,1299
0500000US37089,37089,"Henderson County, North Carolina",42053,1489,30955,1780,11098,1722
0500000US37097,37097,"Iredell County, North Carolina",55684,1888,41457,1837,14227,1686
0500000US37101,37101,"Johnston County, North Carolina",54255,1356,39704,1914,14551,1781
0500000US37109,37109,"Lincoln County, North Carolina",27271,976,20845,1295,6426,1030
0500000US37119,37119,"Mecklenburg County, North Carolina",335891,2809,215860,4031,120031,4351
0500000US37125,37125,"Moore County, North Carolina",31154,1888,23823,1570,7331,1327
0500000US37127,37127,"Nash County, North Carolina",35455,1266,22854,1554,12601,1598
0500000US37129,37129,"New Hanover County, North Carolina",81855,2033,50844,2358,31011,2717
0500000US37133,37133,"Onslow County, North Carolina",53631,1080,31148,1731,22483,1836
0500000US37135,37135,"Orange County, North Carolina",48522,1492,29110,1411,19412,1752
0500000US37147,37147,"Pitt County, North Carolina",62232,1868,35246,1765,26986,2203
0500000US37151,37151,"Randolph County, North Carolina",53742,1452,39576,1889,14166,1865
0500000US37155,37155,"Robeson County, North Carolina",42811,1306,28135,1787,14676,1860
0500000US37157,37157,"Rockingham County, North Carolina",37089,1549,25378,1602,11711,1629
0500000US37159,37159,"Rowan County, North Carolina",51268,1591,36629,1749,14639,1764
0500000US37171,37171,"Surry County, North Carolina",27662,1220,19970,1213,7692,1320
0500000US37179,37179,"Union County, North Carolina",60768,1112,47987,2053,12781,1731
0500000US37183,37183,"Wake County, North Carolina",294821,3300,194887,3591,99934,3936
0500000US37191,37191,"Wayne County, North Carolina",43813,1243,29074,1412,14739,1214
0500000US37193,37193,"Wilkes County, North Carolina",25748,1214,19812,1368,5936,1112
0500000US37195,37195,"Wilson County, North Carolina",29596,1211,18776,1443,10820,1479
