GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Owner occupied:,Margin of Error; Owner occupied:,Estimate; Owner occupied: - Householder 15 to 24 years,Margin of Error; Owner occupied: - Householder 15 to 24 years,Estimate; Owner occupied: - Householder 25 to 34 years,Margin of Error; Owner occupied: - Householder 25 to 34 years,Estimate; Owner occupied: - Householder 35 to 44 years,Margin of Error; Owner occupied: - Householder 35 to 44 years,Estimate; Owner occupied: - Householder 45 to 54 years,Margin of Error; Owner occupied: - Householder 45 to 54 years,Estimate; Owner occupied: - Householder 55 to 59 years,Margin of Error; Owner occupied: - Householder 55 to 59 years,Estimate; Owner occupied: - Householder 60 to 64 years,Margin of Error; Owner occupied: - Householder 60 to 64 years,Estimate; Owner occupied: - Householder 65 to 74 years,Margin of Error; Owner occupied: - Householder 65 to 74 years,Estimate; Owner occupied: - Householder 75 to 84 years,Margin of Error; Owner occupied: - Householder 75 to 84 years,Estimate; Owner occupied: - Householder 85 years and over,Margin of Error; Owner occupied: - Householder 85 years and over,Estimate; Renter occupied:,Margin of Error; Renter occupied:,Estimate; Renter occupied: - Householder 15 to 24 years,Margin of Error; Renter occupied: - Householder 15 to 24 years,Estimate; Renter occupied: - Householder 25 to 34 years,Margin of Error; Renter occupied: - Householder 25 to 34 years,Estimate; Renter occupied: - Householder 35 to 44 years,Margin of Error; Renter occupied: - Householder 35 to 44 years,Estimate; Renter occupied: - Householder 45 to 54 years,Margin of Error; Renter occupied: - Householder 45 to 54 years,Estimate; Renter occupied: - Householder 55 to 59 years,Margin of Error; Renter occupied: - Householder 55 to 59 years,Estimate; Renter occupied: - Householder 60 to 64 years,Margin of Error; Renter occupied: - Householder 60 to 64 years,Estimate; Renter occupied: - Householder 65 to 74 years,Margin of Error; Renter occupied: - Householder 65 to 74 years,Estimate; Renter occupied: - Householder 75 to 84 years,Margin of Error; Renter occupied: - Householder 75 to 84 years,Estimate; Renter occupied: - Householder 85 years and over,Margin of Error; Renter occupied: - Householder 85 years and over
0100000US,,United States,111617402,145530,75086485,218471,953540,23040,8416916,59288,15284446,54414,17955155,65114,8192074,32593,6396090,32158,9329490,31820,6616917,31691,1941857,15242,36530917,116156,4403040,35045,9618385,50173,7784822,45283,6157804,46675,2203734,24112,1531732,20546,2143895,20123,1773315,18958,914190,11937
0400000US37,37,North Carolina,3454068,13312,2350798,17193,32117,2826,275536,7696,477822,7469,544042,7649,259576,5171,212114,5280,302885,4922,197392,4757,49314,2921,1103270,15595,155515,5968,304153,8714,236955,7424,176654,7919,67986,4776,41306,2708,53367,3138,47003,3072,20331,1763
0500000US37001,37001,"Alamance County, North Carolina",56380,1605,36525,1909,764,470,2953,640,8044,1104,8436,1066,3612,784,3550,869,4933,579,3344,511,889,419,19855,1837,3010,948,5494,1148,4576,1204,2990,1149,765,403,977,658,1035,480,553,288,455,236
0500000US37019,37019,"Brunswick County, North Carolina",39657,2341,29340,2133,468,523,4070,1049,4460,1097,5459,874,2285,506,3434,669,5158,497,3670,509,336,216,10317,1760,771,705,2612,1212,1964,1047,2471,1042,305,233,658,341,898,394,363,298,275,266
0500000US37021,37021,"Buncombe County, North Carolina",92571,2048,64060,2262,731,564,6705,834,10585,1219,14609,1128,8119,1103,5353,855,9269,949,6851,921,1838,567,28511,2260,2988,755,9302,1409,5376,1208,4325,1038,1762,680,1627,679,793,333,1872,675,466,244
0500000US37023,37023,"Burke County, North Carolina",33469,1375,25034,1497,588,365,2300,491,5402,935,5389,597,2792,597,2310,548,3545,394,2015,493,693,277,8435,1219,909,403,1833,686,1861,723,1535,620,561,253,296,300,709,480,667,342,64,108
0500000US37025,37025,"Cabarrus County, North Carolina",59998,1638,41880,2046,1000,653,5085,829,10600,998,8574,845,4414,806,3489,633,5022,657,2859,512,837,366,18118,2028,2649,1111,5031,1173,4112,896,3100,720,1562,675,492,315,291,205,606,279,275,201
0500000US37027,37027,"Caldwell County, North Carolina",30487,1294,22920,1518,90,117,2565,689,4887,872,4204,642,3051,625,1980,553,3677,443,1982,398,484,278,7567,1318,656,512,1863,635,1627,717,1658,638,701,422,195,200,503,288,219,200,145,150
0500000US37035,37035,"Catawba County, North Carolina",57982,1597,42288,2019,416,346,4610,878,8160,977,9212,946,5945,838,2970,657,5992,604,3988,605,995,452,15694,1791,2544,766,4127,962,3206,816,2688,772,836,497,411,391,686,360,764,357,432,300
