GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Owner occupied:,Margin of Error; Owner occupied:,Estimate; Owner occupied: - Householder 15 to 24 years,Margin of Error; Owner occupied: - Householder 15 to 24 years,Estimate; Owner occupied: - Householder 25 to 34 years,Margin of Error; Owner occupied: - Householder 25 to 34 years,Estimate; Owner occupied: - Householder 35 to 44 years,Margin of Error; Owner occupied: - Householder 35 to 44 years,Estimate; Owner occupied: - Householder 45 to 54 years,Margin of Error; Owner occupied: - Householder 45 to 54 years,Estimate; Owner occupied: - Householder 55 to 59 years,Margin of Error; Owner occupied: - Householder 55 to 59 years,Estimate; Owner occupied: - Householder 60 to 64 years,Margin of Error; Owner occupied: - Householder 60 to 64 years,Estimate; Owner occupied: - Householder 65 to 74 years,Margin of Error; Owner occupied: - Householder 65 to 74 years,Estimate; Owner occupied: - Householder 75 to 84 years,Margin of Error; Owner occupied: - Householder 75 to 84 years,Estimate; Owner occupied: - Householder 85 years and over,Margin of Error; Owner occupied: - Householder 85 years and over,Estimate; Renter occupied:,Margin of Error; Renter occupied:,Estimate; Renter occupied: - Householder 15 to 24 years,Margin of Error; Renter occupied: - Householder 15 to 24 years,Estimate; Renter occupied: - Householder 25 to 34 years,Margin of Error; Renter occupied: - Householder 25 to 34 years,Estimate; Renter occupied: - Householder 35 to 44 years,Margin of Error; Renter occupied: - Householder 35 to 44 years,Estimate; Renter occupied: - Householder 45 to 54 years,Margin of Error; Renter occupied: - Householder 45 to 54 years,Estimate; Renter occupied: - Householder 55 to 59 years,Margin of Error; Renter occupied: - Householder 55 to 59 years,Estimate; Renter occupied: - Householder 60 to 64 years,Margin of Error; Renter occupied: - Householder 60 to 64 years,Estimate; Renter occupied: - Householder 65 to 74 years,Margin of Error; Renter occupied: - Householder 65 to 74 years,Estimate; Renter occupied: - Householder 75 to 84 years,Margin of Error; Renter occupied: - Householder 75 to 84 years,Estimate; Renter occupied: - Householder 85 years and over,Margin of Error; Renter occupied: - Householder 85 years and over
0100000US,,United States,113101329,146859,75373053,224087,848994,19537,8006240,64753,14451185,60913,18093376,60266,8192210,36449,7126055,36409,9900974,34638,6630506,31616,2123513,17444,37728276,109011,4357275,33260,9903646,45889,7897651,54588,6468173,39910,2326389,23814,1763422,21577,2274933,20069,1768601,20415,968186,14138
0400000US37,37,North Carolina,3595175,14706,2451157,16681,30990,2950,281038,7080,489433,8260,567685,8883,261165,6031,240674,6879,322857,4742,202466,4813,54849,2855,1144018,14306,154001,6365,317359,7759,242785,7995,182975,6884,68280,4017,48627,3515,60646,3594,46690,2945,22655,2245
0500000US37001,37001,"Alamance County, North Carolina",59882,1725,39533,2065,1613,794,4078,935,7876,1199,8634,1076,4292,895,3445,711,5258,496,3387,931,950,376,20349,2351,2480,829,4610,1200,4752,1130,3379,1001,1331,646,929,625,1257,459,1073,460,538,283
0500000US37019,37019,"Brunswick County, North Carolina",46869,2504,35589,2412,808,584,4630,1607,5481,963,7004,1005,3386,661,3225,640,6166,582,3789,877,1100,474,11280,2124,1341,1031,4286,1454,1668,925,1717,764,643,408,376,245,435,256,695,514,119,162
0500000US37021,37021,"Buncombe County, North Carolina",100241,2117,66369,2329,1582,867,6270,1149,11157,1009,15180,1315,6975,965,6400,859,9814,712,7028,853,1963,537,33872,2595,3883,1130,9677,1330,6010,1173,5348,1118,2324,828,1504,544,2176,701,1715,687,1235,413
0500000US37023,37023,"Burke County, North Carolina",32856,1697,24416,1647,217,193,1922,670,4014,769,5421,681,2904,653,3309,704,3654,634,2234,483,741,355,8440,1503,850,516,2166,889,1765,662,1557,548,695,483,203,172,739,450,285,175,180,146
0500000US37025,37025,"Cabarrus County, North Carolina",62559,1404,45596,1787,973,574,5377,1022,9642,1077,10798,957,4563,849,4775,911,5102,592,3287,694,1079,416,16963,1626,1680,682,4458,951,4318,1045,2403,651,1196,548,1429,638,775,444,423,252,281,271
0500000US37027,37027,"Caldwell County, North Carolina",31044,1346,22796,1472,57,72,2580,592,3796,742,5223,758,2701,710,1841,496,4147,664,1673,415,778,421,8248,1197,610,353,2377,986,2226,766,1565,619,316,296,183,167,446,279,361,265,164,195
0500000US37035,37035,"Catawba County, North Carolina",60564,1573,41858,1972,77,114,4721,1029,7881,1151,10079,1149,4679,762,4004,771,5758,800,3625,729,1034,535,18706,2078,1671,682,5930,1170,4325,1061,2373,929,1237,555,681,365,1529,460,758,469,202,158
0500000US37045,37045,"Cleveland County, North Carolina",38503,1605,24858,1670,431,291,1561,699,4836,928,4773,956,2706,670,3934,723,3639,520,2413,570,565,270,13645,1744,1143,705,4117,1034,2340,842,2632,811,777,384,358,270,1262,534,751,373,265,271
0500000US37049,37049,"Craven County, North Carolina",41015,1620,26530,1860,312,308,2802,834,3867,866,5806,843,2753,633,2347,646,4656,532,3108,581,879,379,14485,1951,2787,952,3193,864,2808,984,2659,834,556,340,862,450,374,273,982,548,264,215
0500000US37051,37051,"Cumberland County, North Carolina",121049,4257,73869,3317,1488,755,7395,1532,15811,1826,18160,1468,8564,1143,7462,1262,8837,721,5038,676,1114,384,47180,4152,9137,2014,13764,2254,10810,2119,6926,1218,2456,871,1174,474,1543,500,815,360,555,312
0500000US37057,37057,"Davidson County, North Carolina",61847,1581,45309,2076,344,276,5014,1149,8691,1119,10230,1179,5726,1017,4240,955,5789,665,3812,624,1463,477,16538,1970,994,555,5598,1244,3440,985,2229,708,1085,628,938,506,1382,594,624,352,248,204
0500000US37063,37063,"Durham County, North Carolina",104976,4454,58675,2268,256,304,7093,1142,14332,1404,14169,1197,6537,850,6082,908,6260,782,3070,684,876,360,46301,4515,6308,3729,13799,1611,10645,1837,6536,1276,2489,826,1662,623,1913,663,1856,549,1093,603
0500000US37067,37067,"Forsyth County, North Carolina",135719,2805,90004,2668,1323,534,10828,1151,16732,1439,19493,1351,9283,1182,9744,1165,12314,891,7836,852,2451,528,45715,2843,6356,1071,11003,1363,10161,1484,8645,1518,2841,850,1534,579,2421,682,1525,545,1229,492
0500000US37071,37071,"Gaston County, North Carolina",78338,2347,56080,2411,516,311,6334,1115,12394,1345,12419,1295,6074,965,4938,870,7650,916,4462,699,1293,539,22258,2347,1755,698,5565,1171,5085,1408,4189,924,1524,504,1008,540,1693,673,728,382,711,465
0500000US37081,37081,"Guilford County, North Carolina",186629,3365,121085,3109,960,493,12429,1864,23900,1725,30060,1703,11966,1469,13125,1365,15432,1270,10368,1032,2845,691,65544,2937,8787,1238,17443,1848,15278,1631,9937,1397,4152,1167,3202,867,2698,856,2502,692,1545,443
0500000US37085,37085,"Harnett County, North Carolina",40741,1613,28095,1524,510,333,4133,680,7152,961,5644,720,2905,829,2531,647,3185,470,1728,479,307,184,12646,1597,1509,624,3424,922,2939,876,2475,881,558,325,133,150,840,349,698,333,70,84
0500000US37089,37089,"Henderson County, North Carolina",43131,1820,32726,1850,228,236,3395,770,4512,1134,6416,940,3434,740,2835,649,5359,657,5115,1070,1432,562,10405,1456,1339,841,1986,751,2156,1082,2162,773,434,365,556,373,570,335,896,490,306,276
0500000US37097,37097,"Iredell County, North Carolina",61243,1776,44133,1930,625,477,5441,1274,8926,1231,9576,1006,4506,779,3935,696,5839,656,4676,712,609,274,17110,1828,3238,878,5813,1619,2691,1038,2493,997,975,470,392,241,1098,476,410,258,0,289
0500000US37101,37101,"Johnston County, North Carolina",58039,1503,42417,2188,459,381,6506,1221,10043,1356,9368,1205,3807,755,4377,784,4605,685,2706,684,546,312,15622,1990,1370,718,4281,1282,3488,1039,3205,950,986,481,836,430,720,390,535,286,201,180
0500000US37109,37109,"Lincoln County, North Carolina",28017,1148,20108,1390,271,213,2310,950,4452,811,4561,739,2246,536,2105,537,2522,419,1187,448,454,288,7909,1416,720,407,2455,853,1526,671,1615,548,488,356,106,133,563,417,344,290,92,156
0500000US37119,37119,"Mecklenburg County, North Carolina",366191,4325,233000,4831,2845,920,33379,2241,57628,2813,58014,2423,23875,2065,20710,1867,20953,1276,12211,1000,3385,752,133191,4819,20391,2189,38441,2627,31703,2522,20758,2497,6854,1312,5501,1172,4411,754,2951,763,2181,655
0500000US37125,37125,"Moore County, North Carolina",31743,1472,23908,1428,119,117,1842,583,4088,702,5165,767,1340,421,2601,521,4039,467,3814,631,900,329,7835,1124,1004,521,1367,635,1458,489,1138,611,645,306,393,231,643,293,698,366,489,297
0500000US37127,37127,"Nash County, North Carolina",37028,1363,23680,1565,155,198,1951,530,3995,846,5776,856,3461,624,2030,567,3697,496,1965,500,650,342,13348,1800,2133,880,2086,711,2956,884,2380,686,510,291,689,364,1161,551,852,372,581,408
0500000US37129,37129,"New Hanover County, North Carolina",82443,2996,52304,2222,546,463,6128,1120,10380,1133,12057,1116,5155,884,5298,878,7171,734,4395,747,1174,421,30139,2753,5569,1438,8980,1221,4576,1136,4340,1026,1595,497,1325,520,1392,598,1684,576,678,401
0500000US37133,37133,"Onslow County, North Carolina",56617,2967,35246,1968,1274,675,6309,1160,6581,910,8223,1039,3800,749,3116,704,3731,585,2167,522,45,75,21371,3265,5263,2739,7453,1311,3440,908,2564,756,363,300,894,535,1096,493,298,245,0,289
0500000US37135,37135,"Orange County, North Carolina",50194,2139,29801,1589,636,712,3155,884,5321,858,8072,1048,3784,709,3098,636,3484,466,2045,574,206,201,20393,2124,4823,1734,5649,1053,4146,1076,2416,797,891,384,785,415,344,235,988,496,351,293
0500000US37147,37147,"Pitt County, North Carolina",64171,2057,36414,1639,837,508,4849,904,6692,818,9131,984,4482,695,2710,582,4176,568,2751,706,786,467,27757,2072,7023,1367,8497,1246,3783,704,3698,969,1236,417,817,520,1325,479,1027,579,351,285
0500000US37151,37151,"Randolph County, North Carolina",54618,1323,40812,1874,113,106,4437,935,8978,1228,9343,940,5062,824,3699,774,4632,651,3653,527,895,380,13806,1798,1090,518,4193,1260,3774,1085,1842,754,680,394,607,403,852,334,589,367,179,156
0500000US37155,37155,"Robeson County, North Carolina",41909,1724,28986,1819,358,236,3183,923,5646,1302,6376,813,2993,818,2628,742,4637,538,2830,637,335,217,12923,1745,845,440,3709,899,2973,980,1635,561,1451,581,816,409,774,381,564,325,156,155
0500000US37157,37157,"Rockingham County, North Carolina",37946,1242,28929,1415,342,274,4186,911,4390,815,6512,858,2679,559,3431,755,3907,604,2813,689,669,330,9017,1089,670,461,1576,689,2074,706,2057,722,756,320,242,169,760,362,645,340,237,303
0500000US37159,37159,"Rowan County, North Carolina",52547,1717,36085,1676,554,414,3890,919,6809,996,7488,817,3659,612,3467,687,5407,691,3636,561,1175,494,16462,1793,1757,590,4623,1107,2546,894,3540,874,1022,447,1046,518,1059,453,412,244,457,249
0500000US37171,37171,"Surry County, North Carolina",28806,1307,22065,1338,0,289,1586,678,4963,783,4556,649,2270,601,2693,482,3542,435,2089,559,366,252,6741,1129,634,375,1630,739,1046,583,1536,616,588,412,191,145,498,329,557,320,61,103
0500000US37179,37179,"Union County, North Carolina",64193,1870,52187,2065,966,510,9653,1335,13976,1078,11559,1084,4143,1084,4496,1051,4452,531,2452,630,490,316,12006,1810,782,559,3880,1155,2102,802,2557,872,924,614,658,498,754,490,244,218,105,142
