GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Owner occupied,Margin of Error; Total: - Owner occupied,Estimate; Total: - Renter occupied,Margin of Error; Total: - Renter occupied
0100000US,,United States,14051208,33702,5977100,35414,8074108,32784
0400000US37,37,North Carolina,781013,6579,369795,7390,411218,8183
0500000US37001,37001,"Alamance County, North Carolina",11378,964,5578,801,5800,1056
0500000US37019,37019,"Brunswick County, North Carolina",4258,749,3184,703,1074,505
0500000US37021,37021,"Buncombe County, North Carolina",6166,995,2557,742,3609,1015
0500000US37023,37023,"Burke County, North Carolina",2579,554,1421,594,1158,564
0500000US37025,37025,"Cabarrus County, North Carolina",9529,1057,4872,792,4657,875
0500000US37027,37027,"Caldwell County, North Carolina",1728,585,776,332,952,566
0500000US37031,37031,"Carteret County, North Carolina",1497,399,615,272,882,440
0500000US37035,37035,"Catawba County, North Carolina",5095,866,1859,457,3236,881
0500000US37037,37037,"Chatham County, North Carolina",3725,601,2443,626,1282,552
0500000US37045,37045,"Cleveland County, North Carolina",7309,725,3657,607,3652,759
0500000US37049,37049,"Craven County, North Carolina",8600,853,3899,643,4701,858
0500000US37051,37051,"Cumberland County, North Carolina",45844,1447,21829,1487,24015,1649
0500000US37057,37057,"Davidson County, North Carolina",6250,751,2604,776,3646,955
0500000US37063,37063,"Durham County, North Carolina",42207,1716,18090,1546,24117,1954
0500000US37067,37067,"Forsyth County, North Carolina",36611,1387,14754,1350,21857,1504
0500000US37071,37071,"Gaston County, North Carolina",11406,915,4424,584,6982,834
0500000US37081,37081,"Guilford County, North Carolina",63855,1997,27037,2319,36818,2687
0500000US37085,37085,"Harnett County, North Carolina",8602,797,4638,608,3964,810
0500000US37089,37089,"Henderson County, North Carolina",1390,437,572,373,818,393
0500000US37097,37097,"Iredell County, North Carolina",7043,923,2496,614,4547,1089
0500000US37101,37101,"Johnston County, North Carolina",9509,1078,5920,755,3589,990
0500000US37109,37109,"Lincoln County, North Carolina",1293,488,473,213,820,504
0500000US37119,37119,"Mecklenburg County, North Carolina",109323,3174,47306,2767,62017,3031
0500000US37125,37125,"Moore County, North Carolina",5296,842,3322,860,1974,659
0500000US37127,37127,"Nash County, North Carolina",12718,1083,5856,975,6862,1160
0500000US37129,37129,"New Hanover County, North Carolina",11152,999,4514,985,6638,1266
0500000US37133,37133,"Onslow County, North Carolina",11068,1178,4413,921,6655,1389
0500000US37135,37135,"Orange County, North Carolina",5876,823,2510,599,3366,856
0500000US37147,37147,"Pitt County, North Carolina",23297,1321,7224,1110,16073,1396
0500000US37151,37151,"Randolph County, North Carolina",3432,419,2018,548,1414,472
0500000US37155,37155,"Robeson County, North Carolina",10836,665,5358,639,5478,762
0500000US37157,37157,"Rockingham County, North Carolina",7063,709,3824,818,3239,911
0500000US37159,37159,"Rowan County, North Carolina",6846,943,2838,580,4008,953
0500000US37161,37161,"Rutherford County, North Carolina",3216,572,1661,651,1555,826
0500000US37171,37171,"Surry County, North Carolina",1293,255,695,286,598,272
0500000US37179,37179,"Union County, North Carolina",7632,746,4943,650,2689,630
0500000US37183,37183,"Wake County, North Carolina",73880,2899,33287,2100,40593,2560
0500000US37191,37191,"Wayne County, North Carolina",15117,1016,6221,697,8896,1040
0500000US37193,37193,"Wilkes County, North Carolina",1418,511,532,322,886,443
0500000US37195,37195,"Wilson County, North Carolina",11900,1070,4475,774,7425,1061
