GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Owner occupied,Margin of Error; Total: - Owner occupied,Estimate; Total: - Renter occupied,Margin of Error; Total: - Renter occupied
0100000US,,United States,118208250,155130,74506512,228238,43701738,113291
0400000US37,37,North Carolina,3843745,15042,2455141,15671,1388604,15481
0500000US37001,37001,"Alamance County, North Carolina",63093,1325,39515,1740,23578,2025
0500000US37019,37019,"Brunswick County, North Carolina",49859,2409,39419,1996,10440,1731
0500000US37021,37021,"Buncombe County, North Carolina",102887,2221,65911,3072,36976,2889
0500000US37023,37023,"Burke County, North Carolina",34380,1728,25098,1921,9282,1455
0500000US37025,37025,"Cabarrus County, North Carolina",70623,1550,48516,2377,22107,2398
0500000US37027,37027,"Caldwell County, North Carolina",31917,1473,22484,1559,9433,1308
0500000US37031,37031,"Carteret County, North Carolina",29636,1429,21436,1294,8200,1261
0500000US37035,37035,"Catawba County, North Carolina",60498,1668,41385,2145,19113,2275
0500000US37037,37037,"Chatham County, North Carolina",27608,974,20180,1246,7428,1179
0500000US37045,37045,"Cleveland County, North Carolina",36291,1506,24404,1348,11887,1449
0500000US37049,37049,"Craven County, North Carolina",41721,1196,25544,1551,16177,1543
0500000US37051,37051,"Cumberland County, North Carolina",120188,2201,60508,2045,59680,2729
0500000US37057,37057,"Davidson County, North Carolina",65359,1425,43651,2250,21708,2240
0500000US37063,37063,"Durham County, North Carolina",120004,2125,62747,2915,57257,2898
0500000US37067,37067,"Forsyth County, North Carolina",144165,2593,87988,2569,56177,2952
0500000US37071,37071,"Gaston County, North Carolina",79021,1717,51699,2086,27322,1878
0500000US37081,37081,"Guilford County, North Carolina",198833,2548,115919,3220,82914,3611
0500000US37085,37085,"Harnett County, North Carolina",43725,1094,28388,1434,15337,1315
0500000US37089,37089,"Henderson County, North Carolina",47478,1727,32935,1614,14543,1853
0500000US37097,37097,"Iredell County, North Carolina",63782,1457,46683,1987,17099,1561
0500000US37101,37101,"Johnston County, North Carolina",64045,1367,45448,1960,18597,2047
0500000US37109,37109,"Lincoln County, North Carolina",29977,1289,22827,1604,7150,1432
0500000US37119,37119,"Mecklenburg County, North Carolina",397157,3511,221359,3753,175798,3742
0500000US37125,37125,"Moore County, North Carolina",38639,1624,27614,1439,11025,1712
0500000US37127,37127,"Nash County, North Carolina",36406,1218,23156,1686,13250,1569
0500000US37129,37129,"New Hanover County, North Carolina",91513,1985,53170,2391,38343,2721
0500000US37133,37133,"Onslow County, North Carolina",64771,2390,33617,2482,31154,2686
0500000US37135,37135,"Orange County, North Carolina",52588,1393,31679,1578,20909,1975
0500000US37147,37147,"Pitt County, North Carolina",68374,1940,35767,1917,32607,2204
0500000US37151,37151,"Randolph County, North Carolina",55516,1326,37849,1853,17667,1877
0500000US37155,37155,"Robeson County, North Carolina",45373,867,27481,1256,17892,1238
0500000US37157,37157,"Rockingham County, North Carolina",36739,1555,24742,1665,11997,1550
0500000US37159,37159,"Rowan County, North Carolina",51225,1815,34675,2464,16550,2243
0500000US37161,37161,"Rutherford County, North Carolina",25745,1497,18204,1311,7541,1371
0500000US37171,37171,"Surry County, North Carolina",29234,958,20957,1218,8277,997
0500000US37179,37179,"Union County, North Carolina",74363,1124,57605,1952,16758,1861
0500000US37183,37183,"Wake County, North Carolina",382638,3461,240335,3848,142303,3728
0500000US37191,37191,"Wayne County, North Carolina",47490,1259,29220,1480,18270,1705
0500000US37193,37193,"Wilkes County, North Carolina",27540,1493,20950,1347,6590,1346
0500000US37195,37195,"Wilson County, North Carolina",32324,1018,19406,1423,12918,1622
