GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Owner occupied,Margin of Error; Total: - Owner occupied,Estimate; Total: - Renter occupied,Margin of Error; Total: - Renter occupied
0100000US,,United States,15354730,46110,6982201,51874,8372529,39121
0400000US37,37,North Carolina,238380,6357,102604,5370,135776,5980
0500000US37001,37001,"Alamance County, North Carolina",5949,655,2329,729,3620,852
0500000US37019,37019,"Brunswick County, North Carolina",2643,1486,829,495,1814,1566
0500000US37021,37021,"Buncombe County, North Carolina",4057,622,1890,674,2167,767
0500000US37023,37023,"Burke County, North Carolina",1283,399,192,214,1091,386
0500000US37025,37025,"Cabarrus County, North Carolina",5193,666,2249,838,2944,906
0500000US37027,37027,"Caldwell County, North Carolina",881,422,283,199,598,420
0500000US37031,37031,"Carteret County, North Carolina",612,215,188,124,424,206
0500000US37035,37035,"Catawba County, North Carolina",3612,639,1438,626,2174,658
0500000US37037,37037,"Chatham County, North Carolina",2301,477,847,272,1454,543
0500000US37045,37045,"Cleveland County, North Carolina",456,209,78,91,378,200
0500000US37049,37049,"Craven County, North Carolina",1895,488,909,437,986,441
0500000US37051,37051,"Cumberland County, North Carolina",12181,1025,4777,962,7404,1045
0500000US37057,37057,"Davidson County, North Carolina",2756,756,774,332,1982,761
0500000US37063,37063,"Durham County, North Carolina",10663,1012,3699,904,6964,1106
0500000US37067,37067,"Forsyth County, North Carolina",11500,1040,5263,865,6237,1232
0500000US37071,37071,"Gaston County, North Carolina",3508,472,1523,456,1985,575
0500000US37081,37081,"Guilford County, North Carolina",10689,987,4525,752,6164,1019
0500000US37085,37085,"Harnett County, North Carolina",3385,597,1571,527,1814,562
0500000US37089,37089,"Henderson County, North Carolina",3298,828,1692,653,1606,835
0500000US37097,37097,"Iredell County, North Carolina",3626,545,1636,599,1990,643
0500000US37101,37101,"Johnston County, North Carolina",5221,824,2758,783,2463,865
0500000US37109,37109,"Lincoln County, North Carolina",1586,414,596,491,990,401
0500000US37119,37119,"Mecklenburg County, North Carolina",36731,1937,13413,1580,23318,2219
0500000US37125,37125,"Moore County, North Carolina",1347,698,732,508,615,551
0500000US37127,37127,"Nash County, North Carolina",2021,736,781,366,1240,802
0500000US37129,37129,"New Hanover County, North Carolina",2949,808,814,523,2135,882
0500000US37133,37133,"Onslow County, North Carolina",5299,1037,1216,683,4083,1069
0500000US37135,37135,"Orange County, North Carolina",2580,479,1361,406,1219,546
0500000US37147,37147,"Pitt County, North Carolina",3309,633,1749,865,1560,685
0500000US37151,37151,"Randolph County, North Carolina",4061,728,2444,669,1617,690
0500000US37155,37155,"Robeson County, North Carolina",2500,402,1366,345,1134,324
0500000US37157,37157,"Rockingham County, North Carolina",1438,314,915,438,523,401
0500000US37159,37159,"Rowan County, North Carolina",2776,690,1422,649,1354,628
0500000US37171,37171,"Surry County, North Carolina",1568,279,799,324,769,241
0500000US37179,37179,"Union County, North Carolina",5726,767,3223,760,2503,690
0500000US37183,37183,"Wake County, North Carolina",26493,1710,11925,1936,14568,1562
0500000US37191,37191,"Wayne County, North Carolina",3415,548,1357,550,2058,721
0500000US37193,37193,"Wilkes County, North Carolina",995,289,254,168,741,292
0500000US37195,37195,"Wilson County, North Carolina",1721,415,778,375,943,348
