GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Owner occupied,Margin of Error; Total: - Owner occupied,Estimate; Total: - Renter occupied,Margin of Error; Total: - Renter occupied
0100000US,,United States,81071882,83326,58261487,145893,22810395,91265
0400000US37,37,North Carolina,2689841,12161,1974933,13140,714908,11504
0500000US37001,37001,"Alamance County, North Carolina",44609,1133,31844,1542,12765,1565
0500000US37019,37019,"Brunswick County, North Carolina",48160,2176,38336,1899,9824,1575
0500000US37021,37021,"Buncombe County, North Carolina",94277,2250,61711,2420,32566,2508
0500000US37023,37023,"Burke County, North Carolina",28509,1790,22062,1659,6447,1149
0500000US37025,37025,"Cabarrus County, North Carolina",53329,1472,42075,2150,11254,1813
0500000US37027,37027,"Caldwell County, North Carolina",29408,1115,21714,1454,7694,1369
0500000US37031,37031,"Carteret County, North Carolina",27051,1185,19542,1062,7509,1137
0500000US37035,37035,"Catawba County, North Carolina",51104,1354,38256,1786,12848,1640
0500000US37037,37037,"Chatham County, North Carolina",22097,1047,17991,1171,4106,1031
0500000US37045,37045,"Cleveland County, North Carolina",30393,1048,22875,1380,7518,1228
0500000US37049,37049,"Craven County, North Carolina",27701,1157,20090,1171,7611,1234
0500000US37051,37051,"Cumberland County, North Carolina",58172,1855,34271,1598,23901,1912
0500000US37057,37057,"Davidson County, North Carolina",54960,1783,42478,1934,12482,1680
0500000US37063,37063,"Durham County, North Carolina",60587,1659,40078,1750,20509,1764
0500000US37067,37067,"Forsyth County, North Carolina",91998,2452,66464,2420,25534,2103
0500000US37069,37069,"Franklin County, North Carolina",15885,1028,13634,1072,2251,856
0500000US37071,37071,"Gaston County, North Carolina",64242,1259,45104,1789,19138,1739
0500000US37081,37081,"Guilford County, North Carolina",115605,2096,82563,2050,33042,2834
0500000US37085,37085,"Harnett County, North Carolina",30455,1269,22212,1137,8243,1186
0500000US37089,37089,"Henderson County, North Carolina",42298,1482,32161,1583,10137,1337
0500000US37097,37097,"Iredell County, North Carolina",52623,1600,41601,1628,11022,1350
0500000US37101,37101,"Johnston County, North Carolina",50722,1958,40249,2362,10473,1516
0500000US37109,37109,"Lincoln County, North Carolina",29936,894,23169,1401,6767,1367
0500000US37119,37119,"Mecklenburg County, North Carolina",216802,3110,150578,3395,66224,3468
0500000US37125,37125,"Moore County, North Carolina",32457,1334,25173,1478,7284,1242
0500000US37127,37127,"Nash County, North Carolina",20478,875,15482,789,4996,1034
0500000US37129,37129,"New Hanover County, North Carolina",77060,1960,49541,2182,27519,2358
0500000US37133,37133,"Onslow County, North Carolina",44500,2552,26198,2669,18302,2520
0500000US37135,37135,"Orange County, North Carolina",39930,1400,26142,1574,13788,1448
0500000US37147,37147,"Pitt County, North Carolina",40219,1924,26145,1540,14074,1643
0500000US37151,37151,"Randolph County, North Carolina",47637,1273,36531,1523,11106,1454
0500000US37155,37155,"Robeson County, North Carolina",13399,799,8988,852,4411,738
0500000US37157,37157,"Rockingham County, North Carolina",27428,1098,21364,1243,6064,1280
0500000US37159,37159,"Rowan County, North Carolina",40751,1679,30789,1610,9962,1363
0500000US37161,37161,"Rutherford County, North Carolina",22938,1522,17169,1594,5769,1271
0500000US37171,37171,"Surry County, North Carolina",26436,1007,19880,1119,6556,1065
0500000US37179,37179,"Union County, North Carolina",57170,1448,49351,1500,7819,1336
0500000US37183,37183,"Wake County, North Carolina",258865,3443,186312,3795,72553,3938
0500000US37191,37191,"Wayne County, North Carolina",27991,1205,20921,1329,7070,1319
0500000US37193,37193,"Wilkes County, North Carolina",26032,1377,20973,1366,5059,1138
0500000US37195,37195,"Wilson County, North Carolina",16798,787,12237,1048,4561,866
