geo_description,label,year,description,estimate,se,moe,cv,type,subtype
United States,HD01_VD02,2006,Q1,24645,7,14,0.03,Comparison Community,Total
North Carolina,HD01_VD02,2006,Q1,22106,107,210,0.48,Comparison Community,Total
"Durham County, NC",HD01_VD02,2006,Q1,24304,582,1141,2.39,Comparison Community,Total
"Forsyth County, NC",HD01_VD02,2006,Q1,23699,759,1488,3.2,Comparison Community,Total
"Guilford County, NC",HD01_VD02,2006,Q1,23285,626,1227,2.69,Comparison Community,Total
United States,HD01_VD03,2006,Q2,46460,24,47,0.05,Comparison Community,Total
North Carolina,HD01_VD03,2006,Q2,40888,208,408,0.51,Comparison Community,Total
"Durham County, NC",HD01_VD03,2006,Q2,45686,1136,2227,2.49,Comparison Community,Total
"Forsyth County, NC",HD01_VD03,2006,Q2,44071,710,1392,1.61,Comparison Community,Total
"Guilford County, NC",HD01_VD03,2006,Q2,41760,858,1682,2.05,Comparison Community,Total
United States,HD01_VD04,2006,Q3,73246,38,74,0.05,Comparison Community,Total
North Carolina,HD01_VD04,2006,Q3,64079,253,496,0.39,Comparison Community,Total
"Durham County, NC",HD01_VD04,2006,Q3,70109,1561,3060,2.23,Comparison Community,Total
"Forsyth County, NC",HD01_VD04,2006,Q3,66567,737,1445,1.11,Comparison Community,Total
"Guilford County, NC",HD01_VD04,2006,Q3,68252,960,1882,1.41,Comparison Community,Total
United States,HD01_VD05,2006,Q4,114507,50,98,0.04,Comparison Community,Total
North Carolina,HD01_VD05,2006,Q4,100286,264,517,0.26,Comparison Community,Total
"Durham County, NC",HD01_VD05,2006,Q4,112002,3726,7303,3.33,Comparison Community,Total
"Forsyth County, NC",HD01_VD05,2006,Q4,106924,2469,4839,2.31,Comparison Community,Total
"Guilford County, NC",HD01_VD05,2006,Q4,106188,1798,3524,1.69,Comparison Community,Total
United States,HD01_VD06,2006,Q5,207627,155,304,0.07,Comparison Community,Total
North Carolina,HD01_VD06,2006,Q5,179913,1319,2585,0.73,Comparison Community,Total
"Durham County, NC",HD01_VD06,2006,Q5,202585,7869,15423,3.88,Comparison Community,Total
"Forsyth County, NC",HD01_VD06,2006,Q5,195884,4583,8983,2.34,Comparison Community,Total
"Guilford County, NC",HD01_VD06,2006,Q5,187191,3963,7767,2.12,Comparison Community,Total
United States,HD01_VD02,2007,Q1,25069,29,57,0.12,Comparison Community,Total
North Carolina,HD01_VD02,2007,Q1,21951,155,304,0.71,Comparison Community,Total
"Durham County, NC",HD01_VD02,2007,Q1,22125,789,1546,3.57,Comparison Community,Total
"Forsyth County, NC",HD01_VD02,2007,Q1,23590,976,1913,4.14,Comparison Community,Total
"Guilford County, NC",HD01_VD02,2007,Q1,22814,804,1576,3.52,Comparison Community,Total
United States,HD01_VD03,2007,Q2,47590,42,82,0.09,Comparison Community,Total
North Carolina,HD01_VD03,2007,Q2,41782,143,280,0.34,Comparison Community,Total
"Durham County, NC",HD01_VD03,2007,Q2,43423,1482,2905,3.41,Comparison Community,Total
"Forsyth County, NC",HD01_VD03,2007,Q2,42257,1005,1970,2.38,Comparison Community,Total
"Guilford County, NC",HD01_VD03,2007,Q2,42224,558,1094,1.32,Comparison Community,Total
United States,HD01_VD04,2007,Q3,74012,42,82,0.06,Comparison Community,Total
North Carolina,HD01_VD04,2007,Q3,65440,275,539,0.42,Comparison Community,Total
"Durham County, NC",HD01_VD04,2007,Q3,67443,2281,4471,3.38,Comparison Community,Total
