Year,County,Q1_max,Q2_max,Q3_max,Q4_max
2016,Forsyth NC,,,,
2016,Guilford NC,,,,
2016,Pulaski AR,,,,
2016,Lafayette Parish LA,,,,
2016,Jackson MO,,,,
2015,Forsyth NC,,,,
2015,Guilford NC,,,,
2015,Pulaski AR,,,,
2015,Lafayette Parish LA,,,,
2015,Jackson MO,,,,
2014,Forsyth NC,,,,
2014,Guilford NC,,,,
2014,Pulaski AR,,,,
2014,Lafayette Parish LA,,,,
2014,Jackson MO,,,,
2013,Forsyth NC,,,,
2013,Guilford NC,,,,
2013,Pulaski AR,,,,
2013,Lafayette Parish LA,,,,
2013,Jackson MO,,,,
2012,Forsyth NC,,,,
2012,Guilford NC,,,,
2012,Pulaski AR,,,,
2012,Lafayette Parish LA,,,,
2012,Jackson MO,,,,
2011,Forsyth NC,,,,
2011,Guilford NC,,,,
2011,Pulaski AR,,,,
2011,Lafayette Parish LA,,,,
2011,Jackson MO,,,,
2010,Forsyth NC,,,,
2010,Guilford NC,,,,
2010,Pulaski AR,,,,
2010,Lafayette Parish LA,,,,
2010,Jackson MO,,,,
2009,Forsyth NC,,,,
2009,Guilford NC,,,,
2009,Pulaski AR,,,,
2009,Lafayette Parish LA,,,,
2009,Jackson MO,,,,
2008,Forsyth NC,,,,
2008,Guilford NC,,,,
2008,Pulaski AR,,,,
2008,Lafayette Parish LA,,,,
2008,Jackson MO,,,,
2007,Forsyth NC,,,,
2007,Guilford NC,,,,
2007,Pulaski AR,,,,
2007,Lafayette Parish LA,,,,
2007,Jackson MO,,,,
