year,geo_description,subtype,quintile,estimate,type,se
2017,"Durham County, NC",18 to 24,1,0.5199487033342832,Age,0.10476407938313821
2017,"Durham County, NC",18 to 24,2,0.2158734682245654,Age,0.0815235837380838
2017,"Durham County, NC",18 to 24,3,0.20404673696209746,Age,0.0807309259327437
2017,"Durham County, NC",18 to 24,4,0.05286406383585067,Age,0.03922184482214295
2017,"Durham County, NC",18 to 24,5,0.007267027643203192,Age,0.00739723465374297
2017,"Durham County, NC",25 to 44,1,0.15969537652698315,Age,0.022945009747919697
2017,"Durham County, NC",25 to 44,2,0.22603216329055204,Age,0.020666601890949505
2017,"Durham County, NC",25 to 44,3,0.20639400030926242,Age,0.023022144723328992
2017,"Durham County, NC",25 to 44,4,0.24621153548786145,Age,0.021519289887226775
2017,"Durham County, NC",25 to 44,5,0.16166692438534097,Age,0.016412190055988412
2017,"Durham County, NC",45 to 64,1,0.17985942022327375,Age,0.02234767152578718
2017,"Durham County, NC",45 to 64,2,0.17423163504387376,Age,0.02303082782392642
2017,"Durham County, NC",45 to 64,3,0.14995176184131942,Age,0.01838197836583643
2017,"Durham County, NC",45 to 64,4,0.2011531216979832,Age,0.020396359574464274
2017,"Durham County, NC",45 to 64,5,0.29480406119354985,Age,0.020433580100190925
2017,"Durham County, NC",65 and over,1,0.24671618615972135,Age,0.03502094794215996
2017,"Durham County, NC",65 and over,2,0.17516471526291494,Age,0.03631312350342738
2017,"Durham County, NC",65 and over,3,0.2902765537790088,Age,0.03565049388598269
2017,"Durham County, NC",65 and over,4,0.1242603550295858,Age,0.02958575237992756
2017,"Durham County, NC",65 and over,5,0.16358218976876915,Age,0.02790229967470263
2017,"Forsyth County, NC",18 to 24,1,0.4699098343468232,Age,0.11319498921914466
2017,"Forsyth County, NC",18 to 24,2,0.2524638288949465,Age,0.09757627026031782
2017,"Forsyth County, NC",18 to 24,3,0.14741035856573706,Age,0.06510617679082738
2017,"Forsyth County, NC",18 to 24,4,0.1302159781924932,Age,0.06806289217361984
2017,"Forsyth County, NC",25 to 44,1,0.1852350688160276,Age,0.025399898500244954
2017,"Forsyth County, NC",25 to 44,2,0.1874658024327623,Age,0.025167481584562446
2017,"Forsyth County, NC",25 to 44,3,0.2431499642240835,Age,0.01858405458496343
2017,"Forsyth County, NC",25 to 44,4,0.20291258049581212,Age,0.019850237659600853
2017,"Forsyth County, NC",25 to 44,5,0.18123658403131446,Age,0.015084776896210243
2017,"Forsyth County, NC",45 to 64,1,0.1555592123306456,Age,0.016889560909969886
2017,"Forsyth County, NC",45 to 64,2,0.17190499698316056,Age,0.01772860176090634
2017,"Forsyth County, NC",45 to 64,3,0.18210739948439472,Age,0.018223840972528924
