year,geo_description,subtype,quintile,perc,type,se
2006,"Forsyth County, NC",24,1,0.48371905274488697,agep,0.05862548677370463
2006,"Forsyth County, NC",24,2,0.18824004305705058,agep,0.05317051004223518
2006,"Forsyth County, NC",24,3,0.17680301399354145,agep,0.046934499109486764
2006,"Forsyth County, NC",24,4,0.11773412271259419,agep,0.035298265742917355
2006,"Forsyth County, NC",24,5,0.0335037674919268,agep,0.022699761730117146
2006,"Forsyth County, NC",44,1,0.18563587197804415,agep,0.02224687566387049
2006,"Forsyth County, NC",44,2,0.18529281188198732,agep,0.023287805119112916
2006,"Forsyth County, NC",44,3,0.2513823303870525,agep,0.023802756037821095
2006,"Forsyth County, NC",44,4,0.16767566694918676,agep,0.02183222811548664
2006,"Forsyth County, NC",44,5,0.21001331880372925,agep,0.020723310130097847
2006,"Forsyth County, NC",64,1,0.12721964968794042,agep,0.019151749734954863
2006,"Forsyth County, NC",64,2,0.12293134688947051,agep,0.014352150993899667
2006,"Forsyth County, NC",64,3,0.21944835917052546,agep,0.019876343295381082
2006,"Forsyth County, NC",64,4,0.21123414535937185,agep,0.018723026962683523
2006,"Forsyth County, NC",64,5,0.3191664988926918,agep,0.01882157851705982
2006,"Forsyth County, NC",150,1,0.23726374000984812,agep,0.023289786189347773
2006,"Forsyth County, NC",150,2,0.2590810954130525,agep,0.02471014515224692
2006,"Forsyth County, NC",150,3,0.21650695049429947,agep,0.02415943818805984
2006,"Forsyth County, NC",150,4,0.16821332525283134,agep,0.02335612743536765
2006,"Forsyth County, NC",150,5,0.11893488882996857,agep,0.01698559359439266
2007,"Forsyth County, NC",24,1,0.357293550331525,agep,0.07904934973565737
2007,"Forsyth County, NC",24,2,0.31690777576853524,agep,0.06943673907995937
2007,"Forsyth County, NC",24,3,0.27034358047016277,agep,0.0999458665393809
2007,"Forsyth County, NC",24,4,0.04701627486437613,agep,0.022065995524061906
2007,"Forsyth County, NC",24,5,0.008438818565400843,agep,0.008775772606752122
2007,"Forsyth County, NC",44,1,0.1769283950617284,agep,0.02477155239437327
2007,"Forsyth County, NC",44,2,0.20351604938271606,agep,0.039433504628807715
2007,"Forsyth County, NC",44,3,0.19559506172839505,agep,0.031936800022715796
2007,"Forsyth County, NC",44,4,0.20847407407407406,agep,0.020564681511312483
2007,"Forsyth County, NC",44,5,0.2154864197530864,agep,0.022977140201621966
2007,"Forsyth County, NC",64,1,0.11509847683934375,agep,0.014023722788852475
2007,"Forsyth County, NC",64,2,0.1913543991542347,agep,0.017923659627340563
2007,"Forsyth County, NC",64,3,0.14115666235952856,agep,0.016367225569613626
2007,"Forsyth County, NC",64,4,0.21279220016445435,agep,0.018389273102537403
2007,"Forsyth County, NC",64,5,0.3395982614824386,agep,0.01954363727000755
2007,"Forsyth County, NC",150,1,0.29197750909558634,agep,0.02606786544012325
2007,"Forsyth County, NC",150,2,0.21200984895814193,agep,0.02388577927094332
2007,"Forsyth County, NC",150,3,0.19745691080812908,agep,0.02367218840793323
2007,"Forsyth County, NC",150,4,0.17485575686303334,agep,0.01988657471976785
2007,"Forsyth County, NC",150,5,0.12369997427510933,agep,0.015722631947015144
2008,"Forsyth County, NC",24,1,0.4231721621269386,agep,0.07249938580012368
2008,"Forsyth County, NC",24,2,0.30952691255050174,agep,0.06820110029471378
2008,"Forsyth County, NC",24,3,0.1354098787957774,agep,0.04394824663256568
2008,"Forsyth County, NC",24,4,0.11429688518180633,agep,0.042815975295457824
2008,"Forsyth County, NC",24,5,0.01759416134497589,agep,0.012486495707721562
2008,"Forsyth County, NC",44,1,0.14991805572210898,agep,0.02489003965095296
2008,"Forsyth County, NC",44,2,0.239457169124995,agep,0.028956520977609933
2008,"Forsyth County, NC",44,3,0.20667945796858136,agep,0.02381579437606946
2008,"Forsyth County, NC",44,4,0.20470080345365152,agep,0.02135287413103526
2008,"Forsyth County, NC",44,5,0.19924451373066315,agep,0.016061128051852187
2008,"Forsyth County, NC",64,1,0.13023972805786677,agep,0.017260794801831545
2008,"Forsyth County, NC",64,2,0.1421174331508528,agep,0.0175136659599913
2008,"Forsyth County, NC",64,3,0.20504357793632286,agep,0.023666889380038737
2008,"Forsyth County, NC",64,4,0.20968793849680822,agep,0.019883891977915208
2008,"Forsyth County, NC",64,5,0.3129113223581494,agep,0.022950817931999542
2008,"Forsyth County, NC",150,1,0.24213905303859343,agep,0.021314038996342002
2008,"Forsyth County, NC",150,2,0.2729991974903334,agep,0.024661855961340903
2008,"Forsyth County, NC",150,3,0.206172028890348,agep,0.021054696484441693
2008,"Forsyth County, NC",150,4,0.16374844969723498,agep,0.02126316793547686
2008,"Forsyth County, NC",150,5,0.11494127088349018,agep,0.015159991435133325
