geo_description,label,year,description,estimate,moe,se,cv
United States,HD01_VD02,2006,Estimate; Total (dollars):,27239,45.28,23.1,0.08
North Carolina,HD01_VD02,2006,Estimate; Total (dollars):,25197,198.98,101.52,0.4
Alamance ,HD01_VD02,2006,Estimate; Total (dollars):,22974,1439.32,734.35,3.2
Brunswick ,HD01_VD02,2006,Estimate; Total (dollars):,23741,2767.83,1412.16,5.95
Buncombe ,HD01_VD02,2006,Estimate; Total (dollars):,24328,1747.91,891.79,3.67
Burke ,HD01_VD02,2006,Estimate; Total (dollars):,21776,1514.38,772.64,3.55
Cabarrus ,HD01_VD02,2006,Estimate; Total (dollars):,28592,2716.6,1386.02,4.85
Caldwell ,HD01_VD02,2006,Estimate; Total (dollars):,25089,2100.6,1071.73,4.27
Catawba ,HD01_VD02,2006,Estimate; Total (dollars):,23391,1604.94,818.85,3.5
Cleveland ,HD01_VD02,2006,Estimate; Total (dollars):,25934,1727.66,881.46,3.4
Craven ,HD01_VD02,2006,Estimate; Total (dollars):,22369,1484.6,757.45,3.39
Cumberland ,HD01_VD02,2006,Estimate; Total (dollars):,24914,1251.06,638.3,2.56
Davidson ,HD01_VD02,2006,Estimate; Total (dollars):,25286,1376.17,702.13,2.78
Durham ,HD01_VD02,2006,Estimate; Total (dollars):,27202,1371.4,699.69,2.57
Forsyth ,HD01_VD02,2006,Estimate; Total (dollars):,26074,1049.7,535.56,2.05
Gaston ,HD01_VD02,2006,Estimate; Total (dollars):,26476,1279.66,652.89,2.47
Guilford ,HD01_VD02,2006,Estimate; Total (dollars):,26426,826.89,421.88,1.6
Harnett ,HD01_VD02,2006,Estimate; Total (dollars):,22116,2000.51,1020.67,4.62
Henderson ,HD01_VD02,2006,Estimate; Total (dollars):,23071,2609.36,1331.31,5.77
Iredell ,HD01_VD02,2006,Estimate; Total (dollars):,25922,1347.57,687.54,2.65
Johnston ,HD01_VD02,2006,Estimate; Total (dollars):,27792,2142.3,1093.01,3.93
Lincoln ,HD01_VD02,2006,Estimate; Total (dollars):,24341,3259.91,1663.22,6.83
Mecklenburg ,HD01_VD02,2006,Estimate; Total (dollars):,29646,1030.64,525.84,1.77
Moore ,HD01_VD02,2006,Estimate; Total (dollars):,24068,3738.89,1907.6,7.93
Nash ,HD01_VD02,2006,Estimate; Total (dollars):,25421,2161.36,1102.73,4.34
New Hanover ,HD01_VD02,2006,Estimate; Total (dollars):,25255,1668.09,851.07,3.37
Onslow ,HD01_VD02,2006,Estimate; Total (dollars):,21048,922.21,470.52,2.24
Orange ,HD01_VD02,2006,Estimate; Total (dollars):,23960,1920.68,979.94,4.09
Pitt ,HD01_VD02,2006,Estimate; Total (dollars):,23696,2684.43,1369.61,5.78
