GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC01_EST_VC14,HC01_MOE_VC14,HC02_EST_VC14,HC02_MOE_VC14,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC01_EST_VC21,HC01_MOE_VC21,HC02_EST_VC21,HC02_MOE_VC21,HC01_EST_VC22,HC01_MOE_VC22,HC02_EST_VC22,HC02_MOE_VC22,HC01_EST_VC23,HC01_MOE_VC23,HC02_EST_VC23,HC02_MOE_VC23,HC01_EST_VC24,HC01_MOE_VC24,HC02_EST_VC24,HC02_MOE_VC24,HC01_EST_VC26,HC01_MOE_VC26,HC02_EST_VC26,HC02_MOE_VC26,HC01_EST_VC27,HC01_MOE_VC27,HC02_EST_VC27,HC02_MOE_VC27,HC01_EST_VC28,HC01_MOE_VC28,HC02_EST_VC28,HC02_MOE_VC28,HC01_EST_VC29,HC01_MOE_VC29,HC02_EST_VC29,HC02_MOE_VC29,HC01_EST_VC30,HC01_MOE_VC30,HC02_EST_VC30,HC02_MOE_VC30,HC01_EST_VC31,HC01_MOE_VC31,HC02_EST_VC31,HC02_MOE_VC31,HC01_EST_VC32,HC01_MOE_VC32,HC02_EST_VC32,HC02_MOE_VC32,HC01_EST_VC34,HC01_MOE_VC34,HC02_EST_VC34,HC02_MOE_VC34,HC01_EST_VC35,HC01_MOE_VC35,HC02_EST_VC35,HC02_MOE_VC35,HC01_EST_VC36,HC01_MOE_VC36,HC02_EST_VC36,HC02_MOE_VC36
Id,Id2,Geography,Total; Estimate; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households,Total; Margin of Error; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households,Median income (dollars); Estimate; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households,Total; Estimate; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - One race-- - White,Total; Margin of Error; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - One race-- - White,Median income (dollars); Estimate; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - One race-- - White,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - One race-- - White,Total; Estimate; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - One race-- - Black or African American,Total; Margin of Error; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - One race-- - Black or African American,Median income (dollars); Estimate; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - One race-- - Black or African American,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - One race-- - Black or African American,Total; Estimate; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - One race-- - American Indian and Alaska Native,Total; Margin of Error; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - One race-- - American Indian and Alaska Native,Median income (dollars); Estimate; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - One race-- - American Indian and Alaska Native,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - One race-- - American Indian and Alaska Native,Total; Estimate; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - One race-- - Asian,Total; Margin of Error; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - One race-- - Asian,Median income (dollars); Estimate; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - One race-- - Asian,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - One race-- - Asian,Total; Estimate; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - One race-- - Native Hawaiian and Other Pacific Islander,Total; Margin of Error; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - One race-- - Native Hawaiian and Other Pacific Islander,Median income (dollars); Estimate; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - One race-- - Native Hawaiian and Other Pacific Islander,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - One race-- - Native Hawaiian and Other Pacific Islander,Total; Estimate; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - One race-- - Some other race,Total; Margin of Error; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - One race-- - Some other race,Median income (dollars); Estimate; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - One race-- - Some other race,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - One race-- - Some other race,Total; Estimate; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - Two or more races,Total; Margin of Error; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - Two or more races,Median income (dollars); Estimate; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - Two or more races,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - Two or more races,Total; Estimate; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - Hispanic or Latino origin (of any race),Total; Margin of Error; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - Hispanic or Latino origin (of any race),Median income (dollars); Estimate; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - Hispanic or Latino origin (of any race),Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - Hispanic or Latino origin (of any race),"Total; Estimate; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - White alone, not Hispanic or Latino","Total; Margin of Error; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - White alone, not Hispanic or Latino","Median income (dollars); Estimate; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - White alone, not Hispanic or Latino","Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Households - White alone, not Hispanic or Latino",Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Total; Estimate; FAMILIES - Families,Total; Margin of Error; FAMILIES - Families,Median income (dollars); Estimate; FAMILIES - Families,Median income (dollars); Margin of Error; FAMILIES - Families,Total; Estimate; FAMILIES - Families - With own children under 18 years,Total; Margin of Error; FAMILIES - Families - With own children under 18 years,Median income (dollars); Estimate; FAMILIES - Families - With own children under 18 years,Median income (dollars); Margin of Error; FAMILIES - Families - With own children under 18 years,Total; Estimate; FAMILIES - Families - With no own children under 18 years,Total; Margin of Error; FAMILIES - Families - With no own children under 18 years,Median income (dollars); Estimate; FAMILIES - Families - With no own children under 18 years,Median income (dollars); Margin of Error; FAMILIES - Families - With no own children under 18 years,Total; Estimate; FAMILIES - Families - Married-couple families,Total; Margin of Error; FAMILIES - Families - Married-couple families,Median income (dollars); Estimate; FAMILIES - Families - Married-couple families,Median income (dollars); Margin of Error; FAMILIES - Families - Married-couple families,"Total; Estimate; FAMILIES - Families - Female householder, no husband present","Total; Margin of Error; FAMILIES - Families - Female householder, no husband present","Median income (dollars); Estimate; FAMILIES - Families - Female householder, no husband present","Median income (dollars); Margin of Error; FAMILIES - Families - Female householder, no husband present","Total; Estimate; FAMILIES - Families - Male householder, no wife present","Total; Margin of Error; FAMILIES - Families - Male householder, no wife present","Median income (dollars); Estimate; FAMILIES - Families - Male householder, no wife present","Median income (dollars); Margin of Error; FAMILIES - Families - Male householder, no wife present",Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Living alone,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Not living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Not living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Not living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Not living alone,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Living alone,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Not living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Not living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Not living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Not living alone,Total; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Median income (dollars); Estimate; PERCENT IMPUTED - Household income in the past 12 months,Median income (dollars); Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Total; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Median income (dollars); Estimate; PERCENT IMPUTED - Family income in the past 12 months,Median income (dollars); Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Total; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months,Median income (dollars); Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Median income (dollars); Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months
0100000US,,United States,111617402,145530,48451,82,77.9,0.1,51429,69,11.7,0.1,32372,155,0.7,0.1,33762,659,3.7,0.1,63642,652,0.1,0.1,49361,2389,4.6,0.1,38372,349,1.3,0.1,42213,443,10.8,0.1,38747,205,72.1,0.1,52375,73,4.8,0.1,25419,231,36.8,0.1,53141,159,38.0,0.1,59781,144,20.4,0.1,30200,104,74564066,148862,58526,100,46.9,0.1,56319,164,53.1,0.1,60242,116,74.5,0.1,69027,126,18.7,0.1,29022,153,6.9,0.1,41746,226,37053336,77513,29521,104,53.5,0.1,24496,97,46.0,0.1,21877,73,7.5,0.1,50258,386,46.5,0.1,35489,138,36.3,0.1,31245,109,10.2,0.1,55229,420,25.2,(X),(X),(X),25.7,(X),(X),(X),22.7,(X),(X),(X)
0400000US37,37,North Carolina,3454068,13312,42625,440,73.6,0.2,48179,532,20.5,0.2,29243,651,1.0,0.1,29785,3711,1.5,0.1,52670,6039,N,N,34385,13448,2.5,0.1,31898,1580,0.8,0.1,34106,2532,4.4,0.1,33187,1530,71.8,0.3,48624,555,5.4,0.2,22221,1027,37.5,0.3,47237,638,37.7,0.2,51428,559,19.4,0.1,27862,586,2310456,17812,52336,481,45.5,0.4,50299,820,54.5,0.4,54026,503,73.9,0.5,62524,540,19.7,0.4,25111,572,6.4,0.3,37176,1211,1143612,15215,25648,389,54.3,0.7,21912,455,47.9,0.7,20383,473,6.4,0.4,42861,2160,45.7,0.7,30438,588,36.0,0.8,26913,594,9.7,0.5,44297,1334,25.6,(X),(X),(X),26.5,(X),(X),(X),22.7,(X),(X),(X)
0500000US37001,37001,"Alamance County, North Carolina",56380,1605,40934,4224,72.2,1.9,46769,3518,20.1,1.6,22406,4546,N,N,N,N,N,N,N,N,N,N,-,**,N,N,35546,12344,N,N,N,N,N,N,35980,10965,71.2,1.8,46558,3540,6.7,1.6,20100,10989,37.4,2.3,44355,2666,36.1,1.9,48961,3753,19.9,1.2,27989,2772,38777,2113,47598,2581,43.9,4.1,42685,6338,56.1,4.1,51569,3507,69.8,3.9,55343,3828,23.4,3.2,20074,4229,6.8,2.2,45438,10581,17603,1901,21776,1746,58.8,6.7,19115,7213,51.4,7.0,16780,7304,7.5,2.7,37340,21972,41.2,6.7,22407,3372,30.5,6.5,21689,1332,10.6,4.5,59784,33624,21.0,(X),(X),(X),20.0,(X),(X),(X),22.2,(X),(X),(X)
0500000US37019,37019,"Brunswick County, North Carolina",39657,2341,46520,2283,83.4,1.7,47637,3687,9.4,2.4,24816,11057,N,N,48872,37279,N,N,-,**,N,N,-,**,N,N,48769,30484,N,N,40651,16195,N,N,48968,18641,82.9,1.7,47657,3673,3.1,2.1,27088,21739,33.0,3.7,47738,3295,36.8,3.1,54647,10189,27.0,1.7,34938,3768,27404,1879,52359,4304,N,N,48831,4733,N,N,57567,4939,N,N,56679,6199,N,N,41170,9206,N,N,46349,11783,12253,1718,27433,5926,48.5,6.4,22468,8152,44.7,7.2,18586,7843,3.8,3.2,81398,38006,51.5,6.4,36820,12692,38.1,9.2,28276,9811,13.4,7.4,45703,8978,34.2,(X),(X),(X),36.5,(X),(X),(X),29.0,(X),(X),(X)
0500000US37021,37021,"Buncombe County, North Carolina",92571,2048,41735,1498,89.3,0.8,43388,2157,7.6,0.6,22380,9272,N,N,N,N,N,N,N,N,N,N,-,**,N,N,36189,9488,N,N,N,N,N,N,26880,9846,87.2,0.8,43964,2201,4.0,1.0,28098,5128,34.5,1.6,43286,3391,38.7,1.5,49800,2860,22.8,1.1,30183,4076,57862,2667,51646,2801,42.3,2.8,50479,6508,57.7,2.8,52797,3827,79.0,2.7,58032,4141,14.9,2.2,31864,3799,6.1,1.6,38406,14304,34709,2543,26701,1791,61.0,3.1,25845,1604,50.9,3.4,23308,2408,10.1,2.7,45509,5683,39.0,3.1,29195,4085,29.6,3.5,25324,5455,9.5,2.5,45586,14936,22.9,(X),(X),(X),23.6,(X),(X),(X),21.2,(X),(X),(X)
0500000US37023,37023,"Burke County, North Carolina",33469,1375,37677,3015,91.6,1.7,37699,3156,N,N,41745,22044,N,N,N,N,N,N,55724,16722,N,N,-,**,N,N,27263,12528,N,N,N,N,N,N,26938,10355,91.2,1.7,37805,3137,4.5,1.5,25256,19740,34.0,2.7,33190,7298,38.5,3.0,51502,4849,23.0,1.9,24301,4475,23991,1811,45108,5248,N,N,47320,10793,N,N,44042,4298,N,N,55090,4322,N,N,24167,4502,N,N,26231,4003,9478,1265,19182,4678,58.0,6.8,15923,4745,52.1,7.0,13720,3926,5.9,3.7,37178,47618,42.0,6.8,22997,5810,36.0,7.4,19846,6258,6.0,3.1,31868,17398,18.8,(X),(X),(X),21.2,(X),(X),(X),12.7,(X),(X),(X)
0500000US37025,37025,"Cabarrus County, North Carolina",59998,1638,49562,2557,82.5,1.7,51923,3258,13.9,1.4,37874,8416,N,N,N,N,N,N,105857,94544,N,N,-,**,N,N,40762,11840,N,N,46278,32395,N,N,38438,7837,79.4,1.6,52600,3218,6.1,1.8,29778,5401,41.4,1.8,59102,5997,36.1,1.7,54742,3459,16.5,1.3,27380,4157,42482,2269,58734,3241,47.7,3.4,65936,8775,52.3,3.4,55149,3664,77.8,3.5,67842,4455,16.0,3.2,28876,7351,6.2,2.0,52744,24228,17516,1878,29243,2803,54.7,6.4,24912,5955,43.4,5.2,21433,2399,11.3,4.7,46590,9420,45.3,6.4,32759,6666,36.4,6.4,29493,5890,8.9,4.1,46716,50886,21.7,(X),(X),(X),21.4,(X),(X),(X),19.7,(X),(X),(X)
0500000US37027,37027,"Caldwell County, North Carolina",30487,1294,34052,2576,93.0,1.6,34409,3096,N,N,19377,17982,N,N,-,**,N,N,"2,500-",***,N,N,-,**,N,N,50451,35476,N,N,"2,500-",***,N,N,N,N,92.8,1.6,34489,3125,2.4,1.7,12108,29207,35.9,2.7,35892,7709,38.7,2.7,41451,7380,23.0,2.0,23217,3730,21606,1642,45189,5630,N,N,49657,4994,N,N,39254,4928,N,N,51723,4527,N,N,25976,4798,N,N,39102,28339,8881,1284,23254,2495,54.5,7.1,14248,5559,52.3,7.4,13418,4941,2.1,2.5,33913,25223,45.5,7.1,26953,4828,38.0,6.7,26681,5133,7.5,4.3,29211,11478,28.0,(X),(X),(X),26.1,(X),(X),(X),32.4,(X),(X),(X)
0500000US37035,37035,"Catawba County, North Carolina",57982,1597,42349,2332,86.3,1.3,44008,2620,7.5,0.8,21042,3445,N,N,23750,11933,N,N,35159,8113,N,N,-,**,N,N,46731,9802,N,N,18597,3844,N,N,42819,11573,84.6,1.3,44405,2705,5.1,1.4,19841,6888,34.7,2.1,50672,2799,38.0,2.1,48785,3849,22.2,1.3,26201,2785,40516,1865,48936,2829,42.9,3.3,45349,5107,57.1,3.3,50132,2837,72.1,3.2,56825,2883,18.8,2.6,27903,5990,9.1,2.2,36301,4945,17466,1826,25348,2955,56.9,5.3,21873,3839,51.3,5.2,21086,4016,5.5,2.2,46117,19627,43.1,5.3,30793,2796,34.9,5.1,27249,5958,8.3,3.5,40518,7949,21.2,(X),(X),(X),22.8,(X),(X),(X),16.8,(X),(X),(X)
