GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total (dollars):,Margin of Error; Total (dollars):,Estimate; Male -- - Total (dollars),Margin of Error; Male -- - Total (dollars),"Estimate; Male -- - Worked full-time, year-round in the past 12 months (dollars)","Margin of Error; Male -- - Worked full-time, year-round in the past 12 months (dollars)",Estimate; Male -- - Other (dollars),Margin of Error; Male -- - Other (dollars),Estimate; Female -- - Total (dollars),Margin of Error; Female -- - Total (dollars),"Estimate; Female -- - Worked full-time, year-round in the past 12 months (dollars)","Margin of Error; Female -- - Worked full-time, year-round in the past 12 months (dollars)",Estimate; Female -- - Other (dollars),Margin of Error; Female -- - Other (dollars)
0100000US,,United States,27239,38,32396,46,42210,51,11924,41,22097,38,32649,93,10336,32
0400000US37,37,North Carolina,25197,167,29826,378,37545,560,11091,279,20945,195,30600,222,9738,246
0500000US37001,37001,"Alamance County, North Carolina",22974,1208,28064,3157,35823,2574,11566,1780,17648,2452,27524,2528,7555,2091
0500000US37019,37019,"Brunswick County, North Carolina",23741,2323,26177,3451,39346,5616,13979,6177,19090,3984,33726,3389,8310,1221
0500000US37021,37021,"Buncombe County, North Carolina",24328,1467,27497,2148,36036,1967,10441,1471,20144,1706,30833,1311,10498,1252
0500000US37023,37023,"Burke County, North Carolina",21776,1271,24190,2353,30644,2184,7244,2030,19389,1714,28054,3984,9257,2386
0500000US37025,37025,"Cabarrus County, North Carolina",28592,2280,32088,2133,41027,1846,13136,1270,23293,1891,33199,2111,11757,1131
0500000US37027,37027,"Caldwell County, North Carolina",25089,1763,27038,1938,30947,1903,15901,5324,20426,2605,29866,3453,8775,2917
0500000US37035,37035,"Catawba County, North Carolina",23391,1347,26523,2461,33918,3542,11438,2112,21272,1355,28059,2467,11232,1311
0500000US37045,37045,"Cleveland County, North Carolina",25934,1450,29075,3306,34826,4212,10950,3223,22895,1964,30052,2245,10918,1845
0500000US37049,37049,"Craven County, North Carolina",22369,1246,28820,5011,38640,3937,10785,1741,19888,1886,25174,2157,8696,1351
0500000US37051,37051,"Cumberland County, North Carolina",24914,1050,31754,1075,37077,1381,11264,1850,18778,1074,27364,1671,8895,1491
0500000US37057,37057,"Davidson County, North Carolina",25286,1155,29365,2374,38473,3321,11654,2029,19864,1841,29371,1515,10129,1228
