GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total (dollars):,Margin of Error; Total (dollars):,Estimate; Male -- - Total (dollars),Margin of Error; Male -- - Total (dollars),"Estimate; Male -- - Worked full-time, year-round in the past 12 months (dollars)","Margin of Error; Male -- - Worked full-time, year-round in the past 12 months (dollars)",Estimate; Male -- - Other (dollars),Margin of Error; Male -- - Other (dollars),Estimate; Female -- - Total (dollars),Margin of Error; Female -- - Total (dollars),"Estimate; Female -- - Worked full-time, year-round in the past 12 months (dollars)","Margin of Error; Female -- - Worked full-time, year-round in the past 12 months (dollars)",Estimate; Female -- - Other (dollars),Margin of Error; Female -- - Other (dollars)
0100000US,,United States,29868,74,35304,63,45556,73,10971,45,24088,54,35471,58,9792,44
0400000US37,37,North Carolina,27046,206,31452,264,40875,297,10441,234,22626,331,32397,254,9104,195
0500000US37001,37001,"Alamance County, North Carolina",25619,1382,30351,2758,38628,3401,10561,1692,21375,1938,31168,1892,8084,1996
0500000US37019,37019,"Brunswick County, North Carolina",24963,3342,30110,4413,36246,7393,15648,3011,20328,3353,29212,1816,10952,2147
0500000US37021,37021,"Buncombe County, North Carolina",24861,1169,28337,2364,36191,2385,10858,957,21703,1010,31131,1187,9946,1184
0500000US37023,37023,"Burke County, North Carolina",22317,1977,25199,3339,30559,3109,8958,2529,21019,1540,28131,2383,7601,1831
0500000US37025,37025,"Cabarrus County, North Carolina",31479,1250,39429,2817,48933,3310,11579,2206,24591,2515,34795,2582,10025,1251
0500000US37027,37027,"Caldwell County, North Carolina",24582,1892,26671,2078,33914,3933,12577,4348,22078,1535,30216,2297,10130,2850
0500000US37035,37035,"Catawba County, North Carolina",26579,944,30319,1768,37510,3449,13948,2448,22989,1653,30568,1896,9805,1442
0500000US37045,37045,"Cleveland County, North Carolina",22648,2390,30635,2967,36694,3284,11777,3749,19341,2251,28303,3123,5948,1869
0500000US37049,37049,"Craven County, North Carolina",26125,2189,30804,1660,36721,5153,12419,3935,22269,2176,30559,1990,9684,2641
0500000US37051,37051,"Cumberland County, North Carolina",28486,1240,33165,2682,38493,3274,11542,2017,23518,1710,31203,1385,8246,2038
0500000US37057,37057,"Davidson County, North Carolina",29307,1954,32623,1485,36988,2044,10197,4424,21951,1969,31232,1369,10792,2204
0500000US37063,37063,"Durham County, North Carolina",30520,1999,31846,2382,45094,3494,10692,1464,27173,5592,40120,1614,7844,1523
0500000US37067,37067,"Forsyth County, North Carolina",28290,1390,34084,2579,45229,1952,9190,2659,24449,1493,32595,2306,9498,1317
0500000US37071,37071,"Gaston County, North Carolina",27750,1839,31866,1616,41547,2123,12108,2566,22350,1553,31809,2041,10633,1289
0500000US37081,37081,"Guilford County, North Carolina",27500,902,32114,1320,44050,3300,9254,1150,23992,1307,33218,1420,9666,1106
0500000US37085,37085,"Harnett County, North Carolina",26632,2099,32043,2010,37435,2935,7415,6198,20455,1775,29356,3039,7371,1212
0500000US37089,37089,"Henderson County, North Carolina",22473,3297,27953,4017,38748,4605,13815,2675,19058,3472,31471,2283,6771,1315
0500000US37097,37097,"Iredell County, North Carolina",28963,2992,36335,5374,46482,3736,11093,2138,21397,1412,32490,1999,9806,1201
0500000US37101,37101,"Johnston County, North Carolina",30746,1649,35217,2963,41524,1746,11080,1839,26483,2493,35327,2929,8950,2164
0500000US37109,37109,"Lincoln County, North Carolina",26280,1345,28994,3799,37424,8085,11647,1864,21912,2030,30415,2928,9481,2454
0500000US37119,37119,"Mecklenburg County, North Carolina",32974,1056,37357,1357,49351,2067,11837,772,28981,1635,38564,1887,11130,587
0500000US37125,37125,"Moore County, North Carolina",25381,2557,27942,3166,42868,2984,10656,5648,22274,2473,32213,2549,6997,1521
0500000US37127,37127,"Nash County, North Carolina",30564,1357,33702,3208,41554,1674,8879,2544,26969,3451,35047,4270,7342,1736
0500000US37129,37129,"New Hanover County, North Carolina",26588,1080,31240,1917,43615,5868,10358,1140,21849,1094,32474,2168,9470,1788
0500000US37133,37133,"Onslow County, North Carolina",24482,1767,26128,994,28012,1829,15153,2892,20136,2043,31052,2964,8168,1282
0500000US37135,37135,"Orange County, North Carolina",24578,2990,30804,2599,51650,4705,8087,2372,20863,1839,45819,5015,6277,1150
0500000US37147,37147,"Pitt County, North Carolina",22415,1753,23147,2382,40772,2024,8299,1057,21797,2292,32469,3015,7309,1410
0500000US37151,37151,"Randolph County, North Carolina",25971,1599,30476,2057,35297,1314,12369,4725,23305,1891,27855,1924,11645,2373
0500000US37155,37155,"Robeson County, North Carolina",21033,2599,23236,4498,29777,2116,7142,1665,19263,1709,25784,2741,8544,1584
0500000US37157,37157,"Rockingham County, North Carolina",24987,1305,27235,1573,36758,3008,10112,1989,21087,1522,30586,2135,8175,1194
0500000US37159,37159,"Rowan County, North Carolina",25563,1838,30740,1868,39478,2984,10871,1120,22345,1228,30156,1988,10442,1142
0500000US37171,37171,"Surry County, North Carolina",23580,2467,27354,4455,34468,4592,9697,2721,20212,3816,30150,2353,8433,1513
0500000US37179,37179,"Union County, North Carolina",30780,1016,40274,3317,48414,2266,11635,1778,21922,1371,32875,2667,7682,2171
0500000US37183,37183,"Wake County, North Carolina",34535,1257,40595,1052,52758,2356,10077,971,29646,1455,40798,1377,10335,663
0500000US37191,37191,"Wayne County, North Carolina",24616,1563,30619,1451,36978,2478,8022,3524,18639,1509,27101,2111,7838,1519
0500000US37193,37193,"Wilkes County, North Carolina",21692,1006,25740,2364,29968,3414,12104,7069,19403,2084,26194,4452,8683,1887
0500000US37195,37195,"Wilson County, North Carolina",26415,2349,27901,3049,40378,3651,11212,4379,25402,3040,32252,2412,8867,3017
