subtype,cntyname,estimate,se,type,year,estimate_adj,se_adj,moe_adj,cv_adj
24,Durham,10.1010101010101,0.21200108073382362,AGEP,2008,11.5,0.19,0.37,1.65
24,Forsyth,10.27077497665733,0.29350750566769607,AGEP,2008,11.7,0.26,0.51,2.22
24,Guilford,9.871534820824882,0.21600082718423974,AGEP,2008,11.24,0.19,0.37,1.69
44,Durham,16.96078431372549,0.38578862878017994,AGEP,2008,19.32,0.34,0.67,1.76
44,Forsyth,15.686274509803921,0.2450447149792303,AGEP,2008,17.86,0.22,0.43,1.23
44,Guilford,15.686274509803921,0.7231627600728809,AGEP,2008,17.86,0.64,1.25,3.58
64,Durham,22.408963585434172,1.0174074330876777,AGEP,2008,25.52,0.89,1.74,3.49
64,Forsyth,19.607843137254903,0.29348574144909656,AGEP,2008,22.33,0.26,0.51,1.16
64,Guilford,18.78787878787879,0.1347679817769669,AGEP,2008,21.4,0.12,0.24,0.56
1,Durham,17.429193899782135,0.37197093612261517,SEX,2008,19.85,0.33,0.65,1.66
1,Forsyth,18.30065359477124,0.5191840402035524,SEX,2008,20.84,0.46,0.9,2.21
1,Guilford,17.825311942959,0.342384046937689,SEX,2008,20.3,0.3,0.59,1.48
2,Durham,18.12807881773399,0.19581076721674803,SEX,2008,20.64,0.17,0.33,0.82
2,Forsyth,15.126050420168067,0.35299479018841656,SEX,2008,17.23,0.31,0.61,1.8
2,Guilford,14.705882352941176,0.1738164194649128,SEX,2008,16.75,0.15,0.29,0.9
1,Durham,22.54901960784314,0.8652190611145694,RAC1P,2008,25.68,0.76,1.49,2.96
1,Forsyth,19.172932330827066,0.6045041829241725,RAC1P,2008,21.83,0.53,1.04,2.43
1,Guilford,19.41176470588235,0.19542388487711723,RAC1P,2008,22.11,0.17,0.33,0.77
2,Durham,15.196078431372548,0.3194041841658417,RAC1P,2008,17.31,0.28,0.55,1.62
2,Forsyth,13.72549019607843,1.0297035153297103,RAC1P,2008,15.63,0.9,1.76,5.76
2,Guilford,13.235294117647058,0.12183321085361379,RAC1P,2008,15.07,0.11,0.22,0.73
3,Durham,10,0.13229954693505655,RAC1P,2008,11.39,0.12,0.24,1.05
3,Forsyth,9.803921568627452,0.41712432824739704,RAC1P,2008,11.17,0.37,0.73,3.31
3,Guilford,11.764705882352942,0.626679833673276,RAC1P,2008,13.4,0.55,1.08,4.1
4,Durham,18.2183908045977,0.9249113637721058,RAC1P,2008,20.75,0.81,1.59,3.9
4,Forsyth,15.686274509803921,1.7835766016900765,RAC1P,2008,17.86,1.57,3.08,8.79
4,Guilford,13.071895424836601,6.573557620027167,RAC1P,2008,14.89,5.77,11.31,38.75
100,Durham,17.647058823529413,0.1569908909444388,total,2008,20.1,0.14,0.27,0.7
100,Forsyth,16.58141517476556,0.18263221641351116,total,2008,18.88,0.16,0.31,0.85
100,Guilford,16.274509803921568,0.24067332203038033,total,2008,18.53,0.21,0.41,1.13
24,Durham,10,1.051672934158377,AGEP,2009,11.42,0.92,1.8,8.06
24,Forsyth,8.095238095238095,0.15350507477431455,AGEP,2009,9.25,0.13,0.25,1.41
24,Guilford,9.411764705882353,0.48970262536508136,AGEP,2009,10.75,0.43,0.84,4
44,Durham,17.647058823529413,0.571289155616232,AGEP,2009,20.16,0.5,0.98,2.48
44,Forsyth,15.151515151515152,0.1890876802037473,AGEP,2009,17.31,0.17,0.33,0.98
44,Guilford,15.238095238095237,0.2941230139689799,AGEP,2009,17.41,0.26,0.51,1.49
64,Durham,20.392156862745097,0.9118198862627381,AGEP,2009,23.3,0.8,1.57,3.43
64,Forsyth,19.607843137254903,0.16270124607577252,AGEP,2009,22.4,0.14,0.27,0.63
64,Guilford,19.754901960784313,0.8280935816156287,AGEP,2009,22.57,0.72,1.41,3.19
1,Durham,18.627450980392158,0.497213092676651,SEX,2009,21.28,0.44,0.86,2.07
1,Forsyth,17.15686274509804,0.1641800725222595,SEX,2009,19.6,0.14,0.27,0.71
1,Guilford,17.647058823529413,0.6755237282168309,SEX,2009,20.16,0.59,1.16,2.93
2,Durham,17.488076311605724,0.26900697119140127,SEX,2009,19.98,0.24,0.47,1.2
2,Forsyth,14.901960784313726,0.0988231286299327,SEX,2009,17.03,0.09,0.18,0.53
2,Guilford,15.032679738562091,0.3124773076656737,SEX,2009,17.17,0.27,0.53,1.57
1,Durham,22.058823529411764,0.5790659910325353,RAC1P,2009,25.2,0.51,1,2.02
1,Forsyth,17.892156862745097,0.26278287264141825,RAC1P,2009,20.44,0.23,0.45,1.13
1,Guilford,18.901960784313726,0.5542733672418437,RAC1P,2009,21.6,0.49,0.96,2.27
2,Durham,14.705882352941176,0.26774371269006103,RAC1P,2009,16.8,0.23,0.45,1.37
2,Forsyth,14.705882352941176,0.630671345924761,RAC1P,2009,16.8,0.55,1.08,3.27
2,Guilford,14.260249554367201,0.44838816881936244,RAC1P,2009,16.29,0.39,0.76,2.39
3,Durham,10.784313725490197,0.6163868114929204,RAC1P,2009,12.32,0.54,1.06,4.38
3,Forsyth,9.803921568627452,0.33081894250074856,RAC1P,2009,11.2,0.29,0.57,2.59
3,Guilford,11.11111111111111,0.908873901139653,RAC1P,2009,12.69,0.8,1.57,6.3
4,Durham,16.55773420479303,4.731512880621252,RAC1P,2009,18.92,4.14,8.11,21.88
4,Forsyth,22.058823529411764,14.754392455294543,RAC1P,2009,25.2,12.91,25.3,51.23
4,Guilford,12.254901960784315,1.1458531874697708,RAC1P,2009,14,1,1.96,7.14
100,Durham,17.857142857142858,0.2150807893482084,total,2009,20.4,0.19,0.37,0.93
100,Forsyth,16.33986928104575,0.11944234152955835,total,2009,18.67,0.1,0.2,0.54
100,Guilford,16.091954022988507,0.2547165578596215,total,2009,18.38,0.22,0.43,1.2
24,Durham,9.803921568627452,1.5325195436602983,AGEP,2010,11.02,1.36,2.67,12.34
24,Forsyth,9.803921568627452,1.0744550840711795,AGEP,2010,11.02,0.96,1.88,8.71
24,Guilford,9.803921568627452,0.15653684963740377,AGEP,2010,11.02,0.14,0.27,1.27
44,Durham,16.964285714285715,0.4743445997104478,AGEP,2010,19.07,0.42,0.82,2.2
44,Forsyth,15.151515151515152,0.3639497436563755,AGEP,2010,17.03,0.32,0.63,1.88
44,Guilford,15.686274509803921,0.33944906126227287,AGEP,2010,17.63,0.3,0.59,1.7
64,Durham,22.257551669316374,1.1954971760518578,AGEP,2010,25.02,1.06,2.08,4.24
64,Forsyth,19.607843137254903,0.7632189227798637,AGEP,2010,22.04,0.68,1.33,3.09
64,Guilford,17.857142857142858,0.3207229556769827,AGEP,2010,20.07,0.29,0.57,1.44
1,Durham,18.627450980392158,0.6866918111980225,SEX,2010,20.94,0.61,1.2,2.91
1,Forsyth,16.07843137254902,0.5645245985817017,SEX,2010,18.07,0.5,0.98,2.77
1,Guilford,16.666666666666668,0.5662216263142655,SEX,2010,18.73,0.5,0.98,2.67
2,Durham,17.647058823529413,0.3890162710870418,SEX,2010,19.84,0.35,0.69,1.76
2,Forsyth,16.176470588235293,0.38189406469357334,SEX,2010,18.18,0.34,0.67,1.87
2,Guilford,15.343137254901961,0.19239673629823684,SEX,2010,17.25,0.17,0.33,0.99
1,Durham,21.568627450980394,0.533944785711949,RAC1P,2010,24.25,0.47,0.92,1.94
1,Forsyth,18.538324420677363,0.650142068691988,RAC1P,2010,20.84,0.58,1.14,2.78
1,Guilford,17.87878787878788,0.5015296988859067,RAC1P,2010,20.1,0.45,0.88,2.24
