subtype,geo_area,estimate,se,type,year,estimate_adj,se_adj,moe_adj,cv_adj
24,North Carolina,10,0.20448456879698504,AGEP,2008,11.39,0.18,0.35,1.58
44,North Carolina,16.176470588235293,0.35932358304687484,AGEP,2008,18.42,0.32,0.63,1.74
64,North Carolina,19.607843137254903,0.36839670695432114,AGEP,2008,22.33,0.32,0.63,1.43
1,North Carolina,17.825311942959,0.361382427107242,SEX,2008,20.3,0.32,0.63,1.58
2,North Carolina,16.042780748663102,0.3187755497996491,SEX,2008,18.27,0.28,0.55,1.53
1,North Carolina,19.934640522875817,0.5965602520368255,RAC1P,2008,22.7,0.52,1.02,2.29
2,North Carolina,13.72549019607843,0.5588060048745952,RAC1P,2008,15.63,0.49,0.96,3.13
3,North Carolina,10.15551048005409,0.2810982606981755,RAC1P,2008,11.57,0.25,0.49,2.16
4,North Carolina,16.519607843137255,1.5324827681354607,RAC1P,2008,18.81,1.35,2.65,7.18
100,North Carolina,17.15686274509804,0.23221456214523903,total,2008,19.54,0.2,0.39,1.02
24,"Durham County, NC",10.1010101010101,0.46043575092929484,AGEP,2008,11.5,0.4,0.78,3.48
24,"Forsyth County, NC",10.27077497665733,0.5417633299400173,AGEP,2008,11.7,0.48,0.94,4.1
24,"Guilford County, NC",9.871534820824882,0.46475889145258936,AGEP,2008,11.24,0.41,0.8,3.65
44,"Durham County, NC",16.96078431372549,0.621118852378657,AGEP,2008,19.32,0.55,1.08,2.85
44,"Forsyth County, NC",15.686274509803921,0.4950199137198728,AGEP,2008,17.86,0.43,0.84,2.41
44,"Guilford County, NC",15.686274509803921,0.8503897695015392,AGEP,2008,17.86,0.75,1.47,4.2
64,"Durham County, NC",22.408963585434172,1.0086661653330489,AGEP,2008,25.52,0.89,1.74,3.49
64,"Forsyth County, NC",19.607843137254903,0.5417432431042372,AGEP,2008,22.33,0.48,0.94,2.15
64,"Guilford County, NC",18.78787878787879,0.3671075888305319,AGEP,2008,21.4,0.32,0.63,1.5
1,"Durham County, NC",17.429193899782135,0.6098942007615872,SEX,2008,19.85,0.54,1.06,2.72
1,"Forsyth County, NC",18.30065359477124,0.720544266650948,SEX,2008,20.84,0.63,1.23,3.02
1,"Guilford County, NC",17.825311942959,0.5851359217632165,SEX,2008,20.3,0.51,1,2.51
2,"Durham County, NC",18.12807881773399,0.4425051041702774,SEX,2008,20.64,0.39,0.76,1.89
2,"Forsyth County, NC",15.126050420168067,0.5941336467398699,SEX,2008,17.23,0.52,1.02,3.02
2,"Guilford County, NC",14.705882352941176,0.4169129638964382,SEX,2008,16.75,0.37,0.73,2.21
1,"Durham County, NC",22.54901960784314,0.9301715224164677,RAC1P,2008,25.68,0.82,1.61,3.19
1,"Forsyth County, NC",19.172932330827066,0.7774986706896498,RAC1P,2008,21.83,0.68,1.33,3.11
1,"Guilford County, NC",19.41176470588235,0.44206773788314074,RAC1P,2008,22.11,0.39,0.76,1.76
2,"Durham County, NC",15.196078431372548,0.5651585478127724,RAC1P,2008,17.31,0.5,0.98,2.89
2,"Forsyth County, NC",13.72549019607843,1.0147430784832732,RAC1P,2008,15.63,0.89,1.74,5.69
2,"Guilford County, NC",13.235294117647058,0.3490461443041791,RAC1P,2008,15.07,0.31,0.61,2.06
3,"Durham County, NC",10,0.36373004678615234,RAC1P,2008,11.39,0.32,0.63,2.81
3,"Forsyth County, NC",9.803921568627452,0.6458516302119218,RAC1P,2008,11.17,0.57,1.12,5.1
3,"Guilford County, NC",11.764705882352942,0.7916311222237766,RAC1P,2008,13.4,0.7,1.37,5.22
4,"Durham County, NC",18.2183908045977,0.9617231221989548,RAC1P,2008,20.75,0.84,1.65,4.05
4,"Forsyth County, NC",15.686274509803921,1.3355061219216018,RAC1P,2008,17.86,1.17,2.29,6.55
4,"Guilford County, NC",13.071895424836601,2.563895009556196,RAC1P,2008,14.89,2.25,4.41,15.11
100,"Durham County, NC",17.647058823529413,0.3962207603652777,total,2008,20.1,0.35,0.69,1.74
100,"Forsyth County, NC",16.58141517476556,0.42735490685554456,total,2008,18.88,0.38,0.74,2.01
100,"Guilford County, NC",16.274509803921568,0.49058467366029723,total,2008,18.53,0.43,0.84,2.32
24,North Carolina,9.172864548118097,0.4972211386496668,AGEP,2009,10.48,0.44,0.86,4.2
44,North Carolina,16.176470588235293,0.3150181689823711,AGEP,2009,18.48,0.28,0.55,1.52
64,North Carolina,19.607843137254903,0.6321161909339836,AGEP,2009,22.4,0.55,1.08,2.46
1,North Carolina,17.84313725490196,0.4289228021793373,SEX,2009,20.39,0.38,0.74,1.86
2,North Carolina,15.686274509803921,0.25798450770068965,SEX,2009,17.92,0.23,0.45,1.28
1,North Carolina,19.607843137254903,0,RAC1P,2009,22.4,0,0,0
2,North Carolina,14.705882352941176,0.16831647213818696,RAC1P,2009,16.8,0.15,0.29,0.89
3,North Carolina,10.477941176470589,0.6246667942245897,RAC1P,2009,11.97,0.55,1.08,4.59
4,North Carolina,14.705882352941176,1.244860530043594,RAC1P,2009,16.8,1.09,2.14,6.49
100,North Carolina,16.850490196078432,0.29736110648516484,total,2009,19.25,0.26,0.51,1.35
24,"Durham County, NC",10,1.0255110599883246,AGEP,2009,11.42,0.9,1.76,7.88
24,"Forsyth County, NC",8.095238095238095,0.39179723681301604,AGEP,2009,9.25,0.34,0.67,3.68
24,"Guilford County, NC",9.411764705882353,0.6997875573094176,AGEP,2009,10.75,0.61,1.2,5.67
44,"Durham County, NC",17.647058823529413,0.7558367255011045,AGEP,2009,20.16,0.66,1.29,3.27
44,"Forsyth County, NC",15.151515151515152,0.4348421325075887,AGEP,2009,17.31,0.38,0.74,2.2
44,"Guilford County, NC",15.238095238095237,0.5423310925707467,AGEP,2009,17.41,0.47,0.92,2.7
64,"Durham County, NC",20.392156862745097,0.954892604570136,AGEP,2009,23.3,0.84,1.65,3.61
64,"Forsyth County, NC",19.607843137254903,0.40336242521555293,AGEP,2009,22.4,0.35,0.69,1.56
64,"Guilford County, NC",19.754901960784313,0.9099964734083472,AGEP,2009,22.57,0.8,1.57,3.54
1,"Durham County, NC",18.627450980392158,0.7051333864430551,SEX,2009,21.28,0.62,1.22,2.91
1,"Forsyth County, NC",17.15686274509804,0.40519140233013273,SEX,2009,19.6,0.35,0.69,1.79
1,"Guilford County, NC",17.647058823529413,0.8219025052990354,SEX,2009,20.16,0.72,1.41,3.57
2,"Durham County, NC",17.488076311605724,0.5186588196410057,SEX,2009,19.98,0.45,0.88,2.25
2,"Forsyth County, NC",14.901960784313726,0.3143614617441723,SEX,2009,17.03,0.28,0.55,1.64
2,"Guilford County, NC",15.032679738562091,0.5589966973656229,SEX,2009,17.17,0.49,0.96,2.85
1,"Durham County, NC",22.058823529411764,0.7609638565875092,RAC1P,2009,25.2,0.67,1.31,2.66
1,"Forsyth County, NC",17.892156862745097,0.5126235193993914,RAC1P,2009,20.44,0.45,0.88,2.2
1,"Guilford County, NC",18.901960784313726,0.7444953775825903,RAC1P,2009,21.6,0.65,1.27,3.01
