subtype,geo_description,type,year,estimate,se,moe,cv
16 to 21,North Carolina,Age,2008,9.35,0.77,1.51,8.24
22 to 29,North Carolina,Age,2008,14.24,0.34,0.67,2.39
30 to 44,North Carolina,Age,2008,19.99,0.36,0.71,1.8
45 to 64,North Carolina,Age,2008,22.33,0.32,0.63,1.43
Male,North Carolina,Gender,2008,20.3,0.32,0.63,1.58
Female,North Carolina,Gender,2008,18.31,0.28,0.55,1.53
"White, non-Hispanic",North Carolina,Race / Ethnicity,2008,22.78,0.53,1.04,2.33
African American,North Carolina,Race / Ethnicity,2008,15.63,0.49,0.96,3.13
Hispanic / Latino,North Carolina,Race / Ethnicity,2008,11.63,0.28,0.55,2.41
Total,North Carolina,Comparison Community,2008,19.54,0.2,0.39,1.02
16 to 21,"Durham County, NC",Age,2008,9.3,1.29,2.53,13.87
16 to 21,"Forsyth County, NC",Age,2008,8.68,0.92,1.8,10.6
16 to 21,"Guilford County, NC",Age,2008,10.58,1.55,3.04,14.65
22 to 29,"Durham County, NC",Age,2008,15.07,0.85,1.67,5.64
22 to 29,"Forsyth County, NC",Age,2008,14.09,0.41,0.8,2.91
22 to 29,"Guilford County, NC",Age,2008,13.81,0.45,0.88,3.26
30 to 44,"Durham County, NC",Age,2008,20.74,0.57,1.12,2.75
30 to 44,"Forsyth County, NC",Age,2008,18.88,0.61,1.2,3.23
30 to 44,"Guilford County, NC",Age,2008,19.54,0.63,1.23,3.22
45 to 64,"Durham County, NC",Age,2008,25.52,0.89,1.74,3.49
45 to 64,"Forsyth County, NC",Age,2008,22.33,0.48,0.94,2.15
45 to 64,"Guilford County, NC",Age,2008,21.4,0.32,0.63,1.5
Male,"Durham County, NC",Gender,2008,19.85,0.54,1.06,2.72
Male,"Forsyth County, NC",Gender,2008,20.84,0.63,1.23,3.02
Male,"Guilford County, NC",Gender,2008,20.3,0.51,1,2.51
Female,"Durham County, NC",Gender,2008,20.66,0.38,0.74,1.84
Female,"Forsyth County, NC",Gender,2008,17.23,0.52,1.02,3.02
Female,"Guilford County, NC",Gender,2008,16.75,0.37,0.73,2.21
"White, non-Hispanic","Durham County, NC",Race / Ethnicity,2008,25.68,0.81,1.59,3.15
"White, non-Hispanic","Forsyth County, NC",Race / Ethnicity,2008,21.83,0.68,1.33,3.11
"White, non-Hispanic","Guilford County, NC",Race / Ethnicity,2008,22.11,0.39,0.76,1.76
African American,"Durham County, NC",Race / Ethnicity,2008,17.31,0.5,0.98,2.89
African American,"Forsyth County, NC",Race / Ethnicity,2008,15.63,0.89,1.74,5.69
African American,"Guilford County, NC",Race / Ethnicity,2008,15.07,0.31,0.61,2.06
Hispanic / Latino,"Durham County, NC",Race / Ethnicity,2008,11.39,0.32,0.63,2.81
Hispanic / Latino,"Forsyth County, NC",Race / Ethnicity,2008,11.17,0.57,1.12,5.1
Hispanic / Latino,"Guilford County, NC",Race / Ethnicity,2008,13.4,0.7,1.37,5.22
Total,"Durham County, NC",Comparison Community,2008,20.13,0.34,0.67,1.69
Total,"Forsyth County, NC",Comparison Community,2008,18.88,0.38,0.74,2.01
Total,"Guilford County, NC",Comparison Community,2008,18.53,0.43,0.84,2.32
16 to 21,North Carolina,Age,2009,9.71,0.35,0.69,3.6
22 to 29,North Carolina,Age,2009,13.67,0.33,0.65,2.41
30 to 44,North Carolina,Age,2009,20.16,0.23,0.45,1.14
45 to 64,North Carolina,Age,2009,22.4,0.55,1.08,2.46
Male,North Carolina,Gender,2009,20.39,0.37,0.73,1.81
Female,North Carolina,Gender,2009,17.92,0.22,0.43,1.23
"White, non-Hispanic",North Carolina,Race / Ethnicity,2009,22.4,0,0,0
African American,North Carolina,Race / Ethnicity,2009,16.8,0.15,0.29,0.89
Hispanic / Latino,North Carolina,Race / Ethnicity,2009,12.12,0.58,1.14,4.79
Total,North Carolina,Comparison Community,2009,19.23,0.27,0.53,1.4
16 to 21,"Durham County, NC",Age,2009,10.75,0.96,1.88,8.93
16 to 21,"Forsyth County, NC",Age,2009,8.57,0.5,0.98,5.83
16 to 21,"Guilford County, NC",Age,2009,9.76,0.39,0.76,4
22 to 29,"Durham County, NC",Age,2009,14,0.41,0.8,2.93
22 to 29,"Forsyth County, NC",Age,2009,11.79,0.77,1.51,6.53
22 to 29,"Guilford County, NC",Age,2009,13.85,0.53,1.04,3.83
30 to 44,"Durham County, NC",Age,2009,22.4,0.46,0.9,2.05
30 to 44,"Forsyth County, NC",Age,2009,18.72,0.48,0.94,2.56
30 to 44,"Guilford County, NC",Age,2009,19.04,0.46,0.9,2.42
45 to 64,"Durham County, NC",Age,2009,23.3,0.84,1.65,3.61
45 to 64,"Forsyth County, NC",Age,2009,22.4,0.35,0.69,1.56
