geo_description,label,year,description,estimate,moe,se,cv
United States,HD01_VD01,2006,Estimate; Total:,291531091,30340.09,15479.64,0.01
North Carolina,HD01_VD01,2006,Estimate; Total:,8591303,5004.26,2553.19,0.03
Alamance ,HD01_VD01,2006,Estimate; Total:,138577,481.36,245.59,0.18
Brunswick ,HD01_VD01,2006,Estimate; Total:,94457,557.62,284.5,0.3
Buncombe ,HD01_VD01,2006,Estimate; Total:,216263,478.98,244.38,0.11
Burke ,HD01_VD01,2006,Estimate; Total:,88575,478.98,244.38,0.28
Cabarrus ,HD01_VD01,2006,Estimate; Total:,154476,326.47,166.57,0.11
Caldwell ,HD01_VD01,2006,Estimate; Total:,77688,319.32,162.92,0.21
Catawba ,HD01_VD01,2006,Estimate; Total:,151224,624.34,318.54,0.21
Cleveland ,HD01_VD01,2006,Estimate; Total:,95078,1403.57,716.11,0.75
Craven ,HD01_VD01,2006,Estimate; Total:,89298,588.6,300.31,0.34
Cumberland ,HD01_VD01,2006,Estimate; Total:,279626,2014.81,1027.96,0.37
Davidson ,HD01_VD01,2006,Estimate; Total:,153615,1023.49,522.19,0.34
Durham ,HD01_VD01,2006,Estimate; Total:,237625,736.34,375.68,0.16
Forsyth ,HD01_VD01,2006,Estimate; Total:,323099,775.66,395.74,0.12
Gaston ,HD01_VD01,2006,Estimate; Total:,195478,812.6,414.59,0.21
Guilford ,HD01_VD01,2006,Estimate; Total:,436209,1563.23,797.57,0.18
Harnett ,HD01_VD01,2006,Estimate; Total:,102808,861.45,439.52,0.43
Henderson ,HD01_VD01,2006,Estimate; Total:,96391,635.06,324.01,0.34
Iredell ,HD01_VD01,2006,Estimate; Total:,145212,611.23,311.85,0.21
Johnston ,HD01_VD01,2006,Estimate; Total:,149951,562.38,286.93,0.19
Lincoln ,HD01_VD01,2006,Estimate; Total:,70896,246.64,125.84,0.18
Mecklenburg ,HD01_VD01,2006,Estimate; Total:,811012,1498.89,764.74,0.09
Moore ,HD01_VD01,2006,Estimate; Total:,81876,462.3,235.87,0.29
Nash ,HD01_VD01,2006,Estimate; Total:,90038,828.09,422.49,0.47
New Hanover ,HD01_VD01,2006,Estimate; Total:,178031,256.17,130.7,0.07
Onslow ,HD01_VD01,2006,Estimate; Total:,128043,1178.38,601.21,0.47
Orange ,HD01_VD01,2006,Estimate; Total:,112016,544.51,277.81,0.25
Pitt ,HD01_VD01,2006,Estimate; Total:,139566,407.49,207.9,0.15
Randolph ,HD01_VD01,2006,Estimate; Total:,139531,521.87,266.26,0.19
Robeson ,HD01_VD01,2006,Estimate; Total:,125946,570.72,291.18,0.23
Rockingham ,HD01_VD01,2006,Estimate; Total:,91261,249.02,127.05,0.14
Rowan ,HD01_VD01,2006,Estimate; Total:,131981,555.23,283.28,0.21
Surry ,HD01_VD01,2006,Estimate; Total:,72088,299.06,152.58,0.21
Union ,HD01_VD01,2006,Estimate; Total:,172556,768.51,392.1,0.23
Wake ,HD01_VD01,2006,Estimate; Total:,762453,704.17,359.27,0.05
Wayne ,HD01_VD01,2006,Estimate; Total:,109563,396.77,202.43,0.18
Wilkes ,HD01_VD01,2006,Estimate; Total:,66909,357.45,182.37,0.27
Wilson ,HD01_VD01,2006,Estimate; Total:,74844,341.96,174.47,0.23
United States,HD01_VD02,2006,Estimate; Income in the past 12 months below poverty level:,38757253,264794.21,135099.09,0.35
North Carolina,HD01_VD02,2006,Estimate; Income in the past 12 months below poverty level:,1261078,33977.7,17335.56,1.37
Alamance ,HD01_VD02,2006,Estimate; Income in the past 12 months below poverty level:,27811,5477.28,2794.53,10.05
Brunswick ,HD01_VD02,2006,Estimate; Income in the past 12 months below poverty level:,9338,3337.36,1702.73,18.23
Buncombe ,HD01_VD02,2006,Estimate; Income in the past 12 months below poverty level:,25718,4782.64,2440.12,9.49
Burke ,HD01_VD02,2006,Estimate; Income in the past 12 months below poverty level:,15591,3124.09,1593.92,10.22
Cabarrus ,HD01_VD02,2006,Estimate; Income in the past 12 months below poverty level:,16315,3461.28,1765.96,10.82
Caldwell ,HD01_VD02,2006,Estimate; Income in the past 12 months below poverty level:,11558,3945.02,2012.77,17.41
Catawba ,HD01_VD02,2006,Estimate; Income in the past 12 months below poverty level:,16242,4265.53,2176.29,13.4
Cleveland ,HD01_VD02,2006,Estimate; Income in the past 12 months below poverty level:,17310,5485.62,2798.79,16.17
Craven ,HD01_VD02,2006,Estimate; Income in the past 12 months below poverty level:,11533,3592.34,1832.83,15.89
Cumberland ,HD01_VD02,2006,Estimate; Income in the past 12 months below poverty level:,52578,7494.47,3823.71,7.27
Davidson ,HD01_VD02,2006,Estimate; Income in the past 12 months below poverty level:,14783,3450.55,1760.48,11.91
Durham ,HD01_VD02,2006,Estimate; Income in the past 12 months below poverty level:,37170,5447.49,2779.33,7.48
Forsyth ,HD01_VD02,2006,Estimate; Income in the past 12 months below poverty level:,43331,6280.34,3204.26,7.39
Gaston ,HD01_VD02,2006,Estimate; Income in the past 12 months below poverty level:,29309,7245.45,3696.66,12.61
Guilford ,HD01_VD02,2006,Estimate; Income in the past 12 months below poverty level:,64687,6616.34,3375.68,5.22
Harnett ,HD01_VD02,2006,Estimate; Income in the past 12 months below poverty level:,17468,3909.28,1994.53,11.42
Henderson ,HD01_VD02,2006,Estimate; Income in the past 12 months below poverty level:,11169,3819.91,1948.93,17.45
Iredell ,HD01_VD02,2006,Estimate; Income in the past 12 months below poverty level:,17402,4353.7,2221.28,12.76
Johnston ,HD01_VD02,2006,Estimate; Income in the past 12 months below poverty level:,20689,4649.19,2372.04,11.47
Lincoln ,HD01_VD02,2006,Estimate; Income in the past 12 months below poverty level:,9828,3096.68,1579.94,16.08
Mecklenburg ,HD01_VD02,2006,Estimate; Income in the past 12 months below poverty level:,91504,8476.26,4324.62,4.73
Moore ,HD01_VD02,2006,Estimate; Income in the past 12 months below poverty level:,10986,3268.26,1667.48,15.18
Nash ,HD01_VD02,2006,Estimate; Income in the past 12 months below poverty level:,12144,2962.04,1511.24,12.44
New Hanover ,HD01_VD02,2006,Estimate; Income in the past 12 months below poverty level:,24481,4241.7,2164.13,8.84
Onslow ,HD01_VD02,2006,Estimate; Income in the past 12 months below poverty level:,18875,4049.87,2066.26,10.95
Orange ,HD01_VD02,2006,Estimate; Income in the past 12 months below poverty level:,15624,3063.32,1562.92,10
Pitt ,HD01_VD02,2006,Estimate; Income in the past 12 months below poverty level:,30413,4708.77,2402.43,7.9
Randolph ,HD01_VD02,2006,Estimate; Income in the past 12 months below poverty level:,21059,4813.62,2455.93,11.66
Robeson ,HD01_VD02,2006,Estimate; Income in the past 12 months below poverty level:,37136,6333.96,3231.61,8.7
Rockingham ,HD01_VD02,2006,Estimate; Income in the past 12 months below poverty level:,14641,3728.17,1902.13,12.99
Rowan ,HD01_VD02,2006,Estimate; Income in the past 12 months below poverty level:,18570,3819.91,1948.93,10.5
Surry ,HD01_VD02,2006,Estimate; Income in the past 12 months below poverty level:,13729,3833.02,1955.62,14.24
Union ,HD01_VD02,2006,Estimate; Income in the past 12 months below poverty level:,13758,3793.7,1935.56,14.07
Wake ,HD01_VD02,2006,Estimate; Income in the past 12 months below poverty level:,69224,8041.36,4102.73,5.93
Wayne ,HD01_VD02,2006,Estimate; Income in the past 12 months below poverty level:,18192,3500.6,1786.02,9.82
Wilkes ,HD01_VD02,2006,Estimate; Income in the past 12 months below poverty level:,11682,3523.23,1797.57,15.39
Wilson ,HD01_VD02,2006,Estimate; Income in the past 12 months below poverty level:,14485,3438.64,1754.41,12.11
United States,HD01_VD03,2006,Estimate; Income in the past 12 months below poverty level: - Male:,16963560,141749.11,72320.97,0.43
North Carolina,HD01_VD03,2006,Estimate; Income in the past 12 months below poverty level: - Male:,549179,19433.19,9914.89,1.81
Alamance ,HD01_VD03,2006,Estimate; Income in the past 12 months below poverty level: - Male:,11664,2900.09,1479.64,12.69
Brunswick ,HD01_VD03,2006,Estimate; Income in the past 12 months below poverty level: - Male:,4065,1632.34,832.83,20.49
Buncombe ,HD01_VD03,2006,Estimate; Income in the past 12 months below poverty level: - Male:,11290,2736.85,1396.35,12.37
Burke ,HD01_VD03,2006,Estimate; Income in the past 12 months below poverty level: - Male:,8249,2019.57,1030.39,12.49
Cabarrus ,HD01_VD03,2006,Estimate; Income in the past 12 months below poverty level: - Male:,6535,1676.43,855.32,13.09
Caldwell ,HD01_VD03,2006,Estimate; Income in the past 12 months below poverty level: - Male:,4677,1832.51,934.95,19.99
Catawba ,HD01_VD03,2006,Estimate; Income in the past 12 months below poverty level: - Male:,8294,2940.6,1500.31,18.09
Cleveland ,HD01_VD03,2006,Estimate; Income in the past 12 months below poverty level: - Male:,7544,2801.19,1429.18,18.94
Craven ,HD01_VD03,2006,Estimate; Income in the past 12 months below poverty level: - Male:,4133,1548.94,790.28,19.12
Cumberland ,HD01_VD03,2006,Estimate; Income in the past 12 months below poverty level: - Male:,20960,3480.34,1775.68,8.47
Davidson ,HD01_VD03,2006,Estimate; Income in the past 12 months below poverty level: - Male:,4933,1609.7,821.28,16.65
Durham ,HD01_VD03,2006,Estimate; Income in the past 12 months below poverty level: - Male:,17591,3201.53,1633.43,9.29
Forsyth ,HD01_VD03,2006,Estimate; Income in the past 12 months below poverty level: - Male:,18827,3404.09,1736.78,9.22
Gaston ,HD01_VD03,2006,Estimate; Income in the past 12 months below poverty level: - Male:,12808,3642.38,1858.36,14.51
Guilford ,HD01_VD03,2006,Estimate; Income in the past 12 months below poverty level: - Male:,29547,3829.45,1953.8,6.61
Harnett ,HD01_VD03,2006,Estimate; Income in the past 12 months below poverty level: - Male:,8225,2216.17,1130.7,13.75
Henderson ,HD01_VD03,2006,Estimate; Income in the past 12 months below poverty level: - Male:,4564,2016,1028.57,22.54
Iredell ,HD01_VD03,2006,Estimate; Income in the past 12 months below poverty level: - Male:,7433,2303.15,1175.08,15.81
Johnston ,HD01_VD03,2006,Estimate; Income in the past 12 months below poverty level: - Male:,9019,2832.17,1444.98,16.02
Lincoln ,HD01_VD03,2006,Estimate; Income in the past 12 months below poverty level: - Male:,4513,1770.55,903.34,20.02
Mecklenburg ,HD01_VD03,2006,Estimate; Income in the past 12 months below poverty level: - Male:,42216,5199.66,2652.89,6.28
Moore ,HD01_VD03,2006,Estimate; Income in the past 12 months below poverty level: - Male:,4582,1958.81,999.39,21.81
Nash ,HD01_VD03,2006,Estimate; Income in the past 12 months below poverty level: - Male:,4485,1448.85,739.21,16.48
New Hanover ,HD01_VD03,2006,Estimate; Income in the past 12 months below poverty level: - Male:,9758,2137.53,1090.58,11.18
Onslow ,HD01_VD03,2006,Estimate; Income in the past 12 months below poverty level: - Male:,6772,2278.13,1162.31,17.16
Orange ,HD01_VD03,2006,Estimate; Income in the past 12 months below poverty level: - Male:,7008,2024.34,1032.83,14.74
Pitt ,HD01_VD03,2006,Estimate; Income in the past 12 months below poverty level: - Male:,13503,2808.34,1432.83,10.61
