GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49,HD01_VD50,HD02_VD50,HD01_VD51,HD02_VD51,HD01_VD52,HD02_VD52,HD01_VD53,HD02_VD53,HD01_VD54,HD02_VD54,HD01_VD55,HD02_VD55,HD01_VD56,HD02_VD56,HD01_VD57,HD02_VD57,HD01_VD58,HD02_VD58,HD01_VD59,HD02_VD59
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Income in the past 12 months below poverty level:,Margin of Error; Income in the past 12 months below poverty level:,Estimate; Income in the past 12 months below poverty level: - Male:,Margin of Error; Income in the past 12 months below poverty level: - Male:,Estimate; Income in the past 12 months below poverty level: - Male: - Under 5 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - Under 5 years,Estimate; Income in the past 12 months below poverty level: - Male: - 5 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - 5 years,Estimate; Income in the past 12 months below poverty level: - Male: - 6 to 11 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - 6 to 11 years,Estimate; Income in the past 12 months below poverty level: - Male: - 12 to 14 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - 12 to 14 years,Estimate; Income in the past 12 months below poverty level: - Male: - 15 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - 15 years,Estimate; Income in the past 12 months below poverty level: - Male: - 16 and 17 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - 16 and 17 years,Estimate; Income in the past 12 months below poverty level: - Male: - 18 to 24 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - 18 to 24 years,Estimate; Income in the past 12 months below poverty level: - Male: - 25 to 34 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - 25 to 34 years,Estimate; Income in the past 12 months below poverty level: - Male: - 35 to 44 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - 35 to 44 years,Estimate; Income in the past 12 months below poverty level: - Male: - 45 to 54 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - 45 to 54 years,Estimate; Income in the past 12 months below poverty level: - Male: - 55 to 64 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - 55 to 64 years,Estimate; Income in the past 12 months below poverty level: - Male: - 65 to 74 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - 65 to 74 years,Estimate; Income in the past 12 months below poverty level: - Male: - 75 years and over,Margin of Error; Income in the past 12 months below poverty level: - Male: - 75 years and over,Estimate; Income in the past 12 months below poverty level: - Female:,Margin of Error; Income in the past 12 months below poverty level: - Female:,Estimate; Income in the past 12 months below poverty level: - Female: - Under 5 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - Under 5 years,Estimate; Income in the past 12 months below poverty level: - Female: - 5 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - 5 years,Estimate; Income in the past 12 months below poverty level: - Female: - 6 to 11 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - 6 to 11 years,Estimate; Income in the past 12 months below poverty level: - Female: - 12 to 14 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - 12 to 14 years,Estimate; Income in the past 12 months below poverty level: - Female: - 15 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - 15 years,Estimate; Income in the past 12 months below poverty level: - Female: - 16 and 17 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - 16 and 17 years,Estimate; Income in the past 12 months below poverty level: - Female: - 18 to 24 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - 18 to 24 years,Estimate; Income in the past 12 months below poverty level: - Female: - 25 to 34 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - 25 to 34 years,Estimate; Income in the past 12 months below poverty level: - Female: - 35 to 44 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - 35 to 44 years,Estimate; Income in the past 12 months below poverty level: - Female: - 45 to 54 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - 45 to 54 years,Estimate; Income in the past 12 months below poverty level: - Female: - 55 to 64 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - 55 to 64 years,Estimate; Income in the past 12 months below poverty level: - Female: - 65 to 74 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - 65 to 74 years,Estimate; Income in the past 12 months below poverty level: - Female: - 75 years and over,Margin of Error; Income in the past 12 months below poverty level: - Female: - 75 years and over,Estimate; Income in the past 12 months at or above poverty level:,Margin of Error; Income in the past 12 months at or above poverty level:,Estimate; Income in the past 12 months at or above poverty level: - Male:,Margin of Error; Income in the past 12 months at or above poverty level: - Male:,Estimate; Income in the past 12 months at or above poverty level: - Male: - Under 5 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - Under 5 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 5 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 5 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 6 to 11 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 6 to 11 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 12 to 14 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 12 to 14 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 15 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 15 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 16 and 17 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 16 and 17 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 18 to 24 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 18 to 24 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 25 to 34 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 25 to 34 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 35 to 44 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 35 to 44 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 45 to 54 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 45 to 54 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 55 to 64 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 55 to 64 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 65 to 74 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 65 to 74 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 75 years and over,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 75 years and over,Estimate; Income in the past 12 months at or above poverty level: - Female:,Margin of Error; Income in the past 12 months at or above poverty level: - Female:,Estimate; Income in the past 12 months at or above poverty level: - Female: - Under 5 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - Under 5 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 5 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 5 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 6 to 11 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 6 to 11 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 12 to 14 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 12 to 14 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 15 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 15 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 16 and 17 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 16 and 17 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 18 to 24 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 18 to 24 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 25 to 34 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 25 to 34 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 35 to 44 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 35 to 44 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 45 to 54 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 45 to 54 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 55 to 64 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 55 to 64 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 65 to 74 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 65 to 74 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 75 years and over,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 75 years and over
0100000US,,United States,301535021,22099,46215956,240306,20850219,129315,2508936,34557,484441,12442,2644434,29823,1186292,20372,396572,11343,787814,15351,3178672,38265,2586638,25202,2164217,27301,2163442,22649,1580486,19822,664765,14194,503510,9307,25365737,128604,2452588,27916,462964,11497,2533624,31957,1123422,18156,383044,10786,784998,13760,3938268,41611,3822775,34018,2960469,27192,2564288,26364,1969999,22499,1085579,16746,1283719,15413,255319065,245918,126548942,130901,7623788,32127,1558133,24041,9703189,42999,5116427,29733,1765614,18714,3587632,26593,10862610,38639,17203845,31846,17786708,33809,19534248,29176,15947016,24930,9370264,16857,6489468,13024,128770123,135768,7237321,27306,1519421,20014,9310351,43406,4829188,33021,1652751,19345,3371633,23272,9776337,38210,16484667,36905,17668183,31430,20195693,31393,16990242,27277,10493171,18790,9241165,17131
0400000US37,37,North Carolina,9304553,3703,1627602,29606,729724,15740,89726,4986,18379,2418,97284,5349,43068,3514,11946,2196,24731,2442,105316,6228,91791,5565,79640,5402,75217,4938,55169,3972,22304,2317,15153,1858,897878,19493,91856,5142,16643,2277,87107,5878,39004,3736,12771,2009,27360,2244,135172,7134,140789,6043,106272,4710,93092,4459,66478,3599,37524,2855,43810,3221,7676951,29270,3770731,16636,230191,5278,45786,3787,290874,7440,147648,5856,54025,3426,101142,4324,311788,8710,495101,6541,566284,7031,573017,5952,479832,4641,296384,3188,178659,2457,3906220,20201,213094,5615,45817,3203,278352,7594,143713,5432,48265,2881,92866,4306,280536,7542,488204,7266,570874,5288,606155,5097,533307,3789,339106,3042,265931,3743
0500000US37001,37001,"Alamance County, North Carolina",147954,2253,27972,3910,12358,1957,2485,720,167,214,2421,1027,580,377,0,289,340,257,1752,821,561,357,1431,653,1006,636,960,571,384,288,271,258,15614,2546,2028,573,309,302,1665,709,862,485,246,256,171,188,3125,1376,2809,853,1710,783,882,404,699,377,475,282,633,335,119982,4262,58579,2246,2455,731,919,561,4641,1098,1836,661,815,483,1804,603,5084,1187,6681,957,8887,932,10130,742,7870,568,4470,528,2987,323,61403,2782,2814,619,673,414,4798,946,1508,489,716,416,1471,471,3843,1434,6483,993,8967,911,10313,571,8728,399,6217,363,4872,722
0500000US37019,37019,"Brunswick County, North Carolina",107905,147,18215,3869,7697,2230,657,415,92,155,414,371,773,503,111,175,78,145,900,516,1428,926,823,979,888,496,1046,446,470,421,17,28,10518,2388,881,511,236,297,473,343,80,136,18,34,343,368,1731,711,2031,779,820,590,1418,590,1335,722,731,334,421,259,89690,3869,44258,2231,2617,729,461,372,3482,714,454,300,64,120,522,408,2933,950,4315,838,5204,784,5675,662,7902,461,7223,459,3406,204,45432,2514,2111,777,304,262,3464,788,829,475,703,701,972,588,1363,682,4208,690,5178,858,6239,500,9329,755,6853,368,3879,280
0500000US37021,37021,"Buncombe County, North Carolina",233369,2022,39191,5495,21295,3533,1956,989,666,451,2075,1190,1422,818,217,179,660,467,2687,1093,3218,1050,2576,951,2679,925,2091,764,646,384,402,252,17896,3020,1480,700,437,434,943,546,385,295,76,139,772,505,3624,1118,2595,957,1957,935,2431,1037,1555,607,734,425,907,459,194178,5941,90017,3729,4713,747,1133,795,5581,1276,2846,1137,673,329,2530,502,5215,1157,12609,1168,13318,1160,13867,1073,13232,854,8235,347,6065,407,104161,3574,5207,939,1476,808,5821,1155,3609,1068,1287,583,2331,720,5819,1179,13503,1236,14310,979,15516,1031,15870,502,10052,533,9360,749
0500000US37023,37023,"Burke County, North Carolina",88541,1348,16588,3087,8392,1915,500,344,284,267,951,571,299,297,96,109,542,438,1275,530,1438,622,838,385,896,396,734,465,291,351,248,218,8196,1630,908,359,62,104,551,485,198,206,75,106,406,325,1665,589,1401,524,728,431,844,367,674,461,255,157,429,272,71953,3314,35749,2031,2039,547,247,193,2454,540,1579,495,603,351,864,397,2816,748,3610,694,5220,703,5780,475,5017,567,3543,430,1977,256,36204,1986,1487,418,204,161,2648,464,1674,414,431,267,733,329,2196,520,3340,549,4935,613,5866,523,5474,519,4256,278,2960,821
0500000US37025,37025,"Cabarrus County, North Carolina",176591,1503,22911,4803,10344,2481,1201,481,257,293,1317,762,96,163,60,100,84,147,987,734,1399,712,1909,977,1509,591,724,413,462,350,339,244,12567,2866,1352,920,147,168,1571,774,431,328,126,141,945,655,1576,914,1753,909,1375,782,1658,676,698,352,381,259,554,353,153680,4825,74481,2827,4955,705,1411,757,7450,1294,2975,934,1218,665,2008,630,6158,876,8971,1031,12501,1103,10721,912,8578,712,4491,551,3044,292,79199,2878,5101,1156,682,351,6936,1101,3699,1080,671,375,2984,760,4882,758,9562,870,13524,1003,11692,947,8998,430,5677,431,4791,721
0500000US37027,37027,"Caldwell County, North Carolina",81536,1006,14947,2814,6543,1496,1035,761,99,165,617,417,358,337,137,179,124,150,937,837,259,276,701,504,1448,704,608,332,147,176,73,125,8404,1803,1020,490,65,111,946,583,385,352,203,262,345,318,1082,497,1315,603,797,435,874,533,473,302,404,274,495,312,66589,2953,33654,1679,1198,507,416,330,2147,671,1844,562,736,251,786,324,2142,496,3703,226,6530,1126,4546,741,4660,398,3224,359,1722,228,32935,2009,1453,614,213,213,1511,559,1811,745,222,202,924,329,2207,665,2737,533,5283,710,5480,522,5323,452,3392,409,2379,450
0500000US37031,37031,"Carteret County, North Carolina",66219,662,8273,2481,4079,1674,221,253,0,289,577,681,273,278,0,289,0,289,464,291,626,499,788,505,380,305,471,464,279,203,0,289,4194,1253,368,310,112,206,348,234,242,314,48,87,0,289,235,235,486,325,396,334,532,346,711,471,280,253,436,314,57946,2538,29514,1860,1585,816,378,365,1528,920,966,512,466,334,1250,421,2337,537,3385,703,2985,440,4334,311,4827,308,3308,319,2165,289,28432,1391,1003,707,263,346,1970,578,536,386,38,65,344,354,2150,439,3226,507,3283,346,4685,382,5101,395,3317,253,2516,284
