measure,year,county,group,total,rate,passed,not_passed
3rd Grade Reading Score,2014,Durham,ALL,2551,48.8,1245,1306
3rd Grade Reading Score,2014,Durham,African American,1150,39.7,457,693
3rd Grade Reading Score,2014,Durham,eds,1732,35.2,610,1122
3rd Grade Reading Score,2014,Durham,female,1265,52,658,607
3rd Grade Reading Score,2014,Durham,Hispanic/Latino,766,37.7,289,477
3rd Grade Reading Score,2014,Durham,male,1286,45.6,586,700
3rd Grade Reading Score,2014,Durham,not_eds,819,77.5,635,184
3rd Grade Reading Score,2014,Durham,"White, non-Hispanic",483,82.2,397,86
3rd Grade Reading Score,2014,Forsyth,ALL,4013,58,2328,1685
3rd Grade Reading Score,2014,Forsyth,African American,1141,43.4,495,646
3rd Grade Reading Score,2014,Forsyth,eds,2438,42.5,1036,1402
3rd Grade Reading Score,2014,Forsyth,female,1930,61.1,1179,751
3rd Grade Reading Score,2014,Forsyth,Hispanic/Latino,992,37.6,373,619
3rd Grade Reading Score,2014,Forsyth,male,2083,55.2,1150,933
3rd Grade Reading Score,2014,Forsyth,not_eds,1575,82.2,1295,280
3rd Grade Reading Score,2014,Forsyth,"White, non-Hispanic",1631,78.4,1279,352
3rd Grade Reading Score,2014,Guilford,ALL,5475,56.3,3082,2393
3rd Grade Reading Score,2014,Guilford,African American,2284,43.5,994,1290
3rd Grade Reading Score,2014,Guilford,eds,3462,43.6,1509,1953
3rd Grade Reading Score,2014,Guilford,female,2741,60.5,1658,1083
3rd Grade Reading Score,2014,Guilford,Hispanic/Latino,849,43.1,366,483
3rd Grade Reading Score,2014,Guilford,male,2734,52.2,1427,1307
3rd Grade Reading Score,2014,Guilford,not_eds,2013,78.3,1576,437
3rd Grade Reading Score,2014,Guilford,"White, non-Hispanic",1829,77.3,1414,415
3rd Grade Reading Score,2015,Durham,ALL,2571,45.4,1167,1404
3rd Grade Reading Score,2015,Durham,African American,1163,36.3,422,741
3rd Grade Reading Score,2015,Durham,eds,1595,32,510,1085
3rd Grade Reading Score,2015,Durham,female,1264,49.5,626,638
3rd Grade Reading Score,2015,Durham,Hispanic/Latino,809,34.6,280,529
3rd Grade Reading Score,2015,Durham,male,1307,41.3,540,767
3rd Grade Reading Score,2015,Durham,not_eds,976,67.1,655,321
3rd Grade Reading Score,2015,Durham,"White, non-Hispanic",474,81.4,386,88
3rd Grade Reading Score,2015,Forsyth,ALL,4152,56,2325,1827
3rd Grade Reading Score,2015,Forsyth,African American,1166,43.6,508,658
3rd Grade Reading Score,2015,Forsyth,eds,2701,41.5,1121,1580
3rd Grade Reading Score,2015,Forsyth,female,2032,59.5,1209,823
3rd Grade Reading Score,2015,Forsyth,Hispanic/Latino,1133,35.3,400,733
3rd Grade Reading Score,2015,Forsyth,male,2120,52.6,1115,1005
3rd Grade Reading Score,2015,Forsyth,not_eds,1451,82.9,1203,248
3rd Grade Reading Score,2015,Forsyth,"White, non-Hispanic",1571,77.5,1218,353
3rd Grade Reading Score,2015,Guilford,ALL,5455,53.8,2935,2520
3rd Grade Reading Score,2015,Guilford,African American,2320,42.6,988,1332
3rd Grade Reading Score,2015,Guilford,eds,2994,41.1,1231,1763
3rd Grade Reading Score,2015,Guilford,female,2696,57.7,1556,1140
3rd Grade Reading Score,2015,Guilford,Hispanic/Latino,907,41.1,373,534
3rd Grade Reading Score,2015,Guilford,male,2759,49.9,1377,1382
3rd Grade Reading Score,2015,Guilford,not_eds,2461,69.1,1701,760
3rd Grade Reading Score,2015,Guilford,"White, non-Hispanic",1701,74.3,1264,437
3rd Grade Reading Score,2016,Durham,ALL,2672,45.7,1221,1451
3rd Grade Reading Score,2016,Durham,African American,1150,37.5,431,719
3rd Grade Reading Score,2016,Durham,eds,1889,33.2,627,1262
3rd Grade Reading Score,2016,Durham,female,1313,49.2,646,667
3rd Grade Reading Score,2016,Durham,Hispanic/Latino,879,33.7,296,583
3rd Grade Reading Score,2016,Durham,male,1359,42.2,573,786
3rd Grade Reading Score,2016,Durham,not_eds,783,75.7,593,190
3rd Grade Reading Score,2016,Durham,"White, non-Hispanic",479,80.2,384,95
3rd Grade Reading Score,2016,Forsyth,ALL,4289,51.9,2226,2063
3rd Grade Reading Score,2016,Forsyth,African American,1219,37.7,460,759
3rd Grade Reading Score,2016,Forsyth,eds,2279,37,843,1436
3rd Grade Reading Score,2016,Forsyth,female,2019,54.6,1102,917
3rd Grade Reading Score,2016,Forsyth,Hispanic/Latino,1245,32.1,400,845
3rd Grade Reading Score,2016,Forsyth,male,2270,49.5,1124,1146
3rd Grade Reading Score,2016,Forsyth,not_eds,2010,68.9,1385,625
3rd Grade Reading Score,2016,Forsyth,"White, non-Hispanic",1524,76.7,1169,355
3rd Grade Reading Score,2016,Guilford,ALL,5451,53.9,2938,2513
3rd Grade Reading Score,2016,Guilford,African American,2245,41.7,936,1309
3rd Grade Reading Score,2016,Guilford,eds,2802,41.1,1152,1650
3rd Grade Reading Score,2016,Guilford,female,2604,56.7,1476,1128
3rd Grade Reading Score,2016,Guilford,Hispanic/Latino,972,40.1,390,582
3rd Grade Reading Score,2016,Guilford,male,2847,51.4,1463,1384
3rd Grade Reading Score,2016,Guilford,not_eds,2649,67.5,1788,861
3rd Grade Reading Score,2016,Guilford,"White, non-Hispanic",1666,77.1,1284,382
3rd Grade Reading Score,2017,Durham,ALL,2698,44.6,1203,1495
3rd Grade Reading Score,2017,Durham,African American,1186,36.5,433,753
3rd Grade Reading Score,2017,Durham,eds,1732,33.1,573,1159
3rd Grade Reading Score,2017,Durham,female,1292,48.5,627,665
3rd Grade Reading Score,2017,Durham,Hispanic/Latino,886,33.7,299,587
3rd Grade Reading Score,2017,Durham,male,1406,40.9,575,831
3rd Grade Reading Score,2017,Durham,not_eds,966,65,628,338
3rd Grade Reading Score,2017,Durham,"White, non-Hispanic",480,80.4,386,94
3rd Grade Reading Score,2017,Forsyth,ALL,4368,52.8,2306,2062
3rd Grade Reading Score,2017,Forsyth,African American,1292,38.2,494,798
3rd Grade Reading Score,2017,Forsyth,eds,2321,36.8,854,1467
3rd Grade Reading Score,2017,Forsyth,female,2134,56.8,1212,922
3rd Grade Reading Score,2017,Forsyth,Hispanic/Latino,1160,32.8,380,780
3rd Grade Reading Score,2017,Forsyth,male,2234,49,1095,1139
3rd Grade Reading Score,2017,Forsyth,not_eds,2047,71,1453,594
3rd Grade Reading Score,2017,Forsyth,"White, non-Hispanic",1636,76.5,1252,384
3rd Grade Reading Score,2017,Guilford,ALL,5605,53.4,2993,2612
3rd Grade Reading Score,2017,Guilford,African American,2333,40.6,947,1386
3rd Grade Reading Score,2017,Guilford,eds,3010,40.1,1207,1803
3rd Grade Reading Score,2017,Guilford,female,2739,56.6,1550,1189
3rd Grade Reading Score,2017,Guilford,Hispanic/Latino,976,42.6,416,560
3rd Grade Reading Score,2017,Guilford,male,2866,50.3,1442,1424
3rd Grade Reading Score,2017,Guilford,not_eds,2595,68.8,1785,810
3rd Grade Reading Score,2017,Guilford,"White, non-Hispanic",1666,74.5,1241,425
3rd Grade Reading Score,2018,Durham,ALL,2579,43.3,1117,1462
3rd Grade Reading Score,2018,Durham,African American,1155,36,416,739
3rd Grade Reading Score,2018,Durham,eds,1460,30.8,450,1010
3rd Grade Reading Score,2018,Durham,female,1276,45.6,582,694
3rd Grade Reading Score,2018,Durham,Hispanic/Latino,855,32.2,275,580
3rd Grade Reading Score,2018,Durham,male,1303,41.1,536,767
3rd Grade Reading Score,2018,Durham,not_eds,1119,59.7,668,451
3rd Grade Reading Score,2018,Durham,"White, non-Hispanic",457,78.3,358,99
3rd Grade Reading Score,2018,Forsyth,ALL,4352,51.6,2246,2106
3rd Grade Reading Score,2018,Forsyth,African American,1235,37.5,463,772
3rd Grade Reading Score,2018,Forsyth,eds,2191,36.6,802,1389
3rd Grade Reading Score,2018,Forsyth,female,2124,55.9,1187,937
3rd Grade Reading Score,2018,Forsyth,Hispanic/Latino,1207,33.9,409,798
3rd Grade Reading Score,2018,Forsyth,male,2228,47.5,1058,1170
3rd Grade Reading Score,2018,Forsyth,not_eds,2161,66.8,1444,717
3rd Grade Reading Score,2018,Forsyth,"White, non-Hispanic",1597,73.8,1179,418
