measure,year,county,group,total,rate,passed,not_passed
3rd Grade Reading Score,2007-08,Durham,black,1342,31.6,424,918
3rd Grade Reading Score,2007-08,Durham,eds,1532,24.3,372,1160
3rd Grade Reading Score,2007-08,Durham,female,1314,42.2,555,759
3rd Grade Reading Score,2007-08,Durham,hispanic,563,25.4,143,420
3rd Grade Reading Score,2007-08,Durham,male,1313,39.5,519,794
3rd Grade Reading Score,2007-08,Durham,not_eds,1095,63.8,699,396
3rd Grade Reading Score,2007-08,Durham,ALL,2627,40.8,1072,1555
3rd Grade Reading Score,2007-08,Durham,white,543,75.1,408,135
3rd Grade Reading Score,2007-08,Forsyth,black,1236,35.1,434,802
3rd Grade Reading Score,2007-08,Forsyth,eds,2175,33.8,735,1440
3rd Grade Reading Score,2007-08,Forsyth,female,2025,53.5,1083,942
3rd Grade Reading Score,2007-08,Forsyth,hispanic,804,30,241,563
3rd Grade Reading Score,2007-08,Forsyth,male,2076,50.6,1050,1026
3rd Grade Reading Score,2007-08,Forsyth,not_eds,1926,72.7,1400,526
3rd Grade Reading Score,2007-08,Forsyth,ALL,4101,52.1,2137,1964
3rd Grade Reading Score,2007-08,Forsyth,white,1800,72.3,1301,499
3rd Grade Reading Score,2007-08,Guilford,black,2222,36.3,807,1415
3rd Grade Reading Score,2007-08,Guilford,eds,2799,34.8,974,1825
3rd Grade Reading Score,2007-08,Guilford,female,2652,54.9,1456,1196
3rd Grade Reading Score,2007-08,Guilford,hispanic,513,37,190,323
3rd Grade Reading Score,2007-08,Guilford,male,2775,49.7,1379,1396
3rd Grade Reading Score,2007-08,Guilford,not_eds,2628,70.8,1861,767
3rd Grade Reading Score,2007-08,Guilford,ALL,5427,52.2,2833,2594
3rd Grade Reading Score,2007-08,Guilford,white,2071,73.1,1514,557
3rd Grade Reading Score,2008-09,Durham,black,1419,40.9,580,839
3rd Grade Reading Score,2008-09,Durham,eds,1635,35.4,579,1056
3rd Grade Reading Score,2008-09,Durham,female,1283,55.2,708,575
3rd Grade Reading Score,2008-09,Durham,hispanic,601,35.6,214,387
3rd Grade Reading Score,2008-09,Durham,male,1478,44.9,664,814
3rd Grade Reading Score,2008-09,Durham,not_eds,1126,70.3,792,334
3rd Grade Reading Score,2008-09,Durham,ALL,2761,49.7,1372,1389
3rd Grade Reading Score,2008-09,Durham,white,542,81,439,103
3rd Grade Reading Score,2008-09,Forsyth,black,1239,48.2,597,642
3rd Grade Reading Score,2008-09,Forsyth,eds,2309,44.7,1032,1277
3rd Grade Reading Score,2008-09,Forsyth,female,2089,65.4,1366,723
3rd Grade Reading Score,2008-09,Forsyth,hispanic,854,37,316,538
3rd Grade Reading Score,2008-09,Forsyth,male,2187,59.9,1310,877
3rd Grade Reading Score,2008-09,Forsyth,not_eds,1967,83.6,1644,323
3rd Grade Reading Score,2008-09,Forsyth,ALL,4276,62.6,2677,1599
3rd Grade Reading Score,2008-09,Forsyth,white,1882,82,1543,339
3rd Grade Reading Score,2008-09,Guilford,black,2279,49.5,1128,1151
3rd Grade Reading Score,2008-09,Guilford,eds,2968,47.1,1398,1570
3rd Grade Reading Score,2008-09,Guilford,female,2718,68.5,1862,856
3rd Grade Reading Score,2008-09,Guilford,hispanic,572,49.5,283,289
3rd Grade Reading Score,2008-09,Guilford,male,2888,59.2,1710,1178
3rd Grade Reading Score,2008-09,Guilford,not_eds,2638,82.4,2174,464
3rd Grade Reading Score,2008-09,Guilford,ALL,5606,63.7,3571,2035
3rd Grade Reading Score,2008-09,Guilford,white,2140,83.7,1791,349
3rd Grade Reading Score,2009-10,Durham,black,1306,45,588,718
3rd Grade Reading Score,2009-10,Durham,eds,1730,41.1,711,1019
3rd Grade Reading Score,2009-10,Durham,female,1310,58.1,761,549
3rd Grade Reading Score,2009-10,Durham,hispanic,622,38.6,240,382
3rd Grade Reading Score,2009-10,Durham,male,1367,49.5,677,690
3rd Grade Reading Score,2009-10,Durham,not_eds,947,76.8,727,220
3rd Grade Reading Score,2009-10,Durham,ALL,2677,53.7,1438,1239
3rd Grade Reading Score,2009-10,Durham,white,537,85.8,461,76
3rd Grade Reading Score,2009-10,Forsyth,black,1190,49.7,591,599
3rd Grade Reading Score,2009-10,Forsyth,eds,2284,48.8,1115,1169
3rd Grade Reading Score,2009-10,Forsyth,female,2040,68.6,1399,641
3rd Grade Reading Score,2009-10,Forsyth,hispanic,877,43.3,380,497
3rd Grade Reading Score,2009-10,Forsyth,male,2146,62.3,1337,809
3rd Grade Reading Score,2009-10,Forsyth,not_eds,1902,85.3,1622,280
3rd Grade Reading Score,2009-10,Forsyth,ALL,4186,65.4,2738,1448
3rd Grade Reading Score,2009-10,Forsyth,white,1805,84.8,1531,274
3rd Grade Reading Score,2009-10,Guilford,black,2199,50.2,1104,1095
3rd Grade Reading Score,2009-10,Guilford,eds,3197,49.3,1576,1621
3rd Grade Reading Score,2009-10,Guilford,female,2687,66.3,1781,906
3rd Grade Reading Score,2009-10,Guilford,hispanic,571,48.9,279,292
3rd Grade Reading Score,2009-10,Guilford,male,2836,61,1730,1106
3rd Grade Reading Score,2009-10,Guilford,not_eds,2326,83.2,1935,391
3rd Grade Reading Score,2009-10,Guilford,ALL,5523,63.6,3513,2010
3rd Grade Reading Score,2009-10,Guilford,white,2094,82.5,1728,366
3rd Grade Reading Score,2010-11,Durham,black,1356,46.7,633,723
3rd Grade Reading Score,2010-11,Durham,eds,1738,41.8,726,1012
3rd Grade Reading Score,2010-11,Durham,female,1346,58,781,565
3rd Grade Reading Score,2010-11,Durham,hispanic,653,44.1,288,365
3rd Grade Reading Score,2010-11,Durham,male,1358,51.7,702,656
3rd Grade Reading Score,2010-11,Durham,not_eds,966,78.4,757,209
3rd Grade Reading Score,2010-11,Durham,ALL,2704,54.8,1482,1222
3rd Grade Reading Score,2010-11,Durham,white,557,82.4,459,98
3rd Grade Reading Score,2010-11,Forsyth,black,1164,49.7,579,585
