year1,county1,group1,year2,county2,group2,Yes1,No1,Rate1,Yes2,No2,Rate2,Significant,Narrative
2017-18,Forsyth,black,2016-17,Forsyth,black,463,772,0.3748987854251012,494,798,0.38235294117647056,FALSE,black in Forsyth 2017-18 has a similar 3rd Grade Reading Score compared to black in Forsyth 2016-17
2017-18,Forsyth,black,2015-16,Forsyth,black,463,772,0.3748987854251012,460,759,0.37735849056603776,FALSE,black in Forsyth 2017-18 has a similar 3rd Grade Reading Score compared to black in Forsyth 2015-16
2017-18,Forsyth,black,2014-15,Forsyth,black,463,772,0.3748987854251012,508,658,0.43567753001715265,TRUE,black in Forsyth 2017-18 has a lower 3rd Grade Reading Score than black in Forsyth 2014-15
2017-18,Forsyth,black,2013-14,Forsyth,black,463,772,0.3748987854251012,495,646,0.43382997370727433,TRUE,black in Forsyth 2017-18 has a lower 3rd Grade Reading Score than black in Forsyth 2013-14
2017-18,Forsyth,black,2017-18,Forsyth,white,463,772,0.3748987854251012,1179,418,0.7382592360676268,TRUE,black in Forsyth 2017-18 has a lower 3rd Grade Reading Score than white in Forsyth 2017-18
2017-18,Forsyth,black,2017-18,Forsyth,hispanic,463,772,0.3748987854251012,409,798,0.3388566694283347,FALSE,black in Forsyth 2017-18 has a similar 3rd Grade Reading Score compared to hispanic in Forsyth 2017-18
2017-18,Forsyth,black,2017-18,Durham,black,463,772,0.3748987854251012,416,739,0.3601731601731602,FALSE,black in Forsyth 2017-18 has a similar 3rd Grade Reading Score compared to black in Durham 2017-18
2017-18,Forsyth,black,2017-18,Guilford,black,463,772,0.3748987854251012,933,1412,0.3978678038379531,FALSE,black in Forsyth 2017-18 has a similar 3rd Grade Reading Score compared to black in Guilford 2017-18
2017-18,Forsyth,white,2016-17,Forsyth,white,1179,418,0.7382592360676268,1252,384,0.7652811735941321,FALSE,white in Forsyth 2017-18 has a similar 3rd Grade Reading Score compared to white in Forsyth 2016-17
2017-18,Forsyth,white,2015-16,Forsyth,white,1179,418,0.7382592360676268,1169,355,0.7670603674540682,FALSE,white in Forsyth 2017-18 has a similar 3rd Grade Reading Score compared to white in Forsyth 2015-16
2017-18,Forsyth,white,2014-15,Forsyth,white,1179,418,0.7382592360676268,1218,353,0.7753023551877785,TRUE,white in Forsyth 2017-18 has a lower 3rd Grade Reading Score than white in Forsyth 2014-15
2017-18,Forsyth,white,2013-14,Forsyth,white,1179,418,0.7382592360676268,1279,352,0.7841814837522992,TRUE,white in Forsyth 2017-18 has a lower 3rd Grade Reading Score than white in Forsyth 2013-14
2017-18,Forsyth,white,2017-18,Forsyth,black,1179,418,0.7382592360676268,463,772,0.3748987854251012,TRUE,white in Forsyth 2017-18 has a higher 3rd Grade Reading Score than black in Forsyth 2017-18
2017-18,Forsyth,white,2017-18,Forsyth,hispanic,1179,418,0.7382592360676268,409,798,0.3388566694283347,TRUE,white in Forsyth 2017-18 has a higher 3rd Grade Reading Score than hispanic in Forsyth 2017-18
2017-18,Forsyth,white,2017-18,Durham,white,1179,418,0.7382592360676268,358,99,0.7833698030634574,FALSE,white in Forsyth 2017-18 has a similar 3rd Grade Reading Score compared to white in Durham 2017-18
2017-18,Forsyth,white,2017-18,Guilford,white,1179,418,0.7382592360676268,1233,445,0.7348033373063171,FALSE,white in Forsyth 2017-18 has a similar 3rd Grade Reading Score compared to white in Guilford 2017-18
2017-18,Forsyth,hispanic,2016-17,Forsyth,hispanic,409,798,0.3388566694283347,380,780,0.3275862068965517,FALSE,hispanic in Forsyth 2017-18 has a similar 3rd Grade Reading Score compared to hispanic in Forsyth 2016-17
2017-18,Forsyth,hispanic,2015-16,Forsyth,hispanic,409,798,0.3388566694283347,400,845,0.321285140562249,FALSE,hispanic in Forsyth 2017-18 has a similar 3rd Grade Reading Score compared to hispanic in Forsyth 2015-16
2017-18,Forsyth,hispanic,2014-15,Forsyth,hispanic,409,798,0.3388566694283347,400,733,0.353045013239188,FALSE,hispanic in Forsyth 2017-18 has a similar 3rd Grade Reading Score compared to hispanic in Forsyth 2014-15
2017-18,Forsyth,hispanic,2013-14,Forsyth,hispanic,409,798,0.3388566694283347,373,619,0.37600806451612906,FALSE,hispanic in Forsyth 2017-18 has a similar 3rd Grade Reading Score compared to hispanic in Forsyth 2013-14
2017-18,Forsyth,hispanic,2017-18,Forsyth,black,409,798,0.3388566694283347,463,772,0.3748987854251012,FALSE,hispanic in Forsyth 2017-18 has a similar 3rd Grade Reading Score compared to black in Forsyth 2017-18
2017-18,Forsyth,hispanic,2017-18,Forsyth,white,409,798,0.3388566694283347,1179,418,0.7382592360676268,TRUE,hispanic in Forsyth 2017-18 has a lower 3rd Grade Reading Score than white in Forsyth 2017-18
2017-18,Forsyth,hispanic,2017-18,Durham,hispanic,409,798,0.3388566694283347,275,580,0.3216374269005848,FALSE,hispanic in Forsyth 2017-18 has a similar 3rd Grade Reading Score compared to hispanic in Durham 2017-18
2017-18,Forsyth,hispanic,2017-18,Guilford,hispanic,409,798,0.3388566694283347,367,596,0.3811007268951194,TRUE,hispanic in Forsyth 2017-18 has a lower 3rd Grade Reading Score than hispanic in Guilford 2017-18
2017-18,Forsyth,male,2016-17,Forsyth,male,1058,1170,0.4748653500897666,1095,1139,0.4901521933751119,FALSE,male in Forsyth 2017-18 has a similar 3rd Grade Reading Score compared to male in Forsyth 2016-17
2017-18,Forsyth,male,2015-16,Forsyth,male,1058,1170,0.4748653500897666,1124,1146,0.4951541850220264,FALSE,male in Forsyth 2017-18 has a similar 3rd Grade Reading Score compared to male in Forsyth 2015-16
2017-18,Forsyth,male,2014-15,Forsyth,male,1058,1170,0.4748653500897666,1115,1005,0.5259433962264151,TRUE,male in Forsyth 2017-18 has a lower 3rd Grade Reading Score than male in Forsyth 2014-15
2017-18,Forsyth,male,2013-14,Forsyth,male,1058,1170,0.4748653500897666,1150,933,0.5520883341334614,TRUE,male in Forsyth 2017-18 has a lower 3rd Grade Reading Score than male in Forsyth 2013-14
2017-18,Forsyth,male,2017-18,Forsyth,female,1058,1170,0.4748653500897666,1187,937,0.5588512241054614,TRUE,male in Forsyth 2017-18 has a lower 3rd Grade Reading Score than female in Forsyth 2017-18
2017-18,Forsyth,male,2017-18,Durham,male,1058,1170,0.4748653500897666,536,767,0.4113584036838066,TRUE,male in Forsyth 2017-18 has a higher 3rd Grade Reading Score than male in Durham 2017-18
2017-18,Forsyth,male,2017-18,Guilford,male,1058,1170,0.4748653500897666,1353,1477,0.47809187279151943,FALSE,male in Forsyth 2017-18 has a similar 3rd Grade Reading Score compared to male in Guilford 2017-18
2017-18,Forsyth,female,2016-17,Forsyth,female,1187,937,0.5588512241054614,1212,922,0.5679475164011246,FALSE,female in Forsyth 2017-18 has a similar 3rd Grade Reading Score compared to female in Forsyth 2016-17
