,year1,county1,group1,year2,county2,group2,Yes1,No1,Rate1,Yes2,No2,Rate2,Significant,Narrative
1,2017-18,Forsyth,black,2016-17,Forsyth,black,463,772,0.374898785,494,798,0.382352941,FALSE,black in Forsyth 2017-18 has a similar 3rd Grade Reading Score compared to black in Forsyth 2016-17
2,2017-18,Forsyth,black,2015-16,Forsyth,black,463,772,0.374898785,460,759,0.377358491,FALSE,black in Forsyth 2017-18 has a similar 3rd Grade Reading Score compared to black in Forsyth 2015-16
3,2017-18,Forsyth,black,2014-15,Forsyth,black,463,772,0.374898785,508,658,0.43567753,TRUE,black in Forsyth 2017-18 has a lower 3rd Grade Reading Score than black in Forsyth 2014-15
4,2017-18,Forsyth,black,2013-14,Forsyth,black,463,772,0.374898785,495,646,0.433829974,TRUE,black in Forsyth 2017-18 has a lower 3rd Grade Reading Score than black in Forsyth 2013-14
5,2017-18,Forsyth,black,2017-18,Forsyth,white,463,772,0.374898785,1179,418,0.738259236,TRUE,black in Forsyth 2017-18 has a lower 3rd Grade Reading Score than white in Forsyth 2017-18
6,2017-18,Forsyth,black,2017-18,Forsyth,hispanic,463,772,0.374898785,409,798,0.338856669,FALSE,black in Forsyth 2017-18 has a similar 3rd Grade Reading Score compared to hispanic in Forsyth 2017-18
7,2017-18,Forsyth,black,2017-18,Durham,black,463,772,0.374898785,416,739,0.36017316,FALSE,black in Forsyth 2017-18 has a similar 3rd Grade Reading Score compared to black in Durham 2017-18
8,2017-18,Forsyth,black,2017-18,Guilford,black,463,772,0.374898785,933,1412,0.397867804,FALSE,black in Forsyth 2017-18 has a similar 3rd Grade Reading Score compared to black in Guilford 2017-18
9,2017-18,Forsyth,white,2016-17,Forsyth,white,1179,418,0.738259236,1252,384,0.765281174,FALSE,white in Forsyth 2017-18 has a similar 3rd Grade Reading Score compared to white in Forsyth 2016-17
10,2017-18,Forsyth,white,2015-16,Forsyth,white,1179,418,0.738259236,1169,355,0.767060367,FALSE,white in Forsyth 2017-18 has a similar 3rd Grade Reading Score compared to white in Forsyth 2015-16
11,2017-18,Forsyth,white,2014-15,Forsyth,white,1179,418,0.738259236,1218,353,0.775302355,TRUE,white in Forsyth 2017-18 has a lower 3rd Grade Reading Score than white in Forsyth 2014-15
12,2017-18,Forsyth,white,2013-14,Forsyth,white,1179,418,0.738259236,1279,352,0.784181484,TRUE,white in Forsyth 2017-18 has a lower 3rd Grade Reading Score than white in Forsyth 2013-14
13,2017-18,Forsyth,white,2017-18,Forsyth,black,1179,418,0.738259236,463,772,0.374898785,TRUE,white in Forsyth 2017-18 has a higher 3rd Grade Reading Score than black in Forsyth 2017-18
14,2017-18,Forsyth,white,2017-18,Forsyth,hispanic,1179,418,0.738259236,409,798,0.338856669,TRUE,white in Forsyth 2017-18 has a higher 3rd Grade Reading Score than hispanic in Forsyth 2017-18
15,2017-18,Forsyth,white,2017-18,Durham,white,1179,418,0.738259236,358,99,0.783369803,FALSE,white in Forsyth 2017-18 has a similar 3rd Grade Reading Score compared to white in Durham 2017-18
16,2017-18,Forsyth,white,2017-18,Guilford,white,1179,418,0.738259236,1233,445,0.734803337,FALSE,white in Forsyth 2017-18 has a similar 3rd Grade Reading Score compared to white in Guilford 2017-18
17,2017-18,Forsyth,hispanic,2016-17,Forsyth,hispanic,409,798,0.338856669,380,780,0.327586207,FALSE,hispanic in Forsyth 2017-18 has a similar 3rd Grade Reading Score compared to hispanic in Forsyth 2016-17
18,2017-18,Forsyth,hispanic,2015-16,Forsyth,hispanic,409,798,0.338856669,400,845,0.321285141,FALSE,hispanic in Forsyth 2017-18 has a similar 3rd Grade Reading Score compared to hispanic in Forsyth 2015-16
19,2017-18,Forsyth,hispanic,2014-15,Forsyth,hispanic,409,798,0.338856669,400,733,0.353045013,FALSE,hispanic in Forsyth 2017-18 has a similar 3rd Grade Reading Score compared to hispanic in Forsyth 2014-15
