year,district,group,total,percent,geo_area
2017-2018,Forsyth,ALL,4570,0.845,district
2017-2018,Forsyth,M,2366,0.81,district
2017-2018,Forsyth,F,2204,0.882,district
2017-2018,Forsyth,B,1307,0.842,district
2017-2018,Forsyth,H,990,0.754,district
2017-2018,Forsyth,W,1978,0.893,district
2017-2018,Forsyth,EDS,1554,0.797,district
2017-2018,Guilford,ALL,6056,0.893,district
2017-2018,Guilford,M,3018,0.863,district
2017-2018,Guilford,F,3038,0.923,district
2017-2018,Guilford,B,2477,0.877,district
2017-2018,Guilford,H,740,0.804,district
2017-2018,Guilford,W,2211,0.939,district
2017-2018,Guilford,EDS,2397,0.844,district
2017-2018,Durham,ALL,2878,0.815,district
2017-2018,Durham,M,1505,0.777,district
2017-2018,Durham,F,1373,0.857,district
2017-2018,Durham,B,1435,0.831,district
2017-2018,Durham,H,782,0.714,district
2017-2018,Durham,W,500,0.91,district
2017-2018,Durham,EDS,1323,0.758,district
2016-2017,Durham,ALL,2668,0.814,district
2016-2017,Durham,M,1306,0.77,district
2016-2017,Durham,F,1361,0.857,district
2016-2017,Durham,B,1398,0.821,district
2016-2017,Durham,H,646,0.707,district
2016-2017,Durham,W,483,0.917,district
2016-2017,Durham,EDS,1204,0.758,district
2015-2016,Durham,ALL,2532,0.823,district
2015-2016,Durham,M,1242,0.778,district
2015-2016,Durham,F,1290,0.867,district
2015-2016,Durham,B,1396,0.815,district
2015-2016,Durham,H,515,0.773,district
2015-2016,Durham,W,470,0.894,district
2015-2016,Durham,EDS,1163,0.782,district
2014-2015,Durham,ALL,2461,0.807,district
2014-2015,Durham,M,1234,0.754,district
2014-2015,Durham,F,1227,0.859,district
2014-2015,Durham,B,1420,0.796,district
2014-2015,Durham,H,436,0.722,district
2014-2015,Durham,W,472,0.903,district
2014-2015,Durham,EDS,1100,0.764,district
2013-2014,Durham,ALL,2362,0.815,district
2013-2014,Durham,M,1136,0.758,district
2013-2014,Durham,F,1226,0.869,district
2013-2014,Durham,B,1313,0.789,district
2013-2014,Durham,H,393,0.723,district
2013-2014,Durham,W,525,0.928,district
2013-2014,Durham,EDS,1148,0.748,district
2013-2014,NC,ALL,109714,0.839,state
2013-2014,NC,M,55846,0.803,state
2013-2014,NC,F,53868,0.876,state
2013-2014,NC,B,29949,0.799,state
2013-2014,NC,H,12008,0.774,state
2013-2014,NC,W,59493,0.871,state
2013-2014,NC,EDS,47828,0.78,state
2014-2015,NC,ALL,110473,0.856,state
2014-2015,NC,M,56294,0.822,state
2014-2015,NC,F,54179,0.891,state
2014-2015,NC,B,30202,0.822,state
2014-2015,NC,H,12578,0.8,state
2014-2015,NC,W,59300,0.883,state
2014-2015,NC,EDS,44047,0.796,state
2015-2016,NC,ALL,113726,0.859,state
2015-2016,NC,M,58064,0.828,state
2015-2016,NC,F,55662,0.891,state
2015-2016,NC,B,30240,0.829,state
2015-2016,NC,H,13808,0.801,state
2015-2016,NC,W,60649,0.886,state
2015-2016,NC,EDS,45392,0.806,state
2016-2017,NC,ALL,115730,0.865,state
2016-2017,NC,M,58885,0.835,state
2016-2017,NC,F,56844,0.897,state
2016-2017,NC,B,30855,0.839,state
2016-2017,NC,H,15279,0.805,state
2016-2017,NC,W,60630,0.893,state
2016-2017,NC,EDS,46465,0.818,state
2017-2018,NC,ALL,120079,0.863,state
2017-2018,NC,M,61374,0.832,state
2017-2018,NC,F,58705,0.896,state
2017-2018,NC,B,31747,0.832,state
2017-2018,NC,H,17504,0.799,state
2017-2018,NC,W,61271,0.896,state
2017-2018,NC,EDS,43880,0.803,state
2016-2017,Guilford,ALL,5943,0.898,district
2016-2017,Guilford,M,3024,0.874,district
2016-2017,Guilford,F,2919,0.922,district
2016-2017,Guilford,B,2454,0.878,district
2016-2017,Guilford,H,636,0.832,district
2016-2017,Guilford,W,2188,0.931,district
2016-2017,Guilford,EDS,2450,0.866,district
2015-2016,Guilford,ALL,5948,0.894,district
2015-2016,Guilford,M,2997,0.877,district
2015-2016,Guilford,F,2951,0.913,district
2015-2016,Guilford,B,2388,0.879,district
