geo_description,label,year,description,estimate,moe,se,cv
United States,HD01_VD01,2006,Estimate; Total:,225633342,31848.51,16249.24,0.01
North Carolina,HD01_VD01,2006,Estimate; Total:,6701486,3187.23,1626.14,0.02
Durham ,HD01_VD01,2006,Estimate; Total:,186746,407.49,207.9,0.11
Forsyth ,HD01_VD01,2006,Estimate; Total:,251267,482.55,246.2,0.1
Guilford ,HD01_VD01,2006,Estimate; Total:,344486,NA,NA,NA
United States,HD01_VD02,2006,Estimate; Male:,109685985,23988.26,12238.91,0.01
North Carolina,HD01_VD02,2006,Estimate; Male:,3232697,3972.43,2026.75,0.06
Durham ,HD01_VD02,2006,Estimate; Male:,89186,550.47,280.85,0.31
Forsyth ,HD01_VD02,2006,Estimate; Male:,118173,599.32,305.78,0.26
Guilford ,HD01_VD02,2006,Estimate; Male:,162881,731.57,373.25,0.23
United States,HD01_VD03,2006,Estimate; Male: - 18 to 24 years:,15326044,30895.32,15762.92,0.1
North Carolina,HD01_VD03,2006,Estimate; Male: - 18 to 24 years:,446172,5429.62,2770.21,0.62
Durham ,HD01_VD03,2006,Estimate; Male: - 18 to 24 years:,13676,508.77,259.58,1.9
Forsyth ,HD01_VD03,2006,Estimate; Male: - 18 to 24 years:,15506,569.53,290.58,1.87
Guilford ,HD01_VD03,2006,Estimate; Male: - 18 to 24 years:,22241,526.64,268.69,1.21
United States,HD01_VD04,2006,Estimate; Male: - 18 to 24 years: - Less than 9th grade,501355,18078.47,9223.71,1.84
North Carolina,HD01_VD04,2006,Estimate; Male: - 18 to 24 years: - Less than 9th grade,17001,2612.94,1333.13,7.84
Durham ,HD01_VD04,2006,Estimate; Male: - 18 to 24 years: - Less than 9th grade,741,532.6,271.73,36.67
Forsyth ,HD01_VD04,2006,Estimate; Male: - 18 to 24 years: - Less than 9th grade,609,489.7,249.85,41.03
Guilford ,HD01_VD04,2006,Estimate; Male: - 18 to 24 years: - Less than 9th grade,628,438.47,223.71,35.62
United States,HD01_VD05,2006,"Estimate; Male: - 18 to 24 years: - 9th to 12th grade, no diploma",2686592,33342.64,17011.55,0.63
North Carolina,HD01_VD05,2006,"Estimate; Male: - 18 to 24 years: - 9th to 12th grade, no diploma",79138,5360.51,2734.95,3.46
Durham ,HD01_VD05,2006,"Estimate; Male: - 18 to 24 years: - 9th to 12th grade, no diploma",2855,1005.62,513.07,17.97
Forsyth ,HD01_VD05,2006,"Estimate; Male: - 18 to 24 years: - 9th to 12th grade, no diploma",3011,867.4,442.55,14.7
Guilford ,HD01_VD05,2006,"Estimate; Male: - 18 to 24 years: - 9th to 12th grade, no diploma",2981,1227.23,626.14,21
United States,HD01_VD06,2006,Estimate; Male: - 18 to 24 years: - High school graduate (includes equivalency),5526450,50186.72,25605.47,0.46
North Carolina,HD01_VD06,2006,Estimate; Male: - 18 to 24 years: - High school graduate (includes equivalency),168976,7589.79,3872.34,2.29
Durham ,HD01_VD06,2006,Estimate; Male: - 18 to 24 years: - High school graduate (includes equivalency),1870,898.38,458.36,24.51
Forsyth ,HD01_VD06,2006,Estimate; Male: - 18 to 24 years: - High school graduate (includes equivalency),6092,1646.64,840.12,13.79
