geo_description,label,year,description,estimate,moe,se,cv
United States,HD01_VD01,2006,Estimate; Total:,299398485,NA,NA,NA
North Carolina,HD01_VD01,2006,Estimate; Total:,8856505,NA,NA,NA
Durham ,HD01_VD01,2006,Estimate; Total:,246896,NA,NA,NA
Forsyth ,HD01_VD01,2006,Estimate; Total:,332355,NA,NA,NA
Guilford ,HD01_VD01,2006,Estimate; Total:,451905,NA,NA,NA
United States,HD01_VD02,2006,Estimate; Male:,147434940,24862.81,12685.11,0.01
North Carolina,HD01_VD02,2006,Estimate; Male:,4343478,7159.66,3652.89,0.08
Durham ,HD01_VD02,2006,Estimate; Male:,120175,750.64,382.98,0.32
Forsyth ,HD01_VD02,2006,Estimate; Male:,159699,580.26,296.05,0.19
Guilford ,HD01_VD02,2006,Estimate; Male:,218319,775.66,395.74,0.18
United States,HD01_VD03,2006,Estimate; Male: - Under 5 years,10421888,15038.98,7672.95,0.07
North Carolina,HD01_VD03,2006,Estimate; Male: - Under 5 years,307692,4568.17,2330.7,0.76
Durham ,HD01_VD03,2006,Estimate; Male: - Under 5 years,10100,281.19,143.46,1.42
Forsyth ,HD01_VD03,2006,Estimate; Male: - Under 5 years,11995,218.04,111.24,0.93
Guilford ,HD01_VD03,2006,Estimate; Male: - Under 5 years,15656,324.09,165.35,1.06
United States,HD01_VD04,2006,Estimate; Male: - 5 to 9 years,10098366,50658.55,25846.2,0.26
North Carolina,HD01_VD04,2006,Estimate; Male: - 5 to 9 years,301303,8665.7,4421.28,1.47
Durham ,HD01_VD04,2006,Estimate; Male: - 5 to 9 years,8015,1479.83,755.02,9.42
Forsyth ,HD01_VD04,2006,Estimate; Male: - 5 to 9 years,11194,1645.45,839.52,7.5
Guilford ,HD01_VD04,2006,Estimate; Male: - 5 to 9 years,13749,1659.74,846.81,6.16
United States,HD01_VD05,2006,Estimate; Male: - 10 to 14 years,10587454,45441.02,23184.19,0.22
North Carolina,HD01_VD05,2006,Estimate; Male: - 10 to 14 years,309804,7926.98,4044.38,1.31
Durham ,HD01_VD05,2006,Estimate; Male: - 10 to 14 years,8350,1483.4,756.84,9.06
Forsyth ,HD01_VD05,2006,Estimate; Male: - 10 to 14 years,11469,1604.94,818.85,7.14
Guilford ,HD01_VD05,2006,Estimate; Male: - 10 to 14 years,16673,1653.79,843.77,5.06
United States,HD01_VD06,2006,Estimate; Male: - 15 to 17 years,6641247,15607.32,7962.92,0.12
North Carolina,HD01_VD06,2006,Estimate; Male: - 15 to 17 years,191982,4073.7,2078.42,1.08
Durham ,HD01_VD06,2006,Estimate; Male: - 15 to 17 years,4524,146.55,74.77,1.65
Forsyth ,HD01_VD06,2006,Estimate; Male: - 15 to 17 years,6868,63.15,32.22,0.47
Guilford ,HD01_VD06,2006,Estimate; Male: - 15 to 17 years,9360,349.11,178.12,1.9
United States,HD01_VD07,2006,Estimate; Male: - 18 and 19 years,4504703,24604.26,12553.19,0.28
North Carolina,HD01_VD07,2006,Estimate; Male: - 18 and 19 years,133241,4943.49,2522.19,1.89
Durham ,HD01_VD07,2006,Estimate; Male: - 18 and 19 years,3763,604.09,308.21,8.19
Forsyth ,HD01_VD07,2006,Estimate; Male: - 18 and 19 years,4665,487.32,248.63,5.33
Guilford ,HD01_VD07,2006,Estimate; Male: - 18 and 19 years,6427,247.83,126.44,1.97
United States,HD01_VD08,2006,Estimate; Male: - 20 years,2346861,30041.02,15327.05,0.65
North Carolina,HD01_VD08,2006,Estimate; Male: - 20 years,65044,5169.87,2637.69,4.06
Durham ,HD01_VD08,2006,Estimate; Male: - 20 years,2147,935.32,477.2,22.23
Forsyth ,HD01_VD08,2006,Estimate; Male: - 20 years,1989,888.85,453.49,22.8
Guilford ,HD01_VD08,2006,Estimate; Male: - 20 years,2532,943.66,481.46,19.02
United States,HD01_VD09,2006,Estimate; Male: - 21 years,2268506,29799.15,15203.65,0.67
North Carolina,HD01_VD09,2006,Estimate; Male: - 21 years,71048,5815.66,2967.17,4.18
Durham ,HD01_VD09,2006,Estimate; Male: - 21 years,2340,897.19,457.75,19.56
Forsyth ,HD01_VD09,2006,Estimate; Male: - 21 years,2836,1376.17,702.13,24.76
Guilford ,HD01_VD09,2006,Estimate; Male: - 21 years,4710,1410.72,719.76,15.28
United States,HD01_VD10,2006,Estimate; Male: - 22 to 24 years,6205974,37247.15,19003.65,0.31
North Carolina,HD01_VD10,2006,Estimate; Male: - 22 to 24 years,176839,7162.04,3654.1,2.07
Durham ,HD01_VD10,2006,Estimate; Male: - 22 to 24 years,5426,956.77,488.15,9
Forsyth ,HD01_VD10,2006,Estimate; Male: - 22 to 24 years,6016,1401.19,714.89,11.88
Guilford ,HD01_VD10,2006,Estimate; Male: - 22 to 24 years,8572,1254.64,640.12,7.47
United States,HD01_VD11,2006,Estimate; Male: - 25 to 29 years,10356272,22895.66,11681.46,0.11
North Carolina,HD01_VD11,2006,Estimate; Male: - 25 to 29 years,294390,5752.51,2934.95,1
Durham ,HD01_VD11,2006,Estimate; Male: - 25 to 29 years,9645,366.98,187.23,1.94
Forsyth ,HD01_VD11,2006,Estimate; Male: - 25 to 29 years,10437,228.77,116.72,1.12
Guilford ,HD01_VD11,2006,Estimate; Male: - 25 to 29 years,13235,474.21,241.94,1.83
United States,HD01_VD12,2006,Estimate; Male: - 30 to 34 years,9893240,22489.36,11474.16,0.12
North Carolina,HD01_VD12,2006,Estimate; Male: - 30 to 34 years,309529,5305.7,2706.99,0.87
Durham ,HD01_VD12,2006,Estimate; Male: - 30 to 34 years,10812,4.77,2.43,0.02
Forsyth ,HD01_VD12,2006,Estimate; Male: - 30 to 34 years,11293,291.91,148.93,1.32
Guilford ,HD01_VD12,2006,Estimate; Male: - 30 to 34 years,15680,254.98,130.09,0.83
United States,HD01_VD13,2006,Estimate; Male: - 35 to 39 years,10675120,47443.91,24206.08,0.23
North Carolina,HD01_VD13,2006,Estimate; Male: - 35 to 39 years,327453,9416.34,4804.26,1.47
Durham ,HD01_VD13,2006,Estimate; Male: - 35 to 39 years,11211,1762.21,899.09,8.02
Forsyth ,HD01_VD13,2006,Estimate; Male: - 35 to 39 years,12222,1932.6,986.02,8.07
Guilford ,HD01_VD13,2006,Estimate; Male: - 35 to 39 years,16573,1535.83,783.59,4.73
