geo_description,label,year,description,estimate,moe,se,cv
United States,HD01_VD01,2006,Estimate; Total:,195932824,79077.96,40345.9,0.02
North Carolina,HD01_VD01,2006,Estimate; Total:,5845235,9412.77,4802.43,0.08
Durham ,HD01_VD01,2006,Estimate; Total:,160342,544.51,277.81,0.17
Forsyth ,HD01_VD01,2006,Estimate; Total:,220050,626.72,319.76,0.15
Guilford ,HD01_VD01,2006,Estimate; Total:,296975,1008,514.29,0.17
United States,HD01_VD02,2006,Estimate; Male:,94359941,45651.91,23291.79,0.02
North Carolina,HD01_VD02,2006,Estimate; Male:,2786525,7101.28,3623.1,0.13
Durham ,HD01_VD02,2006,Estimate; Male:,75510,570.72,291.18,0.39
Forsyth ,HD01_VD02,2006,Estimate; Male:,102667,662.47,337.99,0.33
Guilford ,HD01_VD02,2006,Estimate; Male:,140640,875.74,446.81,0.32
United States,HD01_VD03,2006,Estimate; Male: - No schooling completed,888204,21202.55,10817.63,1.22
North Carolina,HD01_VD03,2006,Estimate; Male: - No schooling completed,22807,3326.64,1697.27,7.44
Durham ,HD01_VD03,2006,Estimate; Male: - No schooling completed,883,657.7,335.56,38
Forsyth ,HD01_VD03,2006,Estimate; Male: - No schooling completed,721,549.28,280.24,38.87
Guilford ,HD01_VD03,2006,Estimate; Male: - No schooling completed,1156,748.26,381.77,33.03
United States,HD01_VD04,2006,Estimate; Male: - Nursery to 4th grade,898270,18704,9542.86,1.06
North Carolina,HD01_VD04,2006,Estimate; Male: - Nursery to 4th grade,27124,3666.21,1870.52,6.9
Durham ,HD01_VD04,2006,Estimate; Male: - Nursery to 4th grade,1299,977.02,498.48,38.37
Forsyth ,HD01_VD04,2006,Estimate; Male: - Nursery to 4th grade,383,337.19,172.04,44.92
Guilford ,HD01_VD04,2006,Estimate; Male: - Nursery to 4th grade,1282,652.94,333.13,25.99
United States,HD01_VD05,2006,Estimate; Male: - 5th and 6th grade,1938579,33306.89,16993.31,0.88
North Carolina,HD01_VD05,2006,Estimate; Male: - 5th and 6th grade,61916,4807.66,2452.89,3.96
Durham ,HD01_VD05,2006,Estimate; Male: - 5th and 6th grade,1121,756.6,386.02,34.44
Forsyth ,HD01_VD05,2006,Estimate; Male: - 5th and 6th grade,2551,1184.34,604.26,23.69
Guilford ,HD01_VD05,2006,Estimate; Male: - 5th and 6th grade,2775,874.55,446.2,16.08
United States,HD01_VD06,2006,Estimate; Male: - 7th and 8th grade,2613917,30149.45,15382.37,0.59
North Carolina,HD01_VD06,2006,Estimate; Male: - 7th and 8th grade,92878,6168.34,3147.11,3.39
Durham ,HD01_VD06,2006,Estimate; Male: - 7th and 8th grade,2044,949.62,484.5,23.7
Forsyth ,HD01_VD06,2006,Estimate; Male: - 7th and 8th grade,2297,977.02,498.48,21.7
Guilford ,HD01_VD06,2006,Estimate; Male: - 7th and 8th grade,2473,963.91,491.79,19.89
United States,HD01_VD07,2006,Estimate; Male: - 9th grade,2130391,27798.64,14182.98,0.67
North Carolina,HD01_VD07,2006,Estimate; Male: - 9th grade,93577,6613.96,3374.47,3.61
Durham ,HD01_VD07,2006,Estimate; Male: - 9th grade,3031,1410.72,719.76,23.75
Forsyth ,HD01_VD07,2006,Estimate; Male: - 9th grade,3776,1426.21,727.66,19.27
Guilford ,HD01_VD07,2006,Estimate; Male: - 9th grade,4593,1328.51,677.81,14.76
United States,HD01_VD08,2006,Estimate; Male: - 10th grade,2481655,30677.28,15651.67,0.63
North Carolina,HD01_VD08,2006,Estimate; Male: - 10th grade,105718,6530.55,3331.91,3.15
Durham ,HD01_VD08,2006,Estimate; Male: - 10th grade,2482,1116.43,569.61,22.95
Forsyth ,HD01_VD08,2006,Estimate; Male: - 10th grade,2567,898.38,458.36,17.86
Guilford ,HD01_VD08,2006,Estimate; Male: - 10th grade,4300,1193.87,609.12,14.17
United States,HD01_VD09,2006,Estimate; Male: - 11th grade,2537558,32788.6,16728.88,0.66
North Carolina,HD01_VD09,2006,Estimate; Male: - 11th grade,88227,5794.21,2956.23,3.35
Durham ,HD01_VD09,2006,Estimate; Male: - 11th grade,1868,831.66,424.32,22.72
Forsyth ,HD01_VD09,2006,Estimate; Male: - 11th grade,2726,1108.09,565.35,20.74
Guilford ,HD01_VD09,2006,Estimate; Male: - 11th grade,2994,860.26,438.91,14.66
United States,HD01_VD10,2006,"Estimate; Male: - 12th grade, no diploma",2102043,28419.4,14499.69,0.69
North Carolina,HD01_VD10,2006,"Estimate; Male: - 12th grade, no diploma",51253,4375.15,2232.22,4.36
Durham ,HD01_VD10,2006,"Estimate; Male: - 12th grade, no diploma",1357,611.23,311.85,22.98
Forsyth ,HD01_VD10,2006,"Estimate; Male: - 12th grade, no diploma",2737,1199.83,612.16,22.37
Guilford ,HD01_VD10,2006,"Estimate; Male: - 12th grade, no diploma",2139,785.19,400.61,18.73
United States,HD01_VD11,2006,Estimate; Male: - High school graduate (includes equivalency),28313846,94139.57,48030.39,0.17
North Carolina,HD01_VD11,2006,Estimate; Male: - High school graduate (includes equivalency),840867,16671.32,8505.78,1.01
Durham ,HD01_VD11,2006,Estimate; Male: - High school graduate (includes equivalency),18830,2453.28,1251.67,6.65
Forsyth ,HD01_VD11,2006,Estimate; Male: - High school graduate (includes equivalency),27182,2614.13,1333.74,4.91
Guilford ,HD01_VD11,2006,Estimate; Male: - High school graduate (includes equivalency),33912,2881.02,1469.91,4.33
United States,HD01_VD12,2006,"Estimate; Male: - Some college, less than 1 year",5402596,49288.34,25147.11,0.47
North Carolina,HD01_VD12,2006,"Estimate; Male: - Some college, less than 1 year",157695,7104.85,3624.92,2.3
Durham ,HD01_VD12,2006,"Estimate; Male: - Some college, less than 1 year",3038,1042.55,531.91,17.51
Forsyth ,HD01_VD12,2006,"Estimate; Male: - Some college, less than 1 year",4915,1199.83,612.16,12.45
Guilford ,HD01_VD12,2006,"Estimate; Male: - Some college, less than 1 year",7878,1452.43,741.04,9.41
United States,HD01_VD13,2006,"Estimate; Male: - Some college, 1 or more years, no degree",12416726,63488.51,32392.1,0.26
North Carolina,HD01_VD13,2006,"Estimate; Male: - Some college, 1 or more years, no degree",346528,9963.23,5083.28,1.47
