geo_description,label,year,description,estimate,moe,se,cv
United States,HD01_VD01,2006,Estimate; Total:,137803202,28806.64,14697.27,0.01
North Carolina,HD01_VD01,2006,Estimate; Total:,4194807,4993.53,2547.72,0.06
Durham ,HD01_VD01,2006,Estimate; Total:,80029,34.55,17.63,0.02
Forsyth ,HD01_VD01,2006,Estimate; Total:,147123,303.83,155.02,0.11
Guilford ,HD01_VD01,2006,Estimate; Total:,190167,173.96,88.76,0.05
United States,HD01_VD02,2006,Estimate; Male:,66261515,17736.51,9049.24,0.01
North Carolina,HD01_VD02,2006,Estimate; Male:,2000356,3430.3,1750.15,0.09
Durham ,HD01_VD02,2006,Estimate; Male:,37111,34.55,17.63,0.05
Forsyth ,HD01_VD02,2006,Estimate; Male:,68860,127.49,65.05,0.09
Guilford ,HD01_VD02,2006,Estimate; Male:,89686,334.81,170.82,0.19
United States,HD01_VD03,2006,Estimate; Male: - Less than 9th grade,2342758,25332.26,12924.62,0.55
North Carolina,HD01_VD03,2006,Estimate; Male: - Less than 9th grade,95074,5732.26,2924.62,3.08
Durham ,HD01_VD03,2006,Estimate; Male: - Less than 9th grade,1409,699.4,356.84,25.33
Forsyth ,HD01_VD03,2006,Estimate; Male: - Less than 9th grade,1870,801.87,409.12,21.88
Guilford ,HD01_VD03,2006,Estimate; Male: - Less than 9th grade,2430,716.09,365.35,15.03
United States,HD01_VD04,2006,"Estimate; Male: - 9th to 12th grade, no diploma",5208334,39640.85,20224.92,0.39
North Carolina,HD01_VD04,2006,"Estimate; Male: - 9th to 12th grade, no diploma",208890,9079.15,4632.22,2.22
Durham ,HD01_VD04,2006,"Estimate; Male: - 9th to 12th grade, no diploma",1702,756.6,386.02,22.68
Forsyth ,HD01_VD04,2006,"Estimate; Male: - 9th to 12th grade, no diploma",6098,1651.4,842.55,13.82
Guilford ,HD01_VD04,2006,"Estimate; Male: - 9th to 12th grade, no diploma",6891,1448.85,739.21,10.73
United States,HD01_VD05,2006,Estimate; Male: - High school graduate (includes equivalency),19886596,71332.09,36393.92,0.18
North Carolina,HD01_VD05,2006,Estimate; Male: - High school graduate (includes equivalency),573616,13249.36,6759.88,1.18
Durham ,HD01_VD05,2006,Estimate; Male: - High school graduate (includes equivalency),6395,1371.4,699.69,10.94
Forsyth ,HD01_VD05,2006,Estimate; Male: - High school graduate (includes equivalency),16479,2061.28,1051.67,6.38
Guilford ,HD01_VD05,2006,Estimate; Male: - High school graduate (includes equivalency),19812,2073.19,1057.75,5.34
United States,HD01_VD06,2006,"Estimate; Male: - Some college, no degree",13271917,60107.06,30666.87,0.23
North Carolina,HD01_VD06,2006,"Estimate; Male: - Some college, no degree",382928,9029.11,4606.69,1.2
Durham ,HD01_VD06,2006,"Estimate; Male: - Some college, no degree",5706,1329.7,678.42,11.89
Forsyth ,HD01_VD06,2006,"Estimate; Male: - Some college, no degree",13092,1867.06,952.58,7.28
Guilford ,HD01_VD06,2006,"Estimate; Male: - Some college, no degree",18932,2362.72,1205.47,6.37
United States,HD01_VD07,2006,Estimate; Male: - Associate's degree,4736962,32674.21,16670.52,0.35
North Carolina,HD01_VD07,2006,Estimate; Male: - Associate's degree,156e3,8019.91,4091.79,2.62
Durham ,HD01_VD07,2006,Estimate; Male: - Associate's degree,2376,829.28,423.1,17.81
Forsyth ,HD01_VD07,2006,Estimate; Male: - Associate's degree,4864,1179.57,601.82,12.37
Guilford ,HD01_VD07,2006,Estimate; Male: - Associate's degree,6270,1168.85,596.35,9.51
United States,HD01_VD08,2006,Estimate; Male: - Bachelor's degree,12889707,68074.55,34731.91,0.27
North Carolina,HD01_VD08,2006,Estimate; Male: - Bachelor's degree,378179,9954.89,5079.03,1.34
Durham ,HD01_VD08,2006,Estimate; Male: - Bachelor's degree,9380,1598.98,815.81,8.7
Forsyth ,HD01_VD08,2006,Estimate; Male: - Bachelor's degree,16777,2083.91,1063.22,6.34
Guilford ,HD01_VD08,2006,Estimate; Male: - Bachelor's degree,23618,2284.09,1165.35,4.93
United States,HD01_VD09,2006,Estimate; Male: - Graduate degree,7925241,42688.68,21779.94,0.27
North Carolina,HD01_VD09,2006,Estimate; Male: - Graduate degree,205669,6959.49,3550.76,1.73
Durham ,HD01_VD09,2006,Estimate; Male: - Graduate degree,10143,1271.32,648.63,6.39
Forsyth ,HD01_VD09,2006,Estimate; Male: - Graduate degree,9680,1272.51,649.24,6.71
Guilford ,HD01_VD09,2006,Estimate; Male: - Graduate degree,11733,1563.23,797.57,6.8
United States,HD01_VD10,2006,Estimate; Female:,71541687,15665.7,7992.7,0.01
North Carolina,HD01_VD10,2006,Estimate; Female:,2194451,2897.7,1478.42,0.07
Durham ,HD01_VD10,2006,Estimate; Female:,42918,334.81,170.82,0.4
Forsyth ,HD01_VD10,2006,Estimate; Female:,78263,209.7,106.99,0.14
Guilford ,HD01_VD10,2006,Estimate; Female:,100481,173.96,88.76,0.09
United States,HD01_VD11,2006,Estimate; Female: - Less than 9th grade,2430134,29370.21,14984.8,0.62
North Carolina,HD01_VD11,2006,Estimate; Female: - Less than 9th grade,94591,5918.13,3019.45,3.19
Durham ,HD01_VD11,2006,Estimate; Female: - Less than 9th grade,1143,649.36,331.31,28.99
Forsyth ,HD01_VD11,2006,Estimate; Female: - Less than 9th grade,2123,692.26,353.19,16.64
Guilford ,HD01_VD11,2006,Estimate; Female: - Less than 9th grade,3792,1024.68,522.8,13.79
United States,HD01_VD12,2006,"Estimate; Female: - 9th to 12th grade, no diploma",5382004,38232.51,19506.38,0.36
North Carolina,HD01_VD12,2006,"Estimate; Female: - 9th to 12th grade, no diploma",203279,8181.96,4174.47,2.05
Durham ,HD01_VD12,2006,"Estimate; Female: - 9th to 12th grade, no diploma",1798,793.53,404.86,22.52
Forsyth ,HD01_VD12,2006,"Estimate; Female: - 9th to 12th grade, no diploma",5408,1042.55,531.91,9.84
Guilford ,HD01_VD12,2006,"Estimate; Female: - 9th to 12th grade, no diploma",7037,1594.21,813.37,11.56
United States,HD01_VD13,2006,Estimate; Female: - High school graduate (includes equivalency),22420614,72932.26,37210.34,0.17
North Carolina,HD01_VD13,2006,Estimate; Female: - High school graduate (includes equivalency),639370,11217.87,5723.4,0.9
Durham ,HD01_VD13,2006,Estimate; Female: - High school graduate (includes equivalency),7329,1389.28,708.82,9.67
Forsyth ,HD01_VD13,2006,Estimate; Female: - High school graduate (includes equivalency),22143,2244.77,1145.29,5.17
Guilford ,HD01_VD13,2006,Estimate; Female: - High school graduate (includes equivalency),26340,2529.53,1290.58,4.9
United States,HD01_VD14,2006,"Estimate; Female: - Some college, no degree",14923085,63792.34,32547.11,0.22
North Carolina,HD01_VD14,2006,"Estimate; Female: - Some college, no degree",454228,11409.7,5821.28,1.28
Durham ,HD01_VD14,2006,"Estimate; Female: - Some college, no degree",5893,1247.49,636.47,10.8
Forsyth ,HD01_VD14,2006,"Estimate; Female: - Some college, no degree",16575,2230.47,1137.99,6.87
Guilford ,HD01_VD14,2006,"Estimate; Female: - Some college, no degree",19757,2251.91,1148.93,5.82
United States,HD01_VD15,2006,Estimate; Female: - Associate's degree,6016940,47314.04,24139.82,0.4
North Carolina,HD01_VD15,2006,Estimate; Female: - Associate's degree,210667,8189.11,4178.12,1.98
Durham ,HD01_VD15,2006,Estimate; Female: - Associate's degree,3861,1284.43,655.32,16.97
Forsyth ,HD01_VD15,2006,Estimate; Female: - Associate's degree,6936,1674.04,854.1,12.31
Guilford ,HD01_VD15,2006,Estimate; Female: - Associate's degree,8047,1634.72,834.04,10.36
United States,HD01_VD16,2006,Estimate; Female: - Bachelor's degree,13067155,45940.26,23438.91,0.18
North Carolina,HD01_VD16,2006,Estimate; Female: - Bachelor's degree,405543,9988.26,5096.05,1.26
Durham ,HD01_VD16,2006,Estimate; Female: - Bachelor's degree,13385,1638.3,835.87,6.24
Forsyth ,HD01_VD16,2006,Estimate; Female: - Bachelor's degree,16815,1926.64,982.98,5.85
Guilford ,HD01_VD16,2006,Estimate; Female: - Bachelor's degree,25976,2195.91,1120.36,4.31
United States,HD01_VD17,2006,Estimate; Female: - Graduate degree,7301755,45115.74,23018.23,0.32
North Carolina,HD01_VD17,2006,Estimate; Female: - Graduate degree,186773,6426.89,3279.03,1.76
Durham ,HD01_VD17,2006,Estimate; Female: - Graduate degree,9509,1396.43,712.46,7.49
Forsyth ,HD01_VD17,2006,Estimate; Female: - Graduate degree,8263,1161.7,592.7,7.17
Guilford ,HD01_VD17,2006,Estimate; Female: - Graduate degree,9532,1390.47,709.42,7.44
United States,HD01_VD01,2007,Estimate; Total:,138467828,25655.15,13089.36,0.01
North Carolina,HD01_VD01,2007,Estimate; Total:,4254597,6032.51,3077.81,0.07
Durham ,HD01_VD01,2007,Estimate; Total:,81972,96.51,49.24,0.06
Forsyth ,HD01_VD01,2007,Estimate; Total:,148525,336,171.43,0.12
Guilford ,HD01_VD01,2007,Estimate; Total:,193040,341.96,174.47,0.09
United States,HD01_VD02,2007,Estimate; Male:,66635365,18321.53,9347.72,0.01
North Carolina,HD01_VD02,2007,Estimate; Male:,2018835,4381.11,2235.26,0.11
Durham ,HD01_VD02,2007,Estimate; Male:,37997,96.51,49.24,0.13
Forsyth ,HD01_VD02,2007,Estimate; Male:,69237,336,171.43,0.25
Guilford ,HD01_VD02,2007,Estimate; Male:,90836,341.96,174.47,0.19
United States,HD01_VD03,2007,Estimate; Male: - Less than 9th grade,2214770,26255.66,13395.74,0.6
North Carolina,HD01_VD03,2007,Estimate; Male: - Less than 9th grade,96997,6219.57,3173.25,3.27
Durham ,HD01_VD03,2007,Estimate; Male: - Less than 9th grade,754,523.06,266.87,35.39
Forsyth ,HD01_VD03,2007,Estimate; Male: - Less than 9th grade,2462,723.23,368.99,14.99
Guilford ,HD01_VD03,2007,Estimate; Male: - Less than 9th grade,2896,850.72,434.04,14.99
United States,HD01_VD04,2007,"Estimate; Male: - 9th to 12th grade, no diploma",5053219,40037.62,20427.36,0.4
North Carolina,HD01_VD04,2007,"Estimate; Male: - 9th to 12th grade, no diploma",207351,8633.53,4404.86,2.12
Durham ,HD01_VD04,2007,"Estimate; Male: - 9th to 12th grade, no diploma",1952,743.49,379.33,19.43
Forsyth ,HD01_VD04,2007,"Estimate; Male: - 9th to 12th grade, no diploma",5697,1237.96,631.61,11.09
Guilford ,HD01_VD04,2007,"Estimate; Male: - 9th to 12th grade, no diploma",5866,1268.94,647.42,11.04
