"","V1","V2","V3","V4","V5"
"NAME","Durham County, North Carolina","Forsyth County, North Carolina","Guilford County, North Carolina","North Carolina","United States"
"Total Population0099AA17","   311640","   376320","   526953"," 10273419","325719178"
"Total Population0099AA17_SE","0","0","0","0","0"
"Pop2599AA17","   215089","   252493","   353213","  6991185","221250083"
"Pop2599AA17_SE","    6.68693","  225.53191","  336.77812"," 5082.67477","45818.84498"
"Pop2599MA17","    99846","   116707","   163720","  3308297","106901803"
"Pop2599MA17_SE","  424.92401","  334.95441","   94.83283"," 4051.67173","26886.93009"
"Pop2599FA17","   115243","   135786","   189493","  3682888","114348280"
"Pop2599FA17_SE","  424.3161","  306.3830","  351.3678"," 3334.3465","23772.0365"
"Assoc_p2599MA17","   50638","   47459","   72153"," 1261395","41588192"
"Assoc_p2599MA17_SE"," 1849.712"," 1885.197"," 2482.591","10261.590","68364.054"
"Assoc_p2599FA17","   65195","   58751","   87327"," 1587508","47938482"
"Assoc_p2599FA17_SE"," 2530.244"," 2023.379"," 2698.321","10821.940","70241.829"
"Assoc_p2599AA17","  115833","  106210","  159480"," 2848903","89526674"
"Assoc_p2599AA17_SE"," 3134.258"," 2765.507"," 3666.633","14913.571","98018.154"
"Pct_Assoc_p2599AA17","0.5385352","0.4206453","0.4515123","0.4074993","0.4046402"
"Pct_Assoc_p2599AA17_SE","0.0145719204","0.0109592510","0.0103897211","0.0021536702","0.0004508752"
"Pct_Assoc_p2599MA17","0.5071610","0.4066508","0.4407097","0.3812823","0.3890317"
"Pct_Assoc_p2599MA17_SE","0.0186509595","0.0161953555","0.0151657903","0.0031367261","0.0006469453"
"Pct_Assoc_p2599FA17","0.5657177","0.4326735","0.4608455","0.4310498","0.4192322"
"Pct_Assoc_p2599FA17_SE","0.0220543138","0.0149331823","0.0142653041","0.0029642403","0.0006204317"
"Pop2599AW17","   103284","   158505","   197642","  4722706","143648000"
"Pop2599AW17_SE","  125.8359","  100.9119","  148.3283"," 1914.8936","12824.3161"
"Assoc_p2599AW17","   72909","   78931","  105743"," 2145886","64396222"
"Assoc_p2599AW17_SE"," 2025.048"," 2191.094"," 2707.051","12863.829","76003.282"
"Pct_Assoc_p2599AW17","0.7059080","0.4979717","0.5350229","0.4543764","0.4482918"
"Pct_Assoc_p2599AW17_SE","0.0196254514","0.0138271346","0.0137026243","0.0027300494","0.0005306054"
"Pop2599AB17","   74922","   62605","  112675"," 1439450","26472921"
"Pop2599AB17_SE","  887.5380","  672.9483","  607.2948"," 4545.2888","22670.5167"
"Assoc_p2599AB17","  26100","  19027","  38821"," 424825","7911200"
"Assoc_p2599AB17_SE"," 1839.467"," 1381.983"," 2302.204"," 6629.751","31856.739"
"Pct_Assoc_p2599AB17","0.3483623","0.3039214","0.3445396","0.2951301","0.2988412"
"Pct_Assoc_p2599AB17_SE","0.024896160","0.022315065","0.020516468","0.004699089","0.001230282"
"Pop2599AH17","   21607","   22690","   20662","  476705","33474043"
"Pop2599AH17_SE","    0.000","    0.000","    0.000"," 2465.046","16381.763"
"Assoc_p2599AH17","   4920","   3363","   4522","  97080","7556224"
"Assoc_p2599AH17_SE","  760.3136","  566.1735","  681.6580"," 3246.5302","30381.3608"
"Pct_Assoc_p2599AH17","0.2277040","0.1482151","0.2188559","0.2036480","0.2257338"
