,V1,V2,V3,V4,V5
GEOID,1,37,37063,37067,37081
NAME,United States,North Carolina,"Durham County, North Carolina","Forsyth County, North Carolina","Guilford County, North Carolina"
Total Population0099AA17,325719178,10273419,311640,376320,526953
Total Population0099AA17_SE,0,0,0,0,0
Pop2599AA17,221250083,6991185,215089,252493,353213
Pop2599AA17_SE,45818.84498,5082.67477,6.68693,225.53191,336.77812
Pop2599MA17,106901803,3308297,99846,116707,163720
Pop2599MA17_SE,26886.93009,4051.67173,424.92401,334.95441,94.83283
Pop2599FA17,114348280,3682888,115243,135786,189493
Pop2599FA17_SE,23772.0365,3334.3465,424.3161,306.383,351.3678
Assoc_p2599MA17,41588192,1261395,50638,47459,72153
Assoc_p2599MA17_SE,68364.054,10261.59,1849.712,1885.197,2482.591
Assoc_p2599FA17,47938482,1587508,65195,58751,87327
Assoc_p2599FA17_SE,70241.829,10821.94,2530.244,2023.379,2698.321
Assoc_p2599AA17,89526674,2848903,115833,106210,159480
Assoc_p2599AA17_SE,98018.154,14913.571,3134.258,2765.507,3666.633
Pct_Assoc_p2599AA17,0.4046402,0.4074993,0.5385352,0.4206453,0.4515123
Pct_Assoc_p2599AA17_SE,0.000450875,0.00215367,0.01457192,0.010959251,0.010389721
Pct_Assoc_p2599MA17,0.3890317,0.3812823,0.507161,0.4066508,0.4407097
Pct_Assoc_p2599MA17_SE,0.000646945,0.003136726,0.01865096,0.016195356,0.01516579
Pct_Assoc_p2599FA17,0.4192322,0.4310498,0.5657177,0.4326735,0.4608455
Pct_Assoc_p2599FA17_SE,0.000620432,0.00296424,0.022054314,0.014933182,0.014265304
Pop2599AW17,143648000,4722706,103284,158505,197642
Pop2599AW17_SE,12824.3161,1914.8936,125.8359,100.9119,148.3283
Assoc_p2599AW17,64396222,2145886,72909,78931,105743
Assoc_p2599AW17_SE,76003.282,12863.829,2025.048,2191.094,2707.051
Pct_Assoc_p2599AW17,0.4482918,0.4543764,0.705908,0.4979717,0.5350229
Pct_Assoc_p2599AW17_SE,0.000530605,0.002730049,0.019625451,0.013827135,0.013702624
Pop2599AB17,26472921,1439450,74922,62605,112675
Pop2599AB17_SE,22670.5167,4545.2888,887.538,672.9483,607.2948
Assoc_p2599AB17,7911200,424825,26100,19027,38821
Assoc_p2599AB17_SE,31856.739,6629.751,1839.467,1381.983,2302.204
Pct_Assoc_p2599AB17,0.2988412,0.2951301,0.3483623,0.3039214,0.3445396
Pct_Assoc_p2599AB17_SE,0.001230282,0.004699089,0.02489616,0.022315065,0.020516468
Pop2599AH17,33474043,476705,21607,22690,20662
Pop2599AH17_SE,16381.763,2465.046,0,0,0
Assoc_p2599AH17,7556224,97080,4920,3363,4522
Assoc_p2599AH17_SE,30381.3608,3246.5302,760.3136,566.1735,681.658
Pct_Assoc_p2599AH17,0.2257338,0.203648,0.227704,0.1482151,0.2188559
Pct_Assoc_p2599AH17_SE,0.000914308,0.00689129,0.035188298,0.024952558,0.032990899
Pop2534AA17,44965735,1352154,56307,48949,72265
Pop2534AA17_SE,20328.3315,4909.9388,367.6304,302.619,592.5178
Pop3544AA17,41117905,1305272,43843,45855,65562
Pop3544AA17_SE,19299.5547,4383.3074,408.2052,348.843,495.3635
Pop4564AA17,84350731,2703761,75700,99712,137190
Pop4564AA17_SE,23262.3445,4870.7787,635.9037,470.8955,184.2196
Pop6599AA17,50815712,1629998,39239,57977,78196
Pop6599AA17_SE,11575.1031,2632.3048,518.2759,377.3407,117.3504
Assoc_p2534AA17,20081635,601925,34467,21324,32056
Assoc_p2534AA17_SE,48682.063,8016.501,1503.153,1342.607,1813.692
Assoc_p3544AA17,18579324,597738,23130,19752,33333
Assoc_p3544AA17_SE,40884.664,7105.663,1411.283,1196.384,1766.15
Assoc_p4564AA17,33678775,1108221,40422,44756,65015
Assoc_p4564AA17_SE,54974.009,8569.307,1828.393,1825.363,2176.072
Assoc_p6599AA17,17186940,541019,17814,20378,29076
Assoc_p6599AA17_SE,35180.661,6368.569,1156.578,1054.643,1371.876
Pct_Assoc_p2534AA17,0.4465986,0.4451601,0.6121264,0.4356371,0.4435896
Pct_Assoc_p2534AA17_SE,0.001101313,0.006145105,0.026993172,0.027560597,0.02535996
Pct_Assoc_p3544AA17,0.4518548,0.4579413,0.5275643,0.4307491,0.5084195
Pct_Assoc_p3544AA17_SE,0.001016695,0.005656863,0.032562095,0.026295569,0.027211141
Pct_Assoc_p4564AA17,0.3992707,0.4098813,0.5339762,0.4488527,0.4739048
Pct_Assoc_p4564AA17_SE,0.000660968,0.00325428,0.024566134,0.018428667,0.015874497
Pct_Assoc_p6599AA17,0.338221,0.3319139,0.4539871,0.3514842,0.3718349
Pct_Assoc_p6599AA17_SE,0.000696592,0.003943699,0.03007898,0.018334,0.017552944
Pop2599AA16,218475480,6877185,209945,247842,347807
Pop2599AA16_SE,41710.0304,4581.7629,320.3647,342.8571,190.2736
Pop2599MA16,105466484,3256354,97730,114600,160937
Pop2599MA16_SE,23844.3769,3379.9392,477.8116,276.5957,211.5502
Pop2599FA16,113008996,3620831,112215,133242,186870
Pop2599FA16_SE,22182.9787,3458.3587,467.4772,256.535,109.4225
Assoc_p2599MA16,40339023,1225652,51648,46902,64705
Assoc_p2599MA16_SE,61417.138,9554.381,2058.129,1647.655,2180.635
Assoc_p2599FA16,46255095,1520319,63251,59930,80256
Assoc_p2599FA16_SE,67705.992,11136.129,2389.644,2066.182,2698.141
Assoc_p2599AA16,86594118,2745971,114899,106832,144961
Assoc_p2599AA16_SE,91412.068,14673.09,3153.774,2642.702,3469.169
Pct_Assoc_p2599AA16,0.3963562,0.3992871,0.5472814,0.4310488,0.4167857
