"","NAME","Year","Age","Race_Eth","Gender","Forsyth_Est","NC_Est","Guilford_Est","Durham_Est","Forsyth_SE","NC_SE","Guilford_SE","Durham_SE","Forsyth_CV","NC_CV","Guilford_CV","Durham_CV"
"1","Pct_Assoc_p2534AA06","2006","2534","ALL","ALL",0.3808246,0.354797,0.392577,0.4909502,0.027351642,0.005714806,0.02240807,0.028829319,7.18221511950646,1.61072556983289,5.70794264564659,5.87214731758944
"2","Pct_Assoc_p2534AA07","2007","2534","ALL","ALL",0.3430503,0.3611966,0.3976513,0.5317271,0.02523793,0.00538306,0.02429503,0.03639962,7.35691821286849,1.49034071749291,6.10963173011128,6.84554539349226
"3","Pct_Assoc_p2534AA08","2008","2534","ALL","ALL",0.3999954,0.3599123,0.3934787,0.5271473,0.027681953,0.005441013,0.023272843,0.033617656,6.92056783653012,1.51176078172377,5.91463858145308,6.37727936764544
"4","Pct_Assoc_p2534AA09","2009","2534","ALL","ALL",0.4007349,0.3853128,0.3797432,0.5657623,0.027187267,0.005816593,0.023939028,0.034578273,6.78435219892253,1.50957689440891,6.30400439033536,6.11180225334915
"5","Pct_Assoc_p2534AA10","2010","2534","ALL","ALL",0.3755758,0.372325,0.421787,0.5653584,0.026353826,0.005456285,0.026258484,0.028971519,7.01691269778298,1.46546296918015,6.22553184427211,5.12445185213486
"6","Pct_Assoc_p2534AA11","2011","2534","ALL","ALL",0.3923402,0.3856394,0.4586041,0.5163077,0.028795707,0.006836737,0.028132753,0.034761515,7.33947400750675,1.77283156233518,6.13443120111661,6.73271287644945
"7","Pct_Assoc_p2534AA12","2012","2534","ALL","ALL",0.3854545,0.3896368,0.4216841,0.5833432,0.026209076,0.005191543,0.021813146,0.03041916,6.79952523579307,1.33240571732444,5.17286423652208,5.214624941201
"8","Pct_Assoc_p2534AA13","2013","2534","ALL","ALL",0.4176673,0.4014146,0.4306298,0.6142141,0.024941703,0.005424478,0.023628527,0.032139129,5.97166764072744,1.351340484377,5.48696978239778,5.23256125185013
"9","Pct_Assoc_p2534AA14","2014","2534","ALL","ALL",0.403813,0.4082995,0.461419,0.5914379,0.028371478,0.005327123,0.025554215,0.029252793,7.0258951544403,1.30470965553472,5.538180048936,4.94604640656272
"10","Pct_Assoc_p2534AA15","2015","2534","ALL","ALL",0.4771976,0.4138384,0.4060638,0.5681973,0.030477754,0.005739732,0.025632908,0.029657363,6.38682047017839,1.38695007519843,6.31253216859026,5.21955366560172
"11","Pct_Assoc_p2534AA16","2016","2534","ALL","ALL",0.4249475,0.4285166,0.408203,0.6372486,0.02927616,0.005833964,0.024441014,0.029759166,6.88935927379264,1.36143243925673,5.98746555022869,4.66994607755906
"12","Pct_Assoc_p2534AA17","2017","2534","ALL","ALL",0.4356371,0.4451601,0.4435896,0.6121264,0.027560597,0.006145105,0.02535996,0.026993172,6.3265036425961,1.38042582881979,5.71698705289754,4.40973825013919
"13","Pct_Assoc_p2599AA06","2006","2599","ALL","ALL",0.3838355,0.3295067,0.3841367,0.4722406,0.011335142,0.002096452,0.009624882,0.014544578,2.95312497150472,0.636239566600619,2.50558772437,3.0799084195641
"14","Pct_Assoc_p2599AA07","2007","2599","ALL","ALL",0.3784274,0.338707,0.3932144,0.4905446,0.010823129,0.002115854,0.010180066,0.014668631,2.86002784153579,0.624685642753176,2.58893519667642,2.99027468654226
"15","Pct_Assoc_p2599AA08","2008","2599","ALL","ALL",0.381205,0.3423581,0.3881542,0.5081079,0.011211101,0.002166101,0.009561413,0.015919951,2.94096378588948,0.632700380099083,2.46330272865784,3.1331831290165
"16","Pct_Assoc_p2599AA09","2009","2599","ALL","ALL",0.3609818,0.3507684,0.3828357,0.5082445,0.010393243,0.002217133,0.00964178,0.017100893,2.87915983575903,0.632078887379821,2.51851642884924,3.36469809314218
"17","Pct_Assoc_p2599AA10","2010","2599","ALL","ALL",0.3828244,0.3508011,0.3964739,0.510054,0.011571322,0.00228479,0.009997635,0.014893023,3.02261872545219,0.651306395561474,2.52163761599439,2.91989142326107
"18","Pct_Assoc_p2599AA11","2011","2599","ALL","ALL",0.3879045,0.3564763,0.4052116,0.477195,0.011883929,0.002560682,0.011519135,0.016374111,3.06362236065836,0.718331625412405,2.84274561735153,3.43132493006004
"19","Pct_Assoc_p2599AA12","2012","2599","ALL","ALL",0.3928842,0.3602387,0.3930412,0.5206864,0.01000445,0.002096496,0.00865979,0.014291797,2.54641189439535,0.581974118827322,2.20327792608001,2.74479936483841
