year,district,group,total,percent
2017-2018,Forsyth,ALL,4570,0.845
2017-2018,Forsyth,M,2366,0.81
2017-2018,Forsyth,F,2204,0.882
2017-2018,Forsyth,B,1307,0.842
2017-2018,Forsyth,H,990,0.754
2017-2018,Forsyth,W,1978,0.893
2017-2018,Forsyth,EDS,1554,0.797
2017-2018,Guilford,ALL,6056,0.893
2017-2018,Guilford,M,3018,0.863
2017-2018,Guilford,F,3038,0.923
2017-2018,Guilford,B,2477,0.877
2017-2018,Guilford,H,740,0.804
2017-2018,Guilford,W,2211,0.939
2017-2018,Guilford,EDS,2397,0.844
2017-2018,Durham,ALL,2878,0.815
2017-2018,Durham,M,1505,0.777
2017-2018,Durham,F,1373,0.857
2017-2018,Durham,B,1435,0.831
2017-2018,Durham,H,782,0.714
2017-2018,Durham,W,500,0.91
2017-2018,Durham,EDS,1323,0.758
2016-2017,Durham,ALL,2668,0.814
2016-2017,Durham,M,1306,0.77
2016-2017,Durham,F,1361,0.857
2016-2017,Durham,B,1398,0.821
2016-2017,Durham,H,646,0.707
2016-2017,Durham,W,483,0.917
2016-2017,Durham,EDS,1204,0.758
2015-2016,Durham,ALL,2532,0.823
2015-2016,Durham,M,1242,0.778
2015-2016,Durham,F,1290,0.867
2015-2016,Durham,B,1396,0.815
2015-2016,Durham,H,515,0.773
2015-2016,Durham,W,470,0.894
2015-2016,Durham,EDS,1163,0.782
2014-2015,Durham,ALL,2461,0.807
2014-2015,Durham,M,1234,0.754
2014-2015,Durham,F,1227,0.859
2014-2015,Durham,B,1420,0.796
2014-2015,Durham,H,436,0.722
2014-2015,Durham,W,472,0.903
2014-2015,Durham,EDS,1100,0.764
2013-2014,Durham,ALL,2362,0.815
2013-2014,Durham,M,1136,0.758
2013-2014,Durham,F,1226,0.869
2013-2014,Durham,B,1313,0.789
2013-2014,Durham,H,393,0.723
2013-2014,Durham,W,525,0.928
2013-2014,Durham,EDS,1148,0.748
2013-2014,NC,ALL,109714,0.839
2013-2014,NC,M,55846,0.803
2013-2014,NC,F,53868,0.876
2013-2014,NC,B,29949,0.799
2013-2014,NC,H,12008,0.774
2013-2014,NC,W,59493,0.871
2013-2014,NC,EDS,47828,0.78
2014-2015,NC,ALL,110473,0.856
2014-2015,NC,M,56294,0.822
2014-2015,NC,F,54179,0.891
2014-2015,NC,B,30202,0.822
2014-2015,NC,H,12578,0.8
2014-2015,NC,W,59300,0.883
2014-2015,NC,EDS,44047,0.796
2015-2016,NC,ALL,113726,0.859
2015-2016,NC,M,58064,0.828
2015-2016,NC,F,55662,0.891
2015-2016,NC,B,30240,0.829
2015-2016,NC,H,13808,0.801
2015-2016,NC,W,60649,0.886
2015-2016,NC,EDS,45392,0.806
2016-2017,NC,ALL,115730,0.865
2016-2017,NC,M,58885,0.835
2016-2017,NC,F,56844,0.897
2016-2017,NC,B,30855,0.839
2016-2017,NC,H,15279,0.805
2016-2017,NC,W,60630,0.893
2016-2017,NC,EDS,46465,0.818
2017-2018,NC,ALL,120079,0.863
2017-2018,NC,M,61374,0.832
2017-2018,NC,F,58705,0.896
2017-2018,NC,B,31747,0.832
2017-2018,NC,H,17504,0.799
2017-2018,NC,W,61271,0.896
2017-2018,NC,EDS,43880,0.803
2016-17,Guilford,ALL,5943,0.898
2016-17,Guilford,M,3024,0.874
2016-17,Guilford,F,2919,0.922
2016-17,Guilford,B,2454,0.878
2016-17,Guilford,H,636,0.832
2016-17,Guilford,W,2188,0.931
2016-17,Guilford,EDS,2450,0.866
2015-16,Guilford,ALL,5948,0.894
2015-16,Guilford,M,2997,0.877
2015-16,Guilford,F,2951,0.913
2015-16,Guilford,B,2388,0.879
2015-16,Guilford,H,620,0.802
2015-16,Guilford,W,2325,0.934
2015-16,Guilford,EDS,2453,0.863
2014-15,Guilford,ALL,5828,0.893
2014-15,Guilford,M,2950,0.866
2014-15,Guilford,F,2878,0.92
2014-15,Guilford,B,2360,0.881
2014-15,Guilford,H,540,0.846
2014-15,Guilford,W,2295,0.927
2014-15,Guilford,EDS,2517,0.85
2013-14,Guilford,ALL,5763,0.885
2013-14,Guilford,M,2876,0.863
2013-14,Guilford,F,2887,0.908
2013-14,Guilford,B,2383,0.869
2013-14,Guilford,H,458,0.825
2013-14,Guilford,W,2328,0.918
2013-14,Guilford,EDS,2702,0.843
2012-13,Guilford,ALL,5771,0.862
2012-13,Guilford,M,2917,0.822
2012-13,Guilford,F,2854,0.903
2012-13,Guilford,B,2394,0.835
2012-13,Guilford,H,468,0.812
2012-13,Guilford,W,2306,0.912
2012-13,Guilford,EDS,2700,0.817
2016-17,Forsyth,ALL,4227,0.865
2016-17,Forsyth,M,2111,0.836
2016-17,Forsyth,F,2116,0.894
2016-17,Forsyth,B,1245,0.863
2016-17,Forsyth,H,883,0.781
2016-17,Forsyth,W,1838,0.904
