demographic,TOTAL,10_14,15_19,20_24,25_34,35_44,45_54,55_64,65_74,75_84,84_plus,geo_description,year
Total ,46,1,4,3,8,6,4,10,7,1,2,Forsyth ,2017
WM,28,0,1,2,5,3,4,6,5,0,2,Forsyth ,2017
WF,8,0,0,0,1,1,0,3,2,1,0,Forsyth ,2017
BM,8,1,3,1,1,2,0,0,0,0,0,Forsyth ,2017
BF,8,0,0,0,0,0,0,1,0,0,0,Forsyth ,2017
OF,1,0,0,0,1,0,0,0,0,0,0,Forsyth ,2017
Total ,34,0,3,1,6,4,9,5,6,0,0,Durham,2017
WM ,19,0,1,0,2,2,7,3,4,0,0,Durham,2017
WF,8,0,0,1,1,1,1,2,2,0,0,Durham,2017
BM,6,0,1,0,3,1,1,0,0,0,0,Durham,2017
BF,1,0,1,0,0,0,0,0,0,0,0,Durham,2017
Total ,63,4,3,8,13,8,7,7,7,5,1,Guilford,2017
WM,39,2,1,4,7,3,4,6,6,5,1,Guilford,2017
WF,11,0,1,1,1,3,3,1,1,0,0,Guilford,2017
BM,10,1,1,3,4,1,0,0,0,0,0,Guilford,2017
BF,1,1,0,0,0,0,0,0,0,0,0,Guilford,2017
OM,1,0,0,0,0,1,0,0,0,0,0,Guilford,2017
OF,1,0,0,0,1,0,0,0,0,0,0,Guilford,2017
Total ,1527,20,59,121,257,242,278,250,163,98,39,North Carolina,2017
WM,1019,9,33,73,162,137,180,179,123,85,38,North Carolina,2017
WF,291,3,6,14,36,59,76,55,32,9,1,North Carolina,2017
BM,116,3,11,20,35,20,14,7,5,1,0,North Carolina,2017
BF,30,2,3,5,7,4,1,6,2,0,0,North Carolina,2017
OM,47,2,4,6,12,15,3,3,0,2,0,North Carolina,2017
OF,24,1,2,3,5,7,4,0,1,1,0,North Carolina,2017
Total,43,1,1,6,4,4,9,12,3,2,1,Forsyth ,2016
WM,24,1,1,4,3,1,6,5,2,1,0,Forsyth ,2016
WF,11,0,0,1,4,3,1,3,1,1,1,Forsyth ,2016
BM,5,0,0,1,1,0,2,1,0,0,0,Forsyth ,2016
BF,1,0,0,0,0,0,0,1,0,0,0,Forsyth ,2016
OM,1,0,0,0,0,0,0,1,0,0,0,Forsyth ,2016
OF,1,0,0,0,0,0,0,1,0,0,0,Forsyth ,2016
Total,22,0,2,2,5,3,3,4,3,0,0,Durham,2016
WM,12,0,1,1,3,1,2,3,0,0,0,Durham,2016
WF,5,0,1,0,0,1,0,1,0,0,0,Durham,2016
BM,2,0,0,1,0,0,1,0,0,0,0,Durham,2016
BF,1,0,0,0,0,1,0,0,0,0,0,Durham,2016
OM,2,0,0,0,2,0,0,0,0,0,0,Durham,2016
Total,60,0,3,3,7,14,12,11,6,4,0,Guilford,2016
WM,37,0,1,2,4,11,3,10,3,3,0,Guilford,2016
WF,16,0,2,0,2,2,6,1,2,1,0,Guilford,2016
BM,2,0,0,0,0,1,1,0,0,0,0,Guilford,2016
BF,2,0,0,0,1,0,0,0,1,0,0,Guilford,2016
OM,3,0,0,1,0,0,2,0,0,0,0,Guilford,2016
TOTAL,1370,15,62,111,191,229,258,251,141,80,32,North Carolina,2016
WM,874,8,38,64,113,142,155,169,95,65,25,North Carolina,2016
WF,314,3,9,15,31,63,79,64,32,12,6,North Carolina,2016
BM,83,2,8,11,25,14,11,6,5,1,0,North Carolina,2016
BF,27,0,4,2,8,2,4,4,2,1,0,North Carolina,2016
OM,54,1,3,14,11,7,8,5,3,1,1,North Carolina,2016
OF,18,1,0,5,3,1,1,3,4,0,0,North Carolina,2016
Total,44,1,3,1,7,11,5,5,6,5,0,Forsyth ,2015
WM,27,1,2,1,3,7,2,2,5,4,0,Forsyth ,2015
WF,8,0,0,0,0,2,2,2,1,1,0,Forsyth ,2015
BM,5,0,0,0,2,1,1,1,0,0,0,Forsyth ,2015
OM,4,0,1,0,2,1,0,0,0,0,0,Forsyth ,2015
TOTAL,25,1,2,4,4,5,3,6,0,0,0,Durham,2015
WM,9,0,1,0,2,4,0,2,0,0,0,Durham,2015
WF,8,0,0,1,2,1,1,3,0,0,0,Durham,2015
BM,6,1,0,3,0,0,2,0,0,0,0,Durham,2015
BF,1,0,0,0,0,0,0,1,0,0,0,Durham,2015
OM,1,0,1,0,0,0,0,0,0,0,0,Durham,2015
TOTAL,71,1,3,5,13,6,16,18,6,2,1,Guilford,2015
WM,49,1,3,4,10,4,11,12,2,1,1,Guilford,2015
WF,13,0,0,0,2,2,0,6,3,0,0,Guilford,2015
BM,4,0,0,1,1,0,1,0,1,0,0,Guilford,2015
BF,1,0,0,0,0,0,1,0,0,0,0,Guilford,2015
OM,3,0,0,0,0,0,2,0,0,1,0,Guilford,2015
OF,1,0,0,0,0,0,1,0,0,0,0,Guilford,2015
TOTAL,1403,10,58,95,185,222,309,260,141,82,41,North Carolina,2015
WM,926,7,30,57,121,143,199,165,101,65,38,North Carolina,2015
WF,307,1,11,11,32,54,78,75,30,13,2,North Carolina,2015
BM,94,1,8,20,20,15,15,9,5,0,1,North Carolina,2015
BF,18,0,4,1,0,3,6,3,1,0,0,North Carolina,2015
OM,48,1,5,4,11,5,8,7,3,4,0,North Carolina,2015
OF,10,0,0,2,1,2,3,1,1,0,0,North Carolina,2015
TOTAL,42,1,3,4,4,5,5,13,3,1,3,Forsyth ,2014
WM,23,0,2,1,2,3,1,9,3,0,2,Forsyth ,2014
WF,14,1,1,1,0,2,4,3,0,1,1,Forsyth ,2014
BM,2,0,0,1,0,0,0,1,0,0,0,Forsyth ,2014
BF,1,0,0,0,1,0,0,0,0,0,0,Forsyth ,2014
OM,2,0,0,1,1,0,0,0,0,0,0,Forsyth ,2014
TOTAL,27,1,2,0,6,4,4,4,3,1,2,Durham,2014
WM,14,0,1,0,3,1,2,2,2,1,2,Durham,2014
WF,3,0,0,0,1,0,1,1,0,0,0,Durham,2014
BM,8,1,0,0,1,3,1,1,1,0,0,Durham,2014
OM,1,0,1,0,0,0,0,0,0,0,0,Durham,2014
OF,1,0,0,0,1,0,0,0,0,0,0,Durham,2014
TOTAL,43,1,3,1,10,14,6,4,1,1,2,Guilford,2014
WM,27,1,2,0,4,10,2,2,1,0,2,Guilford,2014
WF,10,0,1,0,2,1,3,2,0,1,0,Guilford,2014
BM,7,0,0,1,3,3,0,0,0,0,0,Guilford,2014
BF,1,0,0,0,1,0,0,0,0,0,0,Guilford,2014
OM,1,0,0,0,0,0,1,0,0,0,0,Guilford,2014
TOTAL,1347,14,67,94,199,221,243,258,152,69,29,North Carolina,2014
WM,845,6,39,54,113,128,145,167,116,53,24,North Carolina,2014
WF,323,6,11,17,42,62,68,72,26,16,3,North Carolina,2014
BM,91,2,8,12,16,19,15,11,7,0,1,North Carolina,2014
BF,32,0,4,4,11,4,5,2,0,0,1,North Carolina,2014
OM,46,0,5,6,15,6,6,6,2,0,0,North Carolina,2014
OF,10,0,0,1,2,2,4,0,1,0,0,North Carolina,2014
TOTAL,41,0,0,4,7,6,6,10,4,1,3,Forsyth ,2013
WM,27,0,0,2,4,4,5,6,2,1,3,Forsyth ,2013
WF,8,0,0,2,1,0,1,3,1,0,0,Forsyth ,2013
BM,4,0,0,0,2,1,0,0,1,0,0,Forsyth ,2013
BF,2,0,0,0,0,1,0,1,0,0,0,Forsyth ,2013
TOTAL,27,0,0,4,2,3,6,7,2,2,1,Durham,2013
WM,14,0,0,2,1,2,3,2,2,1,1,Durham,2013
WF,8,0,0,0,1,0,3,3,0,1,0,Durham,2013
BM,3,0,0,2,0,0,0,1,0,0,0,Durham,2013
BF,2,0,0,0,0,1,0,1,0,0,0,Durham,2013
TOTAL,52,1,3,4,9,11,12,6,4,2,0,Guilford,2013
WM,24,0,1,2,3,3,8,5,1,1,0,Guilford,2013
WF,14,0,0,0,2,4,3,1,3,1,0,Guilford,2013
BM,9,0,2,2,3,2,0,0,0,0,0,Guilford,2013
BF,4,0,0,0,1,2,1,0,0,0,0,Guilford,2013
OM,1,1,0,0,0,0,0,0,0,0,0,Guilford,2013
TOTAL,1267,12,40,91,181,208,389,233,121,66,26,North Carolina,2013
WM,869,7,24,61,123,126,199,166,90,51,22,North Carolina,2013
WF,260,2,7,11,24,53,70,57,23,10,3,North Carolina,2013
BM,91,1,6,15,23,15,13,6,7,4,1,North Carolina,2013
BF,23,1,1,1,5,9,1,3,1,1,0,North Carolina,2013
OM,18,1,2,3,3,3,5,1,0,0,0,North Carolina,2013
OF,6,0,0,0,3,2,1,0,0,0,0,North Carolina,2013
TOTAL,37,1,1,1,7,6,9,5,6,1,0,Forsyth ,2012
WM,24,0,0,1,4,3,8,2,6,0,0,Forsyth ,2012
WF,7,0,1,0,2,1,1,1,0,1,0,Forsyth ,2012
BM,4,1,0,0,1,1,0,1,0,0,0,Forsyth ,2012
BF,2,0,0,0,0,1,0,1,0,0,0,Forsyth ,2012
TOTAL,21,0,1,1,3,5,6,2,2,1,0,Durham,2012
WM,6,0,0,1,0,1,2,1,0,1,0,Durham,2012
WF,9,0,1,0,1,2,3,1,1,0,0,Durham,2012
BM,4,0,0,0,1,2,0,0,1,0,0,Durham,2012
BF,1,0,0,0,0,0,1,0,0,0,0,Durham,2012
OF,1,0,0,0,1,0,0,0,0,0,0,Durham,2012
TOTAL,58,1,1,3,12,4,12,14,6,3,2,Guilford,2012
WM,36,1,1,3,5,1,6,10,6,3,0,Guilford,2012
WF,15,0,0,0,3,1,6,4,0,0,1,Guilford,2012
BM,2,0,0,0,1,0,0,0,0,0,1,Guilford,2012
BF,2,0,0,0,1,1,0,0,0,0,0,Guilford,2012
OM,2,0,0,0,1,1,0,0,0,0,0,Guilford,2012
OF,1,0,0,0,1,0,0,0,0,0,0,Guilford,2012
TOTAL,1278,15,43,96,192,180,313,221,124,63,31,North Carolina,2012
WM,859,10,29,64,123,112,206,146,90,50,29,North Carolina,2012
WF,302,3,10,9,44,43,91,63,28,10,1,North Carolina,2012
BM,68,1,3,14,15,12,8,7,5,2,1,North Carolina,2012
BF,19,0,1,3,3,6,4,2,0,0,0,North Carolina,2012
OM,23,1,0,6,4,6,3,2,1,0,0,North Carolina,2012
OF,7,0,0,0,3,1,1,1,0,1,0,North Carolina,2012
TOTAL,41,1,2,4,4,9,8,7,3,3,0,Forsyth ,2011
WM,28,1,1,1,3,7,7,5,2,1,0,Forsyth ,2011
WF,4,0,0,1,0,0,0,1,0,2,0,Forsyth ,2011
BM,5,0,1,2,1,1,0,0,0,0,0,Forsyth ,2011
BF,2,0,0,0,0,0,1,0,1,0,0,Forsyth ,2011
OM,2,0,0,0,0,1,0,1,0,0,0,Forsyth ,2011
TOTAL,28,0,1,2,5,6,6,4,2,1,1,Durham,2011
WM,18,0,0,1,1,4,5,3,2,1,1,Durham,2011
WF,3,0,0,0,0,1,1,1,0,0,0,Durham,2011
BM,6,0,0,1,4,1,0,0,0,0,0,Durham,2011
BF,1,0,1,0,0,0,0,0,0,0,0,Durham,2011
TOTAL,49,0,3,5,9,8,10,8,1,2,3,Guilford,2011
WM,26,0,2,4,5,4,5,3,0,1,2,Guilford,2011
WF,17,0,0,1,2,3,3,5,1,1,1,Guilford,2011
BM,5,0,1,0,1,1,2,0,0,0,0,Guilford,2011
BF,1,0,0,0,1,0,0,0,0,0,0,Guilford,2011
TOTAL,1196,11,44,91,187,208,267,179,125,58,26,North Carolina,2011
WM,806,7,28,61,114,142,175,120,89,50,20,North Carolina,2011
WF,257,2,4,12,28,44,70,50,26,7,4,North Carolina,2011
BM,91,2,4,16,21,16,16,6,7,1,2,North Carolina,2011
BF,12,0,1,1,4,1,4,0,1,0,0,North Carolina,2011
OM,22,0,4,1,9,4,2,1,1,0,0,North Carolina,2011
OF,8,0,3,0,1,1,0,2,1,0,0,North Carolina,2011
TOTAL,41,2,1,4,2,6,9,7,4,5,1,Forsyth ,2010
WM,28,0,0,3,2,4,6,5,3,4,1,Forsyth ,2010
WF,10,1,1,1,0,1,2,2,1,1,0,Forsyth ,2010
BM,2,1,0,0,0,1,0,0,0,0,0,Forsyth ,2010
BF,1,0,0,0,0,0,1,0,0,0,0,Forsyth ,2010
TOTAL,25,0,2,1,3,7,7,2,0,3,0,Durham,2010
WM,15,0,1,0,1,4,4,2,0,3,0,Durham,2010
WF,3,0,1,0,1,1,0,0,0,0,0,Durham,2010
BM,4,0,0,1,1,1,1,0,0,0,0,Durham,2010
