Series ID	Annual 2006	Annual 2007	Annual 2008	Annual 2009	Annual 2010	Annual 2011	Annual 2012	Annual 2013	Annual 2014	Annual 2015	Annual 2016	Annual 2017
CXUAPPARELLB0502M	950	971	922	975	804	1021	865	861	802	957	1019	1007
CXUAPPARELLB0504M	1877	1848	1710	1566	1704	1634	1690	1522	1754	1596	1630	1821
CXUAPPARELLB0505M	2319	2330	2376	2046	2089	2016	2083	1974	2285	2230	2122	1941
CXUAPPARELLB0506M	2710	2859	2494	2571	2515	2404	2631	2486	2691	3390	2843	2788
CXUAPPARELLB0507M	2796	2719	2847	2767	2588	2842	2702	2362	2847	2766	2905	2956
CXUAPPARELLB1101M	1874	1881	1801	1725	1700	1740	1736	1604	1786	1846	1803	1833
CXUAPPARELLB1104M	1737	1692	1772	1786	1506	1615	1662	1453	1592	1656	1711	1675
CXUBOYSLB0502M	10	14	10	9	11	14	13	14	10	11	13	13
CXUBOYSLB0504M	34	27	33	32	29	27	31	22	39	35	50	39
CXUBOYSLB0505M	109	102	102	93	90	102	88	76	122	142	104	115
CXUBOYSLB0506M	230	220	211	200	193	194	242	193	262	221	250	261
CXUBOYSLB0507M	305	280	258	243	250	250	292	230	371	280	380	345
CXUBOYSLB1101M	91	84	83	79	78	80	88	70	104	91	104	100
CXUBOYSLB1104M	102	79	89	78	66	69	85	68	90	92	101	85
CXUFOOTWEARLB0502M	146	158	159	177	151	161	145	138	151	159	222	197
CXUFOOTWEARLB0504M	290	292	282	285	273	301	326	258	364	286	348	341
CXUFOOTWEARLB0505M	394	413	413	357	337	361	438	424	434	424	491	391
CXUFOOTWEARLB0506M	443	548	481	463	449	503	535	513	552	683	528	612
CXUFOOTWEARLB0507M	490	529	502	624	584	545	617	527	666	630	679	735
CXUFOOTWEARLB1101M	304	327	314	323	303	321	347	307	367	354	388	379
CXUFOOTWEARLB1104M	279	297	336	349	295	308	351	267	349	351	363	352
CXUGIRLSLB0502M	12	18	19	18	14	32	14	17	13	8	19	16
CXUGIRLSLB0504M	55	53	57	49	40	55	64	52	49	44	43	42
CXUGIRLSLB0505M	171	169	144	154	127	123	144	129	153	115	108	142
CXUGIRLSLB0506M	308	322	250	276	244	289	274	284	261	258	245	299
CXUGIRLSLB0507M	346	319	426	356	312	331	332	323	288	355	279	379
CXUGIRLSLB1101M	122	122	121	118	101	117	116	109	105	101	94	114
CXUGIRLSLB1104M	125	124	119	129	103	107	120	105	112	86	88	119
CXUINFANTLB0502M	21	20	16	22	17	15	8	16	10	17	10	13
CXUINFANTLB0504M	56	49	45	50	49	31	28	30	41	40	30	40
CXUINFANTLB0505M	148	171	184	158	175	124	119	141	140	145	137	129
CXUINFANTLB0506M	182	174	180	181	173	127	137	155	152	201	126	182
CXUINFANTLB0507M	252	240	219	204	202	181	159	192	194	180	169	178
CXUINFANTLB1101M	96	93	93	91	91	68	63	75	76	83	66	77
