year,characteristics,item,subcategory,expense
2006,One person consumer unit,Apparel and services,Apparel and services,881
2006,Two people in consumer unit,Apparel and services,Apparel and services,1740
2006,Three people in consumer unit,Apparel and services,Apparel and services,2149
2006,Four people in consumer unit,Apparel and services,Apparel and services,2512
2006,Five or more people in consumer unit,Apparel and services,Apparel and services,2592
2006,One person consumer unit,"Apparel, Boys, 2 to 15",Apparel and services,11
2006,Two people in consumer unit,"Apparel, Boys, 2 to 15",Apparel and services,38
2006,Three people in consumer unit,"Apparel, Boys, 2 to 15",Apparel and services,122
2006,Four people in consumer unit,"Apparel, Boys, 2 to 15",Apparel and services,258
2006,Five or more people in consumer unit,"Apparel, Boys, 2 to 15",Apparel and services,342
2006,One person consumer unit,Footwear,Apparel and services,134
2006,Two people in consumer unit,Footwear,Apparel and services,266
2006,Three people in consumer unit,Footwear,Apparel and services,362
2006,Four people in consumer unit,Footwear,Apparel and services,407
2006,Five or more people in consumer unit,Footwear,Apparel and services,450
2006,One person consumer unit,"Apparel, Girls, 2 to 15",Apparel and services,12
2006,Two people in consumer unit,"Apparel, Girls, 2 to 15",Apparel and services,56
2006,Three people in consumer unit,"Apparel, Girls, 2 to 15",Apparel and services,175
2006,Four people in consumer unit,"Apparel, Girls, 2 to 15",Apparel and services,316
2006,Five or more people in consumer unit,"Apparel, Girls, 2 to 15",Apparel and services,355
2006,One person consumer unit,"Apparel, Children under 2",Apparel and services,19
2006,Two people in consumer unit,"Apparel, Children under 2",Apparel and services,51
2006,Three people in consumer unit,"Apparel, Children under 2",Apparel and services,136
2006,Four people in consumer unit,"Apparel, Children under 2",Apparel and services,167
2006,Five or more people in consumer unit,"Apparel, Children under 2",Apparel and services,231
2006,One person consumer unit,"Apparel, Men and boys",Apparel and services,205
2006,Two people in consumer unit,"Apparel, Men and boys",Apparel and services,406
2006,Three people in consumer unit,"Apparel, Men and boys",Apparel and services,537
2006,Four people in consumer unit,"Apparel, Men and boys",Apparel and services,660
2006,Five or more people in consumer unit,"Apparel, Men and boys",Apparel and services,688
2006,One person consumer unit,"Apparel, Men, 16 and over",Apparel and services,187
2006,Two people in consumer unit,"Apparel, Men, 16 and over",Apparel and services,358
2006,Three people in consumer unit,"Apparel, Men, 16 and over",Apparel and services,414
2006,Four people in consumer unit,"Apparel, Men, 16 and over",Apparel and services,420
2006,Five or more people in consumer unit,"Apparel, Men, 16 and over",Apparel and services,377
2006,One person consumer unit,Other apparel products and services,Apparel and services,188
2006,Two people in consumer unit,Other apparel products and services,Apparel and services,292
2006,Three people in consumer unit,Other apparel products and services,Apparel and services,254
2006,Four people in consumer unit,Other apparel products and services,Apparel and services,262
2006,Five or more people in consumer unit,Other apparel products and services,Apparel and services,277
2006,One person consumer unit,"Apparel, Women and girls",Apparel and services,331
2006,Two people in consumer unit,"Apparel, Women and girls",Apparel and services,720
2006,Three people in consumer unit,"Apparel, Women and girls",Apparel and services,860
2006,Four people in consumer unit,"Apparel, Women and girls",Apparel and services,1018
2006,Five or more people in consumer unit,"Apparel, Women and girls",Apparel and services,948
2006,One person consumer unit,"Apparel, Women, 16 and over",Apparel and services,313
2006,Two people in consumer unit,"Apparel, Women, 16 and over",Apparel and services,655
2006,Three people in consumer unit,"Apparel, Women, 16 and over",Apparel and services,686
2006,Four people in consumer unit,"Apparel, Women, 16 and over",Apparel and services,719
2006,Five or more people in consumer unit,"Apparel, Women, 16 and over",Apparel and services,616
2007,One person consumer unit,Apparel and services,Apparel and services,873
2007,Two people in consumer unit,Apparel and services,Apparel and services,1662
2007,Three people in consumer unit,Apparel and services,Apparel and services,2096
2007,Four people in consumer unit,Apparel and services,Apparel and services,2572
2007,Five or more people in consumer unit,Apparel and services,Apparel and services,2446
2007,One person consumer unit,"Apparel, Boys, 2 to 15",Apparel and services,13
2007,Two people in consumer unit,"Apparel, Boys, 2 to 15",Apparel and services,25
2007,Three people in consumer unit,"Apparel, Boys, 2 to 15",Apparel and services,96
2007,Four people in consumer unit,"Apparel, Boys, 2 to 15",Apparel and services,207
2007,Five or more people in consumer unit,"Apparel, Boys, 2 to 15",Apparel and services,263
2007,One person consumer unit,Footwear,Apparel and services,144
2007,Two people in consumer unit,Footwear,Apparel and services,265
2007,Three people in consumer unit,Footwear,Apparel and services,375
2007,Four people in consumer unit,Footwear,Apparel and services,498
2007,Five or more people in consumer unit,Footwear,Apparel and services,480
2007,One person consumer unit,"Apparel, Girls, 2 to 15",Apparel and services,18
2007,Two people in consumer unit,"Apparel, Girls, 2 to 15",Apparel and services,54
2007,Three people in consumer unit,"Apparel, Girls, 2 to 15",Apparel and services,172
2007,Four people in consumer unit,"Apparel, Girls, 2 to 15",Apparel and services,327
2007,Five or more people in consumer unit,"Apparel, Girls, 2 to 15",Apparel and services,324
2007,One person consumer unit,"Apparel, Children under 2",Apparel and services,18
2007,Two people in consumer unit,"Apparel, Children under 2",Apparel and services,45
2007,Three people in consumer unit,"Apparel, Children under 2",Apparel and services,158
2007,Four people in consumer unit,"Apparel, Children under 2",Apparel and services,161
2007,Five or more people in consumer unit,"Apparel, Children under 2",Apparel and services,222
2007,One person consumer unit,"Apparel, Men and boys",Apparel and services,261
2007,Two people in consumer unit,"Apparel, Men and boys",Apparel and services,388
2007,Three people in consumer unit,"Apparel, Men and boys",Apparel and services,498
2007,Four people in consumer unit,"Apparel, Men and boys",Apparel and services,616
2007,Five or more people in consumer unit,"Apparel, Men and boys",Apparel and services,676
2007,One person consumer unit,"Apparel, Men, 16 and over",Apparel and services,249
2007,Two people in consumer unit,"Apparel, Men, 16 and over",Apparel and services,365
2007,Three people in consumer unit,"Apparel, Men, 16 and over",Apparel and services,403
2007,Four people in consumer unit,"Apparel, Men, 16 and over",Apparel and services,405
2007,Five or more people in consumer unit,"Apparel, Men, 16 and over",Apparel and services,406
2007,One person consumer unit,Other apparel products and services,Apparel and services,156
2007,Two people in consumer unit,Other apparel products and services,Apparel and services,276
2007,Three people in consumer unit,Other apparel products and services,Apparel and services,278
2007,Four people in consumer unit,Other apparel products and services,Apparel and services,355
2007,Five or more people in consumer unit,Other apparel products and services,Apparel and services,217
2007,One person consumer unit,"Apparel, Women and girls",Apparel and services,300
2007,Two people in consumer unit,"Apparel, Women and girls",Apparel and services,682
2007,Three people in consumer unit,"Apparel, Women and girls",Apparel and services,787
2007,Four people in consumer unit,"Apparel, Women and girls",Apparel and services,945
2007,Five or more people in consumer unit,"Apparel, Women and girls",Apparel and services,864
2007,One person consumer unit,"Apparel, Women, 16 and over",Apparel and services,274
2007,Two people in consumer unit,"Apparel, Women, 16 and over",Apparel and services,614
2007,Three people in consumer unit,"Apparel, Women, 16 and over",Apparel and services,620
2007,Four people in consumer unit,"Apparel, Women, 16 and over",Apparel and services,646
2007,Five or more people in consumer unit,"Apparel, Women, 16 and over",Apparel and services,571
2008,One person consumer unit,Apparel and services,Apparel and services,907
2008,Two people in consumer unit,Apparel and services,Apparel and services,1682
2008,Three people in consumer unit,Apparel and services,Apparel and services,2338
2008,Four people in consumer unit,Apparel and services,Apparel and services,2454
2008,Five or more people in consumer unit,Apparel and services,Apparel and services,2801
2008,One person consumer unit,"Apparel, Boys, 2 to 15",Apparel and services,11
2008,Two people in consumer unit,"Apparel, Boys, 2 to 15",Apparel and services,35
2008,Three people in consumer unit,"Apparel, Boys, 2 to 15",Apparel and services,109
2008,Four people in consumer unit,"Apparel, Boys, 2 to 15",Apparel and services,226
2008,Five or more people in consumer unit,"Apparel, Boys, 2 to 15",Apparel and services,277
2008,One person consumer unit,Footwear,Apparel and services,170
2008,Two people in consumer unit,Footwear,Apparel and services,302
2008,Three people in consumer unit,Footwear,Apparel and services,442
2008,Four people in consumer unit,Footwear,Apparel and services,515
2008,Five or more people in consumer unit,Footwear,Apparel and services,537
2008,One person consumer unit,"Apparel, Girls, 2 to 15",Apparel and services,19
2008,Two people in consumer unit,"Apparel, Girls, 2 to 15",Apparel and services,56
2008,Three people in consumer unit,"Apparel, Girls, 2 to 15",Apparel and services,142
2008,Four people in consumer unit,"Apparel, Girls, 2 to 15",Apparel and services,246
2008,Five or more people in consumer unit,"Apparel, Girls, 2 to 15",Apparel and services,419
2008,One person consumer unit,"Apparel, Children under 2",Apparel and services,14
2008,Two people in consumer unit,"Apparel, Children under 2",Apparel and services,39
2008,Three people in consumer unit,"Apparel, Children under 2",Apparel and services,160
2008,Four people in consumer unit,"Apparel, Children under 2",Apparel and services,157
2008,Five or more people in consumer unit,"Apparel, Children under 2",Apparel and services,191
2008,One person consumer unit,"Apparel, Men and boys",Apparel and services,199
2008,Two people in consumer unit,"Apparel, Men and boys",Apparel and services,389
2008,Three people in consumer unit,"Apparel, Men and boys",Apparel and services,579
2008,Four people in consumer unit,"Apparel, Men and boys",Apparel and services,608
2008,Five or more people in consumer unit,"Apparel, Men and boys",Apparel and services,739
2008,One person consumer unit,"Apparel, Men, 16 and over",Apparel and services,185
