year,fmr1,fmr2,fmr3,fmr4,countyname
2006,543,622,808,911,NC
2007,564,647,840,947,NC
2008,587,673,875,988,NC
2009,598,686,892,1007,NC
2010,619,710,923,1042,NC
2011,616,707,919,1037,NC
2012,607,697,906,1024,NC
2013,599,732,976,1168,NC
2014,607,742,990,1184,NC
2015,620,758,1010,1209,NC
2016,652,789,1058,1268,NC
2017,675,811,1092,1317,NC
2017,834,978,1332,1481,Durham County
2017,611,753,1038,1229,Forsyth County
2017,655,763,1025,1228,Guilford County
2016,796,937,1262,1405,Durham County
2016,569,698,974,1105,Forsyth County
2016,637,741,1003,1185,Guilford County
2015,737,874,1127,1320,Durham County
2015,561,687,991,1046,Forsyth County
2015,594,704,957,1080,Guilford County
2014,711,843,1087,1273,Durham County
2014,566,693,1e3,1055,Forsyth County
2014,598,709,964,1087,Guilford County
2013,708,839,1082,1267,Durham County
2013,554,678,978,1032,Forsyth County
2013,591,701,953,1075,Guilford County
2012,695,779,1018,1098,Durham County
2012,533,618,842,990,Forsyth County
2012,586,653,827,885,Guilford County
2011,750,841,1099,1185,Durham County
2011,559,648,883,1038,Forsyth County
2011,611,681,863,923,Guilford County
2010,742,832,1087,1172,Durham County
2010,577,669,912,1072,Forsyth County
2010,631,703,891,953,Guilford County
2009,738,827,1081,1165,Durham County
2009,575,666,908,1067,Forsyth County
2009,627,699,886,947,Guilford County
2008,710,796,1040,1122,Durham County
2008,563,652,889,1045,Forsyth County
2008,645,719,911,974,Guilford County
2007,700,785,1026,1106,Durham County
2007,552,640,872,1025,Forsyth County
2007,632,705,893,955,Guilford County
2006,673,755,987,1064,Durham County
2006,531,615,838,985,Forsyth County
2006,608,678,859,919,Guilford County
